rn	type	text
126664	T	<par>Cf. WT <latinform>gzugs-po</latinform>.</par>
126674	I	<par>Check--What is WT?</par>
126677	I	<par>Written Tibetan?</par>
126678	I	<par>What is WT form?</par>
126678	I	<par>what is WT?</par>
126679	I	<par>WT?</par>
126685	I	<par>Correct tagging? Capitalization?</par>
126687	I	<par>What is WT?</par>
126689	T	<par>Cf. WT <latinform>yal-ga</latinform> ‘branch’  J.508.</par>
126708	I	<par>why won’ t fourth syll bold?</par>
126715	T	<par>Cf. Sherpa <latinform>no-pe-te</latinform> &apos;earlobe&apos;.</par>
126741	T	<par>Lit. &quot;mouth + genitive + skin&quot;.</par>
126760	T	<par>&lt; <latinform>lba-ba</latinform>.</par>
126765	I	<par>Add Division. laa≠gor</par>
126770	I	<par>This form looks non-canonical, though it is clearly what is written on the original questionnaire. Check against other Sherpa sources.</par>
126803	I	<par>Two forms for FEATHER.</par>
126836	I	<par>Correct tagging?</par>
126843	I	<par>cf. UNDERARM.</par>
126845	I	<par>First syll = LEG.</par>
126880	I	<par>as 13062 above</par>
126882	I	<par><latinform>pə</latinform>: cf. ba above.<emph>ADD DIVISION TO DBASE</emph></par>
126883	I	<par>1390/227, s?</par>
126883	I	<par>M1 = 1390? 227?</par>
126887	I	<par>Divi. po-a?</par>
126888	I	<par>BP pfx <emph>a</emph>? ma = 1384?</par>
126889	I	<par>Note the extension of &apos;mouth&apos; (second syllable) to &apos;anus&apos;.</par>
