rn	type	text
129686	T	<par>Cf. Ergong.</par>
129697	I	<par>Loan &lt;Tibetan?</par>
129737	I	<par>1st two morphemes = &apos;mouth&apos;</par>
129737	T	<par>Lit. &quot;mouth-skin&quot;.</par>
129759	T	"<par>Muya <latinform>nɯ³³</latinform> likely derived from <xref ref=""253"">#253</xref>, since PTB <reconstruction>*-əw</reconstruction> most often becomes Muya <latinform>-ɯ</latinform>, e.g. &apos;steal&apos; PTB <reconstruction>*r-kəw</reconstruction> &gt; WT <latinform>rku</latinform>, WB <latinform>khûi</latinform>, Muya <latinform>kɯ⁵⁵</latinform>; &apos;sky&apos; PTB <reconstruction>*r-məw</reconstruction> &gt; WT <latinform>rmu-ba</latinform> &apos;fog&apos;, WB <latinform>mûi(gh)</latinform>, Muya <latinform>mɯ⁵⁵</latinform>.</par>"
129759	I	"<par>It seems to be the second syllable of these Muya forms which belongs in this set. See the note under <xref ref=""253"">#253 </xref>.</par>"
129810	I	<par>3d syll. cf Bai, Tujia.</par>
129814	I	<par>first morph <latinform> ̉</latinform>WATER.</par>
129826	I	<par>M1: related to <latinform>j</latinform><latinform>aŋ</latinform>; M2: 1381?? (cf. <latinform>phlo</latinform> above); M3: 1019? 66</par>
129827	I	<par>or 1390?</par>
129834	I	<par>M1: p = <latinform>tə</latinform>?</par>
129835	I	<par>M1 = 2102? M2: 1390?</par>
129843	T	"<par>Cf. Muya <latinform>tɕɯ⁵³</latinform> &apos;water&apos; (ZMYYC #10), assigned to <xref ref=""1631"">#1631</xref>.</par>"
