rn	type	text
161651	I	<par>For a similar final correspondence, consider WT <latinform>ŋed</latinform> &apos;I&apos; and Jinghpo <latinform>ŋèmdash ai</latinform> &apos;I&apos;.</par>
162016	I	<par>doubtful reflex of <reconstruction>*s-ŋa</reconstruction> 634.</par>
162050	T	<par>This form attests to the simultaneous presence of the <reconstruction>*s-</reconstruction> and <reconstruction>*m-</reconstruction> prefixes with this root: <reconstruction>*s-m-lay</reconstruction>.</par>
162095	T	<par>This form nicely confirms our reconstruction.</par>
162171	T	<par>It is not clear what phonetic feature Luce was attempting to transcribe with his symbol &lt;<latinform>s&apos;</latinform>&gt; (e.g. in Hakha, Hwalngau, Khualsim, Tiddim, and Zotung); a Hakha consultant in Berkeley pronounces this word with what sounds like an ordinary [<latinform>s</latinform>]. In general, PTB <reconstruction>*s-</reconstruction> &gt; Proto-Chin <reconstruction>*t(h)-</reconstruction>, while PTB <reconstruction>*ts-</reconstruction> &gt; Proto-Chin <reconstruction>*s-</reconstruction>.</par>
162174	T	"<par>Luce gives another Zotung form <latinform>ʃɯ¹</latinform> for WOMB that I include under <xref ref=""1613"">#1613</xref>.</par>"
162676	T	"<par>Note the denasalization before a voiceless stop of Womatu <latinform>yak¹</latinform> (&lt; <xref ref=""1283"">#1283</xref>).</par>"
162676	I	"<par>For the first syllable, see <xref ref=""1283"">#1283</xref>, below.</par>"
163115	I	<par>doublet with 163116.</par>
163116	I	<par>doublet with 163115.</par>
163260	I	<par>Note the similarity between the Mru forms for &apos;tail&apos; and the Monpa forms <latinform>ɕampi</latinform> (42159), <latinform>ɕam-pʰi</latinform> (39413), and <latinform>ɕam⁵⁵ pi⁵⁵</latinform> (39234); the &apos;p&apos; in the Monpa forms may be epenthetic.</par>
163261	I	<par>Note the similarity between the Mru forms for &apos;tail&apos; and the Monpa forms <latinform>ɕampi</latinform> (42159), <latinform>ɕam-pʰi</latinform> (39413), and <latinform>ɕam⁵⁵ pi⁵⁵</latinform> (39234); the &apos;p&apos; in the Monpa forms may be epenthetic.</par>
163266	I	<par>For a similar final correspondence, consider WT <latinform>ŋed</latinform> &apos;I&apos; and Jinghpo <latinform>ŋèmdash ai</latinform> &apos;I&apos;.</par>
164178	I	<par>Should be <latinform>dèmdash u-kwèmdash i</latinform></par>
164287	I	"<par>For the last syllable of the Ganan and Kadu forms, see <xref ref=""300"">#300</xref>, above.</par>"
164335	T	"<par>These Ganan and Kadu forms superficially resemble Loloish reflexes of <xref ref=""596"">#596</xref>, but they have been assigned to the present etymon because of their resemblance to other Asakian forms.</par>"
164536	I	<par>interesting form.</par>
164582	I	<par>2d syll. was tagged with now-defunct #2074.</par>
164935	I	<par>This is from GSR, right?</par>
