rn	type	text
132114	I	<par>Note the similarity between this form and <latinform>ngi̯ụ²</latinform> ‘body’ .</par>
132122	I	<par>M1: rel. to 1390? M2: <emph>wo</emph>: cf. <latinform>ùl waʔ</latinform> above?</par>
132126	I	<par>Note the similarity between this form and <latinform>ngɪ̯ə̣²</latinform> ‘back’ .</par>
132185	I	<par>if expand gloss</par>
132216	I	<par>1388? See above 10146 etc.</par>
132234	I	<par>cf. above</par>
132239	I	<par>gloss = TEARS?</par>
132243	I	<par>The first element <latinform>l-</latinform> &apos;penis&apos; appears in reduced form in this &quot;crypto-compound&quot;.</par>
132243	T	<par>Note the reduced Tangut <latinform>l-</latinform>.</par>
132251	T	<par>According to M. V. Sofronov 1978 there is some doubt as to the exact meaning of the Tangut graph he reconstructs here.</par>
132256	T	<par>The immediate precursor of this form seems to have been something like <reconstruction>*m-tswa</reconstruction>. This seems to be a legitimate doublet of <latinform>lhi²</latinform>, from <reconstruction>*s-la</reconstruction>. These two words are written with distinct characters (Matisoff 1985:436).</par>
