rn	type	text
55455	I	<par>1322 or 201? See KIDNEY = SPLEEN</par>
55559	T	<par>Literally &quot;penis-fruit&quot; (p.c. Prashanta Tripura 1987).</par>
55587	I	<par>Possible loan from Indic, cf. Sanskrit markáṭa.</par>
55656	I	<par>M2: or 1319? or 1320?</par>
55733	I	<par>Sound correspondence?</par>
55778	I	<par>could the first syll just be a prefix?</par>
55813	I	<par>cf. Lepcha <latinform>pr̀dblquote a-tóp</latinform> ‘neck’ (117784).</par>
55946	I	<par>Presumably the final nasal assimilated in place to the suffix.</par>
56062	I	<par>2nd syll &lt; #34 *sya FLESH?</par>
56070	I	<par>M1=2104? or redupl?.</par>
56108	I	<par>Could 2d syll be relatable to *khli?--Check Kok. reflexes of velar clusters.</par>
56119	I	<par>or 228?</par>
