rn	type	text
40389	I	<par>Assignment of second syllable to etymon 3398 *ki CHEST is somewhat problematic, as the tense vowel suggests an original stopped syllable.</par>
40401	I	<par>M1: 2104? M2: 1384 or s?</par>
40402	I	<par>from Chin. KIDNEY</par>
40403	I	<par>BP pfx? 315 or 2102?</par>
40404	I	<par>1384? See below</par>
40405	I	<par>or <latinform>ɔ</latinform> = BP pfx? M2: or 1390?</par>
40406	I	<par>a = BP pfx?</par>
40407	I	<par>or 1390,1390? or 1390,1387? or even perh. M1=1382? COMPARE for earlier!! called <latinform>tɕʰi</latinform> = 1390 (e.g., p. 21)--but cf. the alternatives below p. 23 Dulong, etc.</par>
40408	I	<par>650 or 649, or 653?? 779?</par>
40419	T	<par>Hani <latinform>je⁵⁵</latinform> &apos;water&apos;.</par>
40461	I	<par>Second syllable <latinform>tsa̱³³</latinform> cognate to second syllable in Kahtu (rn 137585) and Pijo (rn 137586) forms “sleep” .</par>
40499	I	<par>remove</par>
40509	I	<par>Given as <latinform>tshe⁵⁵ pjɤ³¹</latinform> in ZMYYC 235.</par>
40512	I	<par>n.b. velar fricative reflex of *sm- cluster.</par>
40548	I	<par><emph>ba</emph></par>
40549	I	<par>b or kho/©o, etc. 2102? 1019? or 1390?</par>
40550	I	<par>315 or 2102?</par>
40551	I	<par>1384? See below</par>
40552	I	<par>or 1390??</par>
40553	I	<par>as above <latinform>paw, po, phe; </latinform>below.</par>
40555	I	<par>650 or 649, or 653?? 779?</par>
40563	I	<par>1st morpheme <latinform>sa³¹</latinform> means ‘flesh’ , which also appears in the words ‘skin’ , ‘bone’ , ‘pus’ , and ‘sinew’ .</par>
40584	I	<par>This form marked “*3” in blue n.b.</par>
40618	I	<par>cf. Qiang <latinform>də³³</latinform>.</par>
40636	I	<par>also tagged as 49. n.b constriction.</par>
40637	I	<par>Was tagged 49. (n.b. constriction)</par>
40638	I	<par>or 1805. Note constriction.</par>
40700	I	<par><emph>ba</emph></par>
40701	I	<par>b or kho/©o, etc. 2102? 1019? or 1390?</par>
40702	I	<par>M1: m not 2103? M2: 315 or 2102?</par>
40703	I	<par>1384? See below</par>
40704	I	<par>M1: or 2122 or 66? M2: or 1390?</par>
40705	I	<par>= sha: m or pfx?</par>
40707	I	<par>BP pfx? M2: 650 or 649, or 653? M3: 191?? M4:779</par>
40780	I	<par>But cf. Hani Dazai <latinform>ɕe̱³¹</latinform>, LEAN (OF MEAT).</par>
40842	I	<par>M1: or 2103?</par>
40843	I	<par>b or kho/©o, etc. 2102? 1019? or 1390?</par>
40844	I	<par>BP pfx? or reduced from prev.? M2: 315 or 2102?</par>
40845	I	<par>1384? See below</par>
40846	I	<par>BP pfx? M2: or 2122?</par>
40847	I	<par>= sha: m or pfx? (prob. not just BP pfx)</par>
40849	I	<par>M1: 650 or 649, or 653?? M2: 779? or 2102? (cf. earlier)</par>
40860	T	<par>2nd morpheme= ‘water’ </par>
40874	I	<par>This form marked “*3” in blue n.b.</par>
40929	I	<par>n.b. constriction.</par>
299989	I	"<par>Borrowing from Chinese, cf. Chinese 洋芋	yángyù &apos;potato&apos;.</par>"
300006	I	<par>Loan from Chinese, cf. Chinese làzǐ 辣子 &apos;hot pepper&apos;.</par>
300049	I	<par>Loan from Chinese, cf. Chinese 工人 gōngrén &apos;worker&apos;.</par>
