rn	type	text
47633	I	<par><latinform>kha</latinform> = relationship to <latinform>KA</latinform> 181/229 gall, bile, liver? other E=HEART/LIVER?</par>
47635	I	<par>M2= or 1319 or 1320? M3: cf. <latinform>p/bra</latinform>? (above and p. 28)</par>
47635	I	<par>Perhaps allofamically related is the first syllable of Lalung <latinform>phidi</latinform> &apos;liver&apos;.</par>
47638	I	<par>last syllable &lt; Nepali <latinform>hèmdash aD</latinform> &apos;bone&apos;</par>
47639	I	<par><latinform>kha</latinform> = relationship to <latinform>KA</latinform> 181/229 {gall, bile, liver} ??</par>
47645	T	<par>Lalung <latinform>kat</latinform> &apos;hole&apos; (cf. <latinform>kung kat</latinform> &apos;nostril&apos;).</par>
47666	I	<par>first syll <latinform>↮</latinform> 459. cf BONE.</par>
47678	I	<par>ha-ma-thai?</par>
47679	T	<par>May be rhinoglottophiliac.</par>
47686	I	<par>First syllable <latinform>ho</latinform> probably means “sleep” .</par>
47717	I	<par>Cf. also Lalung <latinform>kur</latinform> &apos;skin&apos;, pointing to a possible alternation between Lalung final <latinform>-n</latinform> and <latinform>-r</latinform>.</par>
47736	I	<par>M1=2103? s or 1390?</par>
47737	I	<par>compare first morpheme of Meche <latinform>co-la</latinform></par>
47740	I	<par>M1=2103? s or 1390?</par>
47761	T	"<par>A Lalung subtlety should be noted: the first elements of <latinform>tu-dar</latinform> &apos;penis&apos; and <latinform>tu ki ku-thi</latinform> &apos;testicle&apos; are to be assigned to <xref ref=""3420"">#3420</xref>; on the other hand, the first element of Lalung <latinform>tu-di</latinform> &apos;egg&apos; is from <xref ref=""1604"">#1604</xref> &apos;bird&apos;. This is somewhat confusing, since <xref ref=""300"">#300</xref> sometimes means &apos;testicle&apos; rather than &apos;egg&apos;.</par>"
47762	I	"<par>Lalung <latinform>tu-</latinform> here means &quot;bird&quot; (&lt; <xref ref=""1604"">#1604</xref>). But in the Lalung compound <latinform>tu-dar</latinform> &apos;penis&apos;, Lalung <latinform>tu-</latinform> is assigned to <xref ref=""3420"">#3420</xref>.</par>"
47771	I	"<par>The <latinform>-b</latinform> in <latinform>-jub-</latinform> represents an unreleased (not truly voiced) stop. Lalung has a doublet <latinform>chu-ma</latinform> &apos;kiss&apos;, from the open-syllable allofam <xref ref=""5539"">#5539</xref>, below.</par>"
47771	T	<par>Lalung <latinform>-b</latinform> represents an unreleased (not truly voiced) stop.</par>
47779	I	<par><latinform>phai</latinform><emph>: </emph>cf. pai/ above</par>
