rn	type	text
127302	I	<par>This Tujia expression has been variously tagged as 143,1837 and 129,150.</par>
127304	I	<par>Loan from Chinese <hanform>脑</hanform>?</par>
127310	I	<par><latinform>a²¹ la⁵⁵</latinform> means &apos;eye&apos;.</par>
127340	T	<par>=mouth+skin</par>
127345	I	<par><latinform>kʰa²¹ kɯ²¹</latinform> = CHEEKBONE</par>
127357	T	<par>Tujia <latinform>mɯe¹³ tɕi⁵⁵</latinform> &apos;belly&apos;.</par>
127404	I	<par>See previous page: morpheme: fu</par>
127408	I	<par>251? (M1: 1381??)</par>
127409	I	<par>Possible loan from Chinese, cf. Chinese gān 肝 &apos;liver&apos;.</par>
127410	I	<par>JAM: from Ch.</par>
127411	I	<par>b = 2102</par>
127413	T	<par>Tujia <latinform>tsʰe³⁵</latinform> &apos;water&apos;.</par>
127415	I	<par>M2: cf. <emph>tshy</emph> below--1390?</par>
127416	I	<par>M1: if expand gloss; M3: 191?</par>
127433	T	<par>Tujia <latinform>tsʰe³⁵</latinform> &apos;water&apos;.</par>
