rn	type	text
12862	I	<par>2d. syll. &lt; e1902?</par>
13023	I	<par>= FACE?</par>
13027	I	<par>2d. syll. &lt; e1902?</par>
13028	I	<par>First syll = BREAST.</par>
13029	I	<par>First syll = LEG.</par>
13045	I	<par>retag?</par>
13064	I	<par>or ndzo=nest?cf.p.23. Would expect M1 to be same in all 3.</par>
13065	I	<par>Perh. 191? 1381?? + pa = πá (see prev. record note)</par>
13066	I	<par>M1: 201? or 229?; le= Baima lÅ above?</par>
13070	I	<par>1390??</par>
13071	I	<par>or 2103?</par>
13072	I	<par>Somehow 2119--bec. of <latinform>gyu-mak</latinform> below? M2: 1384?</par>
13093	T	<par>Batang <latinform>khõ⁵⁵</latinform> probably means &apos;house&apos; (cf. WT <latinform>khaŋ-pa</latinform> &apos;house&apos;).</par>
13104	T	<par>2nd morpheme here is a verb meaning ‘to let go, to release’ </par>
