url	status	bytes	sha256	seconds
https://stedtdb.johnblowe.com/	200	5957	0ded2d40f5821b7b2d421da3310aeeca600d48b62f3f5d6e1532d328f28f9b8f	0.48
https://stedtdb.johnblowe.com/gnis	200	9294	a855a48c3ae403c6489faab20f1eaed144cef1ef96b3ece2093e24ea7cce9488	0.44
https://stedtdb.johnblowe.com/chapters	200	155598	759856d6a58947e4685ce2218d047013f1141af21793c9db9574ab530391d2e6	0.89
https://stedtdb.johnblowe.com/source	200	79193	5b319cc3de3139d19803ef95f48f59b29046d3fc5d08c0f8ad621d1890897225	2.95
https://stedtdb.johnblowe.com/etymon/4	200	25163	6db7385d22f49ad1198a62fff6a191335b3e223ca17b1cbe5e5911168ef92119	0.57
https://stedtdb.johnblowe.com/etymon/8	200	18225	8f79f153c1a5806f3de41bc2a73a8c4c6ea79983aec6477dd323303b501bf248	0.57
https://stedtdb.johnblowe.com/etymon/14	200	16613	eaa3562a27f033cfb2998e602c51de30fdfa4458f1b93ba407a1ba1aa5400412	0.54
https://stedtdb.johnblowe.com/etymon/17	200	46827	75d7a4a31bd8ad60f95a23305df506c5df5b8f6f07b20d823123aa4a7b0a6210	0.67
https://stedtdb.johnblowe.com/etymon/18	200	25807	604745404b88162e3b55f80ebbdc0e8f7fd6b2274de2d0c0c3e2d210bbcbd9f9	0.54
https://stedtdb.johnblowe.com/etymon/19	200	19224	41739cb8c051640ae9a8bf22f8d0e1bec67009f64e2250db1552902ee6b5311b	0.58
https://stedtdb.johnblowe.com/etymon/20	200	13441	aaceddd1681cfe59e67ed237d6c9cae3111332de8ac26573dfc11036451b60a2	0.48
https://stedtdb.johnblowe.com/etymon/27	200	151951	d2055e2a688777513613278c49a3938cc43eceb2a53c92206d6d19e274e22524	0.80
https://stedtdb.johnblowe.com/etymon/30	200	10091	052dd81d2ceea35584f695c42ce8a4f699799001aa1f193665dedead60081cbc	0.46
https://stedtdb.johnblowe.com/etymon/31	200	49753	7584e5db21e41ff19ec9bbb0f15cd8d6a19734cdc3cec2cbad865f2e87244637	0.62
https://stedtdb.johnblowe.com/etymon/32	200	163134	f90dbdebddbfb16ab980554a272a5897835275be2c35bb5f71471a61083bd484	0.79
https://stedtdb.johnblowe.com/etymon/33	200	17224	c23e419cebd76117447c4cb6df5fc3e102c736e19d51604e81ef645e72d69838	0.53
https://stedtdb.johnblowe.com/etymon/34	200	299760	cd55c612d3452ccff3443c3d048940a836b151d2b33cd1a999d71d017c828cfb	0.91
https://stedtdb.johnblowe.com/etymon/39	200	31499	e82ab932b873301d5b57b0bc951d5acac31e05e2a9f57b9b176fc6f2ac780a8e	0.57
https://stedtdb.johnblowe.com/etymon/40	200	19563	4a88cad7a6fae6c46c089ed3fd7853d700d099e0459c36f33fbeb2f55a6a7b41	0.55
https://stedtdb.johnblowe.com/etymon/41	200	10186	fc273d8ad590f7d51fbde2f08fc620a69290b8f792f31e08fa81b50ceb39acd7	0.47
https://stedtdb.johnblowe.com/etymon/42	200	80586	e643b1f06e1eadac177599681a3e93e21042c41bee4b9a7f5707f2fd81a60359	0.66
https://stedtdb.johnblowe.com/etymon/43	200	13445	40b162fe2a6a317719872dac2ccc80f20435efad7ca53146cf260e2049c31d89	0.48
https://stedtdb.johnblowe.com/etymon/44	200	14443	8682306a5258449b187c650fe83fc9119d2364a9ab9c4eec8048c5eeab257b80	0.48
https://stedtdb.johnblowe.com/etymon/48	200	41402	b7a38ab9aecaea3a4c3983b391f7a447fb09a504876605dc4a307153f1103eca	0.57
https://stedtdb.johnblowe.com/etymon/60	200	51834	a501cc6baaf2f529e9c9d353434f0514aa430981b78217c11b84363f645bead7	0.64
https://stedtdb.johnblowe.com/etymon/65	200	12998	5f0af82ebe4b07e8837bd87a043f7259596293795fc8c5c03cfbf14c517f5a4d	0.45
https://stedtdb.johnblowe.com/etymon/67	200	13587	7a0857012432782964ed5d475c85a1d07d15aca08239a06ec63354d02734e620	0.46
https://stedtdb.johnblowe.com/etymon/69	200	13658	bd27d5c84b11f982223af03a085604e7acd427fc3712b791dbaa831cdd7a676f	0.48
https://stedtdb.johnblowe.com/etymon/71	200	53399	527ea582c6fbdbde43330bb5936ad8832329ccff22cd2db64cee21f5995a0004	0.66
https://stedtdb.johnblowe.com/etymon/85	200	243018	d9718417c2fdffb49ce91ae72c228e5d8202659596251c93a79757d7f72bdd27	0.92
https://stedtdb.johnblowe.com/etymon/96	200	8298	287082d74a18d8db26aa075aafc4326267292b9d871aea2c937823ff38fa196b	0.46
https://stedtdb.johnblowe.com/etymon/98	200	10801	a9838b4ce2ba5165efeb2ecc6c9febe9efa465b1164ba4cfe5e101338f16ae57	0.48
https://stedtdb.johnblowe.com/etymon/126	200	143510	15962ac934b1f1ae492f41aa79920c9823ecc91dec1a4a7419c320c19cfa4e27	0.79
https://stedtdb.johnblowe.com/etymon/127	200	181962	d830ebff8582f0195512c88334cd920accc0e3126dbd8fe82c10140d4021303f	0.87
