rn	type	text
10394	I	<par>Laryngeality of C<sub>i </sub>unexplained.</par>
10410	I	<par>Dead (rel. clause).</par>
10410	I	<par>Laryngeality of C<sub>i </sub>unexplained.</par>
10419	T	<par>Also means &apos;skull&apos;.</par>
10419	T	<par>The etymon appears here in “prefixized”  form.</par>
10420	T	<par>Meithei <latinform>-ki</latinform> is a genitive particle.</par>
10421	I	<par>first m = BONE?</par>
10466	I	<par>The final stop probably arose via assimilation to the stop initial of the &quot;infinitive nominalizer&quot; <latinform>-pə</latinform>.</par>
10466	T	<par>Note assimilation of the medial consonants.</par>
10468	I	<par>what is P5?</par>
10506	I	<par>cf. <latinform>puam</latinform> above <emph>(ADD: VSTB 223: swollen spleen: note--add Lushai, etc.).(Use as Note: first gloss of </emph><latinform>spleen</latinform><emph>in Intro.: </emph><latinform>tla</latinform><emph>&lt; WT *gla(y)/kla(y) (*g/k la-y) </emph><latinform>to drop/cause to fall/fall</latinform><emph>. Check 1.5.2. glosses: </emph><latinform>swollen</latinform><emph>: add from JAM Loloish p. 47 (#92) </emph><emph>all reflexes</emph><emph>)</emph></par>
10511	I	<par>Cf. 120421 <latinform>ùl geŋ</latinform><latinform>dzak</latinform> below (Hayu)</par>
10526	T	<par>Meithei <latinform>khaynə</latinform> &apos;to part, to separate&apos;.</par>
10541	T	<par>Note assimilation of the medial consonants.</par>
10592	I	<par><latinform>ùl ki</latinform> is a genitive particle.</par>
10600	I	<par>Second two syll = LEG.</par>
10630	I	<par>JAM-ety has <latinform>thôp</latinform>, with note: “assim of Cf to medial <latinform>-w-</latinform>” .</par>
10630	T	<par>Apparently with assimilation of *-<latinform>k</latinform> to the labial medial *-<latinform>w</latinform>-.</par>
10630	I	<par>Apparently with assimilation of <reconstruction>*-k</reconstruction> to the labial medial <reconstruction>*-w-</reconstruction>.</par>
10632	I	<par><emph>Add division?</emph> <latinform>ta</latinform> = pfx?</par>
10640	I	<par>or = phrek? without division?</par>
10647	I	<par>division? M1: <latinform>tə</latinform><latinform>(</latinform>pfx?)? M4: JAM.</par>
10647	I	<par>or 573 for M4?</par>
10650	T	"<par>Contrast the last syllables of Meithei <latinform>thi-gun</latinform> &apos;anus&apos; (&lt; <xref ref=""572"">#572</xref> + <reconstruction>*kor</reconstruction>) and <latinform>nâ-kông</latinform> &apos;ear&apos; (&lt; <xref ref=""820"">#820</xref>).</par>"
10677	I	<par>First syllable is “navel” .</par>
10679	T	"<par>Meithei <latinform>ə ŋaŋ</latinform> &apos;child&apos; (cf. Lhoba <latinform>aŋaː</latinform>, Yi (Dafang) <latinform>a³³ŋa⁵⁵</latinform>, as well as set <xref ref=""90"">#90</xref>).</par>"
10681	T	<par>Note that the Sulong form has the same <latinform>mə-</latinform> prefix as in Meithei.</par>
441440	T	<par>Meithei <latinform>-ŋ</latinform> perhaps result of assimilation to the syllable initial.</par>
