rn	type	text
173169	O	<par>initial!</par>
173189	O	<par>initial! (Sun 1993a).</par>
173262	O	<par>initial! (Sun 1993a).</par>
173277	O	<par>initial! (Sun 1993a).</par>
173289	O	<par><latinform>dĩ</latinform> = &apos;head&apos; (Sun 1993a).</par>
173491	O	<par>initial! (Sun 1993a).</par>
173564	O	<par>initial! (Sun 1993a).</par>
173579	O	<par>rhyme!</par>
173586	O	<par>initial! (Sun 1993a).</par>
173592	O	<par>initial! (Sun 1993a).</par>
173710	O	<par>as in <latinform>ja-ru</latinform> &apos;ear&apos;.</par>
173758	I	<par>The &quot;rhyme!&quot; element appearing in the reflex field is in the original (JS-HCST:133), though it&apos;s unclear what it means.</par>
173758	O	<par>rhyme!</par>
173788	T	"<par>The first syllable of this form looks like <xref ref=""3457"">#3457</xref>, but the gloss &apos;kiss&apos; shows that it belongs in <xref ref=""3451"">#3451</xref>.</par>"
173802	O	<par>initial! (Sun 1993a).</par>
173863	O	<par>initial! (Sun 1993a).</par>
173929	O	<par>initial! (Sun 1993a).</par>
173936	O	<par>=ʻfungusʼ (Sun 1993a).</par>
174005	O	<par>ʻshellʼ.</par>
174006	O	<par>ʻdried barkʼ.</par>
174263	O	<par>rhyme!</par>
174321	O	<par>initial!</par>
174322	O	<par>initial!</par>
174343	O	<par>initial! (Sun 1993a).</par>
174352	I	<par>The &quot;rhyme!&quot; element appearing in the reflex field is in the original (JS-HCST:133), though it&apos;s unclear what it means. </par>
174352	O	<par>rhyme!</par>
174549	O	<par>rhyme! (Sun 1993a).</par>
174559	O	<par>initial! (Sun 1993a).</par>
174603	I	<par>Possible loan from Indic, cf. Assamese <latinform>suwor</latinform>.</par>
174604	I	<par>Possible loan from Indic, cf. Assamese gahori, suwor.</par>
174605	I	<par>Possible loan from Indic, cf. Assamese gahori, suwor.</par>
283052	T	"<par>Sun reconstructs a binome here, but the second element in the Tani forms seems to descend from <xref ref=""5554"">#5554</xref>.</par>"
283131	I	<par>The first elements in the Bengni, Bokar, Galo, and Tagin forms are either morphemes meaning &apos;bird&apos; or &apos;chicken&apos; (cf. Damu <latinform>rok-pɯ</latinform>, where <latinform>rok</latinform> clearly &lt; <reconstruction>*k-rak</reconstruction> &apos;chicken&apos;), or else reduplications of the root.</par>
283174	O	<par>(see &apos;orphan&apos;).</par>
283291	O	<par>(see &apos;forget&apos;).</par>
