rn	type	text
69218	T	"<par>Moshang <latinform>kə</latinform> looks as if it is a reduction of <xref ref=""386"">#386</xref> (cf. <latinform>ku mul</latinform>), but the gloss seems to show that it is body hair, not head hair, that is referred to. </par>"
69224	I	<par>Unexplained metathesis.</par>
69385	I	<par>tag 1317 replaced by tag 163</par>
69415	T	<par>The correspondence of WT <latinform>khr-</latinform> to Nung <latinform>h-</latinform> is parallel to the correspondence in BILE / GALL (WT <latinform>mkhris-pa</latinform> / Nung <latinform>səhi</latinform>), as pointed out in STC #38.</par>
69488	I	<par><latinform>wa-u-kam</latinform>. first two syll&apos;s from 632?</par>
69621	T	<par>STC erroneously lists the language for this form as &quot;Nagari&quot;.</par>
69654	I	<par>Is this properly tagged?</par>
69714	I	<par>Which syllable from 127?</par>
69845	T	<par>Note the metanalysis of Jingpho <latinform>ləkh-rá</latinform> &gt; <latinform>lə-khrá</latinform>.</par>
69922	T	<par>Preglottalized initial first pointed out by La Raw Maran [STC].</par>
70062	I	<par>does this form need to be fixed? (trailing tilde)</par>
70136	I	<par>from HPTB p.185: &quot;The Jingpho form <latinform>nyui</latinform> cited in STC #156 (from Hanson 1906) looks like a loan from Burmese; it is absent from Dai et al. (1983).&quot;</par>
70219	I	<par>The first syllable is from PTB <reconstruction>*dwaŋ</reconstruction> (STC #169; HPTB p. 269). Cf. WT <latinform>doŋ</latinform>, WB <latinform>twâŋ</latinform> &apos;hole&apos;, <latinform>re-twâŋ</latinform> &apos;well&apos;; Lahu <latinform>ɣɨ̀-tû</latinform> &apos;well&apos;; Tiddim Chin <latinform>waːŋ</latinform> &apos;hole; make a hole&apos;. The second syllable is analyzed as <latinform>khər</latinform> in STC.</par>
70240	I	<par>cf. <latinform>pom</latinform> -below</par>
70284	I	<par>Should gloss be ‘flesh,meat’ ? Check.</par>
70338	I	<par><reconstruction>*-am</reconstruction> regularly &gt;<latinform>-en</latinform>.</par>
70339	I	<par><reconstruction>*-am</reconstruction> regularly &gt;<latinform>-en</latinform>.</par>
70578	I	<par>remove division?</par>
