rn	type	text
46898	T	<par><latinform>ar-</latinform> is a common Karbi prefix; maybe this is a haplologized form &lt; <reconstruction>*ar-rwak</reconstruction>.</par>
46905	I	<par>M1 = EYE?</par>
46906	I	<par>Check Grueßner--why -<latinform>n</latinform>? Separate etymon? This form should be left out (?).</par>
46907	I	<par>Check Gruessner--why -<latinform>n</latinform>? Separate etymon?</par>
46916	I	<par>Glossed ‘SCALP’ on p.2 (JAM-Ety).</par>
46982	I	<par>check source.</par>
47042	T	<par>Karbi <latinform>chethè</latinform> is defined as &apos;life, breath, stature; pipe&apos; in Walker 1925:31, as in <latinform>chethè ari</latinform> &apos;larynx, windpipe&apos;. Thus this form seems to mean &apos;breast-pipe&apos;. For reasons of space, this semantic association is not diagrammed in the chart at the beginning of this chapter.</par>
47043	T	<par>Loanword from Assamese <latinform>gakhir</latinform>.</par>
47067	T	<par>Lit. &quot;hand-knee&quot;. Cf. <latinform>tùng-dè</latinform> &apos;knee&apos;, with a different tone on the second syllable.</par>
47188	I	<par>hyphen? M2: 1390? or both 1387??</par>
47189	I	<par>hyphen? M1: not related to b: phok- (LUNG) (?) M2: 1387?</par>
47192	I	<par>change gloss to ‘urinate’ </par>
47207	I	<par>Is this an O-V construction? Perhaps <latinform>che</latinform> is reflexive.</par>
47210	I	<par><latinform>doy</latinform> means “to push” .</par>
47212	T	<par>As a longshot, perhaps there is a connection with the verbal root *bum &apos;to swell&apos; (163).</par>
47217	T	<par>Mikir <latinform>bùm</latinform> &apos;penis&apos;.</par>
47218	I	<par>First syllable means “penis” .</par>
47226	I	<par>Second syllable is “blood” .</par>
47230	T	<par>Mikir <latinform>charang</latinform> &apos;pipe, tube&apos; (Walker 1925:24).</par>
47232	I	<par>Is first syllable “skin” ?</par>
