rn	type	text
128874	I	<par>&lt; Tb.?</par>
128880	T	<par>It is not clear which of the two syllables descends from the present root, or whether some type of reduplication is involved.</par>
128920	T	<par>Guiqiong <latinform>hui⁵³</latinform> could be a different rendering of <latinform>xɯi⁵³</latinform> ‘tooth’ .</par>
128926	I	<par>M1: related to <latinform>te</latinform> elsewhere? M2: related to <latinform>ja</latinform> e.g., Konyak?</par>
128933	I	<par>M1: 575?</par>
128943	T	<par>Loan from Tibetan (cf. WT <latinform>kha-lpags</latinform>).</par>
128945	I	<par>2103?</par>
128946	I	<par>M1: 191? wu = 2102? (if so: add LUNG to gloss)</par>
128982	I	<par>M1: Cf. Tujia, Guiqing. M2: 1390?</par>
128989	I	<par>Note this is apparently the same binome as Zhaba <latinform>ku⁵⁵ tʂʰu⁵³</latinform> (131162) with the order reversed.</par>
