type	text
T	<par>Löffler, p. 279: &quot;I employed two informants, one Paangkhua who used Lorrain-Savidge&apos;s [Lushai] dictionary of 1899, replacing English by Paang - this source will be referred to as the LP-dialect, and a Bawm, who used the Bawm-English dictionary (on which I have been working from time to time since 1965) - these data will be called the BP-dialect.&quot;</par>
I	<par>About forms belonging to the &quot;(LP) BP&quot; lgabbr: p.284: &quot;In the following list ra- will be in parentheses if not recorded in BP: the list contains only those items for which I have both BP and LP recordings and a cognate in Lushai.&quot;</par>
