rn	lgid	language	reflex	originalreflex	gloss	originalgloss	gfn	semkey	srcid	src_set_rn	status	analysis
292330	879	Lalo	tshé	tshé	move w. tongs / tools	move w. tongs / tools		6.7.11		0		5410
292331	879	Lalo	boq	boq	multi-colored / patterned	multi-colored / patterned		5.8		0		
292332	879	Lalo	djì	djì	multiply (of animals)	multiply (of animals)		6.2		0		
292333	879	Lalo	ʔmó	ʔmó	mushroom	mushroom		3.1.7		0		2472
292334	879	Lalo	zjo	zjo	must	must		8.2		0		
292335	879	Lalo	zo	zo	must	must		8.2		0		
292336	879	Lalo	lìq-kù-sè	lìq-kù-sè	nails / claws	nails / claws		1.5.10		0		
292337	879	Lalo	ʔmí-tsi	ʔmí-tsi	name	name		5.8		0		bChinese
292338	879	Lalo	ʔnỳq	ʔnỳq	nasal mucus	nasal mucus		1.8.2		0		805
292339	879	Lalo	á-jỳq	á-jỳq	needle	needle		5.1		0		
292340	879	Lalo	zà-mè dú	zà-mè dú	nephew	nephew		4.7.3		0		1012,m,m
292341	879	Lalo	mà-mí	mà-mí	netherworld	netherworld				0		
292342	879	Lalo	mò-mí	mò-mí	netherworld	netherworld				0		
292343	879	Lalo	ǹ-mí	ǹ-mí	netherworld	netherworld				0		
292344	879	Lalo	xə̀q	xə̀q	new	new		9.6.1.1		0		6178
292345	879	Lalo	zè-mè dú	zè-mè dú	niece	niece		4.7.3		0		
292346	879	Lalo	ʔná-khu	ʔná-khu	nose	nose		1.2.8		0		803,809
292347	879	Lalo	ɣa	ɣa	obtain / get	obtain / get		6.21		0		
292348	879	Lalo	mò	mò	old (person)	old (person)		7.1.8.3		0		2440
292349	879	Lalo	í	í	old (thing)	old (thing)		7.1.8.3		0		
292350	879	Lalo	à-phì-mò	à-phì-mò	old woman	old woman		7.1.8.3		0		p,2559,2440
292351	879	Lalo	ɣé-bì	ɣé-bì	water conduit, open	water conduit,open		3.2.3		0		
292352	879	Lalo	ý-bý	ý-bý	palm fiber cape	palm fiber cape		1.5.5		0		
292353	879	Lalo	thò-kjhè	thò-kjhè	pangolin	pangolin		2.2.7		0		
292354	879	Lalo	zìq-pàq	zìq-pàq	panther	panther		2.1.3		0		2805,m
292355	879	Lalo	ʔlà-thy	ʔlà-thy	panties / underwear	panties / underwear				0		
