type	text
T	<par>With the exception of Bwe, data was collected by the author during fieldwork in Thailand (2009-2011).</par><par><strong>N.Pa-O</strong>: Huai Khan village, Mok Champae sub-district, Mueang district, Mae Hong Son province</par><par><strong>S.Pa-O</strong>: Wat Thaiwatthanaram, Mae Sot district, Tak province</par><par><strong>Kayah, Kayan, Kayaw</strong>: Huai Suea Thao village, Pha Bong sub-district, Mueang district, Mae Hong Son province</par><par><strong>N.Sgaw</strong>: Huai Khom village, Mae Yao sub-district, Mueang district, Chiangrai province</par><par><strong>S.Sgaw</strong>: Pa La-U village, Huai Sat Yai sub-district, Hua Hin district, Prachuap Khiri Khan province</par><par><strong>N.Pwo</strong>: Dong Dam village, Dong Dam sub-district, Li district, Lamphun province</par><par><strong>S.Pwo</strong>: Chao Wat Yang Daeng village, Kaen Magrut sub-district, Mueang district, Uthai Thani province</par><par><strong>W.Bwe</strong>: [Henderson&apos;s Bwe Karen dictionary: with texts and English-Karen word<br />list (1997)]</par>
T	<par>From the author, regarding classification:</par><par>&quot;Even though Karenic languages have been classified with different criteria by different linguists as summarised in the first section of this paper, in selecting the Karenic languages to be used as the representatives of each branch, I adopted Kauffman’s classification which is geographically based. I do not think that a definite subgrouping can be done with certainty until many more Karenic languages spoken in Myanmar are carefully studied. In my study, two varieties of Pa-O (N.Pa-O and S.Pa-O) were chosen to represent Northern Karen (NK); Kayan, E.Kayah, W.Bwe (Henderson’s Blimaw) and Kayaw for Central Karen (CK); two varieties of Sgaw (N.Sgaw and S.Sgaw) and two varieties of Pwo (N.Pwo and S.Pwo) for Southern Karen (SK).&quot;</par><par>Regarding conventions:</par><par>&quot;I use ~ to signal &apos;part of a compound&apos; or &apos;always appear after or before a certain word&apos; while a dash to indicate an existence of prefix or sesqui-syllable.&quot;</par>
