word	rn	semcat	subcat	semkey
ADVANTAGE	6	Nabst	5a/	8.1
ADVERB	2	G	8/2.1	10.2.1
ADVERBALIZER	6	G	8/2.1	10.2.1
ADVERBIAL	24	G	8/2.1	10.2.1
ADVERBS	6	G	8/2.1	10.2.1
ADVERSATIVE	2	G	8/2.1	10.2.1
ADVERSE	4	G	8/2.1	10.2.1
ADVICE	16	Vutt	5f/14.2	8.5.14.2
ADVISE	30	Vutt	5f/14.2	8.5.14.2
ADVOCATE	4	G	8/2.1	10.2.1
ADZE	10	Ntool	9a/	5.11.5.3
AERIAL	2	x	x/	x.x
AFAR	4	Spat	6j/4	9.2.4
AFFAIR	16	Nabst	5a/	8.1
AFFECT	4	Vact	4a/1	6.1.1
AFFECTATION	2	Vact	4a/1	6.1.1
AFFECTED	4	Vact	4a/1	6.1.1
AFFECTING	4	Vact	4a/1	6.1.1
AFFECTION	6	Vpsi	5d/1.1.1	8.3.1.1.1
AFFECTIONATE	2	Vpsi	5d/1.1.1	8.3.1.1.1
AFFIRMATIVE	2	G	8/	10.0
AFFIX	24	G	8/4	10.4
AFFIX-CONTINUATIVE	0	G	8/4	10.4
AFFLATUS	1	Nbp	1a/1.2.2	1.1.2.2
AFFLICT	4	Vharm	4b.1/	6.4
AFFLICTED	2	Vharm	4b.1/	6.4
AFLOAT	10	Vliq	4b.3/5	6.6.1
AFRAID	122	Vadj	5c/1	7.1.1
AFRA	12	Vadj	5c/1	
AFRESH	4	Vadj	5c/3.1	
AFT	2	Spat	6j/	9.2
AFTER	711	Ntime	6i/4	9.1.5
AFTERBIRTH	46	Nbp	1a/9.3.4.3	1.9.6.4
AFTERGLOW	2	Nnat	2c.1/11	3.2.10
AFTERNOON	40	Ntime	6i/3	9.1.4
AFTERWARD	6	Ntime	6i/4	9.1.5
AFTERWARDS	36	Ntime	6i/4	9.1.5
AGAIN	200	G	8/1	10.1
AGAINST	90	G	8/1	10.1
AGAVE	2	Nveg	2b.1/4.1	3.1.7
AGE	62	Ntime	6i/1	9.1.2
AGED	54	Nbp	1a/	1.0
AGENTIVE	6	G	8/1	10.1
AGGRAVATED	4	Vadj	5c/8.2	9.6.2.1
AGGRES	0	Vharm	4b.1/	6.4
AGGRESS	2	Vharm	4b.1/	6.4
AGILE	2	Vadj	5c/2.1	9.6.1.2
AGITATE	4	Vmot	4b.4/10	6.7.10
AGITATED	2	Vmot	4b.4/10	6.7.10
AGO	72	Ntime	6i/4	9.1.5
AGREE	86	Vpsi	5d/1.4.1	8.3.1.4.1
AGREEABLE	4	Vpsi	5d/1.4.1	8.3.1.4.1
AGREEMENT	18	Vpsi	5d/1.4.1	8.3.1.4.1
AGRICULTURE	14	Nveg	2b.1/5	3.1.9
AGUE	8	Nmed	9a/1	5.3
AH!	2	G	8/	10.0
AHEAD	8	Spat	6j/8	9.2.8
AID	14	Vhelp	4f.2/	6.20
AIDE	0	Vhelp	4f.2/	6.20
AIDES	2	Vhelp	4f.2/	6.20
AIL	2	Vbp	1b/1.5.1	1.1.5.1
AILING	20	Vbp	1b/1.5.1	1.1.5.1
AILMENT	2	Nbp	1a/1.5.1	1.1.5.1
AIMED	68	Vadj	5c/8.3	
AIR	79	Nbp	1a/1.2.2	1.1.2.2
AIRBORNE	2	Vadj	5c/8.3	7.1.8.3
AIRCRAFT	20	Nconv	9a/	5.11.2
AIRCRAFT V	2	Nconv	9a/	5.11.2
AIRPLANE	110	Nconv	9a/	5.11.2
AIRY	2	Nbp	1a/1.2.2	1.1.2.2
AK	4	Error	x/	x.x
AKE	2	Error	x/	x.x
AKHA	4	Nhum	3a/1	4.6
ALAE NASI	27	Nbp	1a/2.8.2	1.2.8.2
ALAENASI	2	Nbp	1a/2.8.2	1.2.8.2
ALARM	8	Vutt	5f/14.2	8.5.14.2
ALCHEMICAL	2	Nart	9f/	5.11
ALCHEMY	4	Nart	9f/	5.11
ALCOHOL	12	Nveg	2b.1/3.3	3.1.6
ALCOHOLIC	6	Nveg	2b.1/3.3	3.1.6
ALDER	12	Nveg	2b.1/1.1	3.1.1
ALDLE	2	Error	x/	x.x
ALERT	17	Vbp	1b/1.4	1.1.4
ALIGHT	76	Vact	4a/	6.2
ALIKE	16	Vadj	5c/7.2	7.1.7.2
ALIVE	539	Vbp	1b/1.2.1	1.1.2.1
ALKALI	2	Nnat	2c.1/9	3.2.8
ALL	272	Num	6h/	9.9
ALLATIVE	6	G	8/4.1.1	10.4.1.1
