word	rn	semcat	subcat	semkey
DUODEN	1	Error	/	x.x
DUODENUM	4	Nbp	1a/7.7	1.7.7
DUPLICATE	0	Vact	4a/1.1.2	6.1.1.1.1
DURABLE	14	Vadj	5c/8.1	9.6.1.1
DURATION	2	Ntime	6i/4	9.1.5
DURATIVE	2	G	8/	10.0
DURING	30	G	8/1	10.1
DUSK	20	Ntime	6i/3	9.1.4.1
DUSKY	4	Ntime	6i/3	9.1.4.1
DUST	165	Nnat	2c.1/12	3.2.11
DUST-SHOWER	0	Nnat	2c.1/1	3.2.1
DUSTPAN	2	Ntool	9a/	5.11.1
DUSTY	4	Nnat	2c.1/12	3.2.11
DUTCH	2	x	x/	x.x
DUTIES	2	Nabst	5a/	8.1
DUTIFUL	4	Nabst	5a/	8.1
DUTY	2	Nabst	5a/	8.1
DWARF	54	Nhum	3a/7.1	4.2.7
DWARFISH	4	Nhum	3a/7.1	4.2.7
DWELL	24	Vact	4a/	6.2
DWELLING-HOUSE	10	Vact	4a/	6.2
DYE	152	Ntxtl	9a/	5.11.6
DYEING	8	Ntxtl	9a/	6.24
DYES	18	Ntxtl	9a/	6.24
DYING	8	Ntxtl	9a/	5.11.6
DYSENT	5	Error	/	x.x
DYSENTERY	46	Nbp	1a/7.7	1.7.7
DYSENTRY	6	Nbp	1a/1.5.1	1.1.5.1
DZO	10	Error	x/	x.x
E	152	Error	x/	x.x
E G	2	Error	x/	x.x
E G.	4	Error	x/	x.x
E S.	4	Error	x/	x.x
E.G	0	Error	x/	x.x
EACH	62	Num	6h/	9.9
EAGER	12	Vadj	5c/3.1	9.6.1.2
EAGLE	375	Nanim	2a.1/11.2	2.2.4.1
EAGLE-OWL	0	Nanim	2a.1/11.2	2.2.4.1
EAGLES	6	Nanim	2a.1/11.2	2.2.4.1
EAR	1587	Nbp	1a/2.7	1.2.7
EAR-DISC	0	Nbp	1a/2.7	1.2.7
EAR-HOLE	0	Nbp	1a/2.7	1.2.7
EARCRUD	1	Nbp	1a/2.7.3	1.2.7.3
EARDRUM	31	Nbp	1a/2.7.2	1.2.7.2
EARHOLE	62	Nbp	1a/2.7	1.2.7
EARLIER	4	Ntime	6i/	9.1.1
EARLIEST	2	Ntime	6i/	9.1.1
EARLOBE	66	Nbp	1a/2.7.1	1.2.7.1
EARLY	318	Ntime	6i/	9.1.1
EARN	42	Vact	4a/	6.2
EARNER	2	Vact	4a/	6.2
EARNEST	4	Vpsi	5d/3.4.3	8.3.3.4.2
EARNESTLY	4	Vpsi	5d/3.4.3	8.3.3.4.2
EARORNAMENTS	2	Npers	3c/3	5.11.8.3
EARPLUG	4	Nbp	1a/2.7	1.2.7
EARRING	218	Npers	3c/3	5.11.8.3
EARS	56	Nbp	1a/2.7	1.2.7
EARTH	840	Nnat	2c.1/12	3.2.11
EARTH-OIL	0	Nnat	2c.1/12	3.2.11
EARTHEN	42	Nnat	2c.1/12	3.2.11
EARTHENWARE	4	Nnat	2c.1/12	3.2.11
EARTHQUAKE	106	Nnat	2c.1/7	3.2.6
EARTHWORK	6	Nnat	2c.1/7	3.2.6
EARTHWORM	177	Nanim	2a.1/14	2.2.6
EARWAX	204	Nbp	1a/2.7.3	1.2.7.3
EARWIG	2	Nbp	1a/2.7	2.2.6
EASE	30	Vadj	5c/10	8.1
EASILY	24	Vadj	5c/10	9.6.1.1
EAST	226	Spat	6j/8	9.2.8
EASY	259	Vadj	5c/10	9.6.1.1
EAT	1175	Vbp	1b/3.5.7	1.3.5.8
EAT!	2	Vbp	1b/3.5.7	1.3.5.8
EATEN	22	Vbp	1b/3.5.7	1.3.5.8
EATER	8	Vbp	1b/3.5.7	1.3.5.8
EATING	92	Vbp	1b/3.5.7	1.3.5.8
EATING?	2	Error	x/	x.x
EATS	10	Vbp	1b/3.5.7	1.3.5.8
EAVE	0	Ndwel	9c/3.2	5.11.9.3.2
EAVES	10	Ndwel	9c/3.2	5.11.9.3.2
EBONY	2	Nveg	2b.1/1.1	3.1.1
ECHO	40	Sound	6a/	9.3
ECLIPSE	34	Nnat	2c.1/11	3.2.10
ECONOMICAL	4	Vexch	4f.4/	6.22
ECONOMISE	2	Vexch	4f.4/	6.22
ECONOMIZE	12	Vexch	4f.4/	6.22
ECZEMA	3	Nbp	1a/6.5.3	1.6.5.3
EDDY	2	Nnat	2c.1/4	3.2.3
EDEMIC	2	Nmed	9a/1	5.3
EDGE	253	Spat	6j/7	9.2.7
EDGE LIPS,MOU	2	Error	/	x.x
EDGE-TOOL	0	Ntool	9a/1	5.11.5.3
EDGED	42	Spat	6j/7	9.2.7
EDGES	10	Spat	6j/7	9.2.7
EDIBLE	66	Vadj	5c/4.4	
EDIBLESAP	2	Error	x/	x.x
EDUCATE	6	Vsoc	4f.1/	6.19
EDUCATED	0	Vsoc	4f.1/	6.19
EEL	6	Nanim	2a.1/13	2.2.5
EFFACED	12	Vundo	4c.5/	6.9
EFFECT	4	Nabst	5a/	8.1
EFFERVESCE	4	Error	x/	x.x
EFFICACY	2	Vqual	6d/1	9.6.1
EFFIGY	2	Ncult	9d/	5.8
EFFORT	12	Nabst	5a/	8.1
EFFORTS	2	Nabst	5a/	
EFFUVIUM	2	Error	x/	x.x
EGG	1038	Nbp	1a/9.3.3	1.9.1
EGG-SHAPED	0	Nbp	1a/9.3.3	9.7.2
EGGPLANT	169	Nveg	2b.1/3.2	3.1.5
EGGS	48	Nbp	1a/9.3.3	1.9.1
EGGSHELL	12	Nbp	1a/9.3.3	1.9.1
EGGYOLK	2	Nbp	1a/9.3.3	1.9.1
EH!	2	G	8/8	10.7
EIGHT	494	Num	6h/	9.9
EIGHTEEN	176	Num	6h/	9.9
EIGHTH	132	Num	6h/	9.9
EIGHTY	240	Num	6h/	9.9
EIGHT`	2	Error	x/	x.x
EITHER	2	G	8/1	10.1
EJACULATE	33	Nbp	1a/9.2.2.3	1.9.9.2
EJACULATI	1	Error	/	x.x
EJECT	13	Vact	4a/	6.2
EKE	2	Vact	4a/2.2	6.2.2.2
ELA	20	Error	x/	x.x
ELAS	0	Error	x/	x.x
ELASTIC	32	Vadj	5c/4.2	7.1.4.2
ELBOW	739	Nbp	1a/5.11.3	1.5.8.3
ELDER	556	Nkin	3b/1	4.7.1
ELDERS	4	Nkin	3b/1	4.7.1
ELDEST	34	Nkin	3b/2	4.7.2
ELECTRICAL	34	Nart	9f/	5.11
ELECTRICITY	8	Nart	9f/	5.11
ELEGANT	2	Vadj	5c/3.2	7.1.3
ELEPHANT	476	Nanim	2a.1/5	2.2.1
ELEPHANTIASIS	4	Nmed	9a/1	5.3
ELEPHANTS	2	Nanim	2a.1/5	2.2.1
ELEUSINE	30	Error	x/	x.x
ELEVATE	4	Vmot	4b.4/7	6.7.7
ELEVATED	12	Vmot	4b.4/7	6.7.7
ELEVEN	208	Num	6h/	9.9
ELEVENTH	106	Num	6h/	9.9
ELIMINATE	2	Vcos	6c/	9.5
ELK	6	Nanim	2a.1/8	2.2.2
ELM	2	Nveg	2b.1/1.1	3.1.1
ELONGATED	6	Vadj	5c/5.1	7.1.5.1
ELOPE	12	Vsoc	4f.1/	6.19
ELSE	18	G	8/1	10.1
EMACIATED	10	Vadj	5c/3.1	7.1.3
EMACIATED?	2	Error	x/	x.x
EMANATE	2	Vact	4a/1	6.1.1
EMANCIPATE	2	Vsoc	4f.1/	6.19
EMBANKMENT	6	Nnat	2c.1/4	3.2.3
EMBARASSED	2	Error	x/	x.x
EMBARRASSED	2	Vpsi	5d/	8.3
EMBER	8	Nfire	2c.3/3.3	3.2.12.2
EMBERS	4	Nfire	2c.3/3.3	3.2.12.2
EMBRACE	124	Vfeel	5e/	8.4
EMBRACED	2	Vfeel	5e/	8.4
EMBROIDERY	8	Ncult	9d/	5.8
EMBRYO	4	Nbp	1a/9.3.4.1	1.9.6.1
EMERALD	2	Nnat	2c.1/10	3.2.9
EMERGE	16	Vmot	4b.4/2	6.7.2
EMIGRATE	2	Vmot	4b.4/2	6.7.2
EMITTING	22	Vutt	5f/5	8.5.5
EMOTION	6	Vpsi	5d/1.5.3	8.3.1.5.3
EMOTIONS	38	Vpsi	5d/1.5.3	8.3.1.5.3
EMPEROR	6	Nhum	3a/5	4.2.5
EMPHATIC	16	G	8/8	10.7
EMPLOY	10	Vact	4a/2.7.1	6.2.2.7.1
EMPLOYED	4	Vadj	5c/3.1	
EMPLY	2	Error	x/	x.x
EMPTY	201	Vadj	5c/2.1	7.1.2.1
ENACT	8	Vact	4a/2.2	6.2.2.2
ENBANKMENT	2	Error	x/	x.x
ENCIRCLE	20	Vshiz	6f/	9.7.2
ENCIRCLED	4	Vshiz	6f/	9.7.2
ENCLOSE	8	Nloc	6k/4.0	9.10.5
ENCLOSING	2	Nloc	6k/4.0	9.10.5
ENCLOSURE	132	Nloc	6k/4.0	9.10.5
ENCOUNTER	8	Vjoin	4d.2/3	6.13.4
ENCOURAGE	18	Vpsi	5d/2.3.3	8.3.2.3.3
ENCROACH	2	Vmot	4b.4/10	6.7.10
END	204	Vcos	6c/	9.5
ENDEAVOR	8	Vact	4a/	6.2
ENDED	2	Vcos	6c/	9.5
ENDER	2	Vabst	5b/	
ENDING	4	Vcos	6c/	9.5
ENDOWMENT	4	N$	9d/	5.9
ENDQUOTE	2	G	8/	10.0
ENDURE	46	Vact	4a/	6.2
ENDURING	2	Vact	4a/	6.2
ENEMY	237	Nhum	3a/6	4.2.6
ENERGY	20	Nbp	1a/1.4	1.1.4
ENFOR	2	Error	x/	x.x
ENGAGE	16	Vact	4a/2.1	6.2.2.1
ENGAGED	10	Vact	4a/2.1	6.2.2.1
ENGAGEMENT	2	Vact	4a/2.1	6.2.2.1
ENGRAVE	6	Nwrit	9a/	5.11.5.3
ENHALE	2	Error	x/	x.x
ENJOY	48	Vpsi	5d/1.1.1	8.3.1.1.1
ENJOYABLE	2	Vpsi	5d/1.1.1	8.3.1.1.1
ENLARGE	2	Vcos	6c/	9.5
ENLARGED	20	Vcos	6c/	9.5
ENLARGEMENT	2	Vcos	6c/	9.5
ENMITY	14	Vpsi	5d/1.1.2	8.3.1.1.2
ENOUGH	221	Vbp	1b/1.3.2	1.1.3.2
ENQUIRE	6	Vutt	5f/7.1	8.5.7.1
ENQUIRY	2	Vutt	5f/7.1	8.5.7.1
ENSIGN	2	Ncult	9d/	5.8
ENSLAVE	4	Vsoc	4f.1/	6.19
ENSLAVEMENT	2	Vsoc	4f.1/	6.19
ENSNARED	2	Nhusb	9e/	5.14
ENTANGLE	8	Vjoin	4d.2/3	6.13.4
ENTANGLED	4	Vjoin	4d.2/3	6.13.4
ENTER	300	Vmot	4b.4/1	6.7.1
ENTERING	2	Vmot	4b.4/1	6.7.1
ENTERITI	1	Error	/	x.x
ENTERITIS	2	Vmot	4b.4/1	6.7.1
ENTERPRISING	2	Vmot	4b.4/1	6.7.1
ENTERTAI	2	Error	x/	x.x
ENTERTAIN	14	Vsoc	4f.1/	6.19
ENTHUSIASM	0	Vpsi	5d/1.5.4	8.3.1.5.4
ENTHUSIASM<HAPPY	2	Vpsi	5d/1.5.4	
ENTHUSIASTIC	2	Vpsi	5d/1.5.4	8.3.1.5.4
ENTICE	4	Vpsi	5d/2.7.2	8.3.2.7.2
ENTIRE	8	Vadj	5c/5.1	7.1.6.2
ENTIRELY	4	Vadj	5c/5.1	7.1.2.2
ENTIRETY	2	Vadj	5c/5.1	
ENTRAIL	3	Nbp	1a/7.7	1.7.7
ENTRAILS	48	Nbp	1a/7.7	1.7.7
ENTRANCE	2	Ndwel	9c/3	5.11.9.3
ENTRAP	4	Nhusb	9e/	5.14
ENTREAT	2	Vutt	5f/7.2	8.5.7.2
ENTRUST	2	Vpsi	5d/	8.3
ENTRY	2	Ndwel	9c/3	5.11.9.3
ENTWINE	2	Nrope	9a/	5.11.6
ENUMERATE	4	Vact	4a/	6.2
ENUNCIATION	2	Vutt	5f/10.1	8.5.10.1
ENVELOP	8	Vact	4a/	6.2
ENVIOUS	30	Vpsi	5d/2.6.2	8.3.2.6.2
ENVIRONM	0	Error	x/	x.x
ENVY	44	Vpsi	5d/2.6.2	8.3.2.6.2
ENVY`	4	Error	/	x.x
ENWRAP	2	Vact	4a/2.2	6.2.2.2
EPIDEMIC	4	Nbp	1a/1.5.1	1.1.5.1
EPIDER	1	Error	/	x.x
EPIDERMI	0	Error	x/	x.x
EPIDERMIS	4	Nbp	1a/6.5	1.6.5
EPIGASTRIC	2	Nbp	1a/4.7	1.4.7
EPIGASTRIUM	3	Nbp	1a/4.7	1.4.7
EPIGLOTTIS	5	Nbp	1a/3.5	1.3.5
EPILEPSY	10	Nmed	9a/1	5.3
EPIPHYTE	2	Nveg	2b.1/1.1	3.1.1
EPIPHYTES	2	Nveg	2b.1/1.1	3.1.1
EPITHET	2	Ncult	9d/	5.8
EPOCH	2	Ntime	6i/4	9.1.5
EQUAL	40	Vadj	5c/5.1	8.2
EQUALLY	4	Vadj	5c/5.1	7.1.8.3
EQUIPMENT	2	Ntool	9a/4	5.11.5.4
EQUIRREL	2	Error	x/	x.x
EQUIVALENT	2	Vadj	5c/5.1	8.2
ERASE	44	Vundo	4c.5/	6.9
ERASED	2	Vundo	4c.5/	6.9
ERECT	44	Vadj	5c/5.1	6.14
ERECTED	4	Vadj	5c/5.1	
ERECTIO	1	Error	/	x.x
ERECTION	8	Vadj	5c/5.1	1.9.7
ERG	2	G	8/4.2.4	10.4.2.4
ERGATIVE	4	G	8/4.2.4	10.4.2.4
ERODE	6	Vcos	6c/	9.5
ERR	24	Vact	4a/	6.2
ERROR	4	Vact	4a/	6.2
ERUPTION	8	Nnat	2c.1/7	3.2.6
ESCAPE	161	Vmot	4b.4/2	6.7.2
ESCARPMENTS	2	Nnat	2c.1/6	3.2.5
ESCORT	28	Vsoc	4f.1/	6.19
ESCORTS	4	Vsoc	4f.1/	6.19
ESCULENT	2	Vadj	5c/	
ESOPHA	0	Error	x/	x.x
ESOPHAGUS	51	Nbp	1a/3.5.5	1.3.5.5
ESOPHOGUS	2	Nbp	1a/	1.3.5.5
ESP	64	Error	x/	x.x
ESPECIALLY	4	Vadj	5c/7.1	7.1.2.2
ESSENCE	4	Nabst	5a/	8.1
ESTABLISH	4	Vmake	4d.3/	6.14
ESTATE	2	Nloc	6k/3	9.10.3
ESTEEM	6	Nabst	5a/	8.1
ESTIMATE	18	Vpsi	5d/1.13.2	8.3.1.13.2
ETC	297	Error	/	1.5.3.2
ETC.	0	Error	x/	x.x
ETHNIC	4	Ncult	9d/	5.8
ETHNONYM	4	Ncult	9d/	5.8
EVACUATE	4	Vact	4a/	6.2
EVAPORATE	6	Vliq	4b.3/	6.6
EVEN	102	Vadj	5c/5.1	10.1.2.2
EVEN-TEMPERE	0	Vadj	5c/5.1	
EVENES	0	Error	x/	x.x
EVENESS	2	Vadj	5c/5.1	
EVENING	233	Ntime	6i/3	9.1.4.4
EVENING!	2	Error	x/	x.x
EVENLESS	2	Vadj	5c/5.1	
EVENLY	4	Vadj	5c/5.1	9.6.1.1
EVENT	104	Nsoc	9d/	5.8
EVER	6	G	8/1	10.1
EVERGREEN	4	Nveg	2b.1/1.1	3.1.1
EVERY	120	Num	6h/	9.9
EVERYBODY	2	Nhum	3a/2	4.1
EVERYDAY	4	Ntime	6i/2	9.1.3
EVERYONE	6	Nhum	3a/2	4.1
EVERYTHING	16	Num	6h/	9.9
EVERYWHERE	16	Nloc	6k/4.0	9.10.5
EVEVATE	0	Error	x/	x.x
EVICT	6	Vact	4a/	6.2
EVIL	82	Vpsi	5d/1.15	8.3.1.15
EVIL SP	1	Error	/	x.x
EVIL~EYE	0	Nbp	1a/2.6	1.2.6
EWE	8	Nanim	2a.1/4	2.1.8
EXACERBATE	14	Vcos	6c/	9.5
EXACT	12	Vadj	5c/2.2	7.1.8.3
EXACTLY	10	Vadj	5c/10	7.1.8.3
EXAGGERATE	40	Vutt	5f/15	8.5.15
EXALT	6	Vpsi	5d/1.15	8.3.1.15
EXAMINATION	2	Vact	4a/	6.2
EXAMINE	42	Vact	4a/	6.2
EXAMPLE	4	Nart	9f/	5.11
EXASP	6	Error	x/	x.x
EXCAVATE	8	Vdig	4c.8/	6.11
EXCEED	38	Vadj	5c/10	9.9
EXCEEDINGLY	2	Vadj	5c/10	7.1.2.2
EXCEL	6	Vqual	6d/1	9.6.1
EXCELLENT	8	Vqual	6d/1	9.6.1
EXCEOT	2	Error	x/	x.x
EXCEPT	8	G	8/1	10.1
EXCES	0	Error	x/	x.x
EXCESS	24	Vadj	5c/2.2	7.1.2.1
EXCESSIVE	10	Vadj	5c/2.2	7.1.2.2
EXCESSIVELY	8	Vadj	5c/2.2	7.1.2.2
EXCHA	0	Error	x/	x.x
EXCHANGE	284	Vexch	4f.4/	6.22
EXCHANGED	2	Vexch	4f.4/	6.22
EXCHANGING	4	Vexch	4f.4/	6.22
EXCITE	6	Vpsi	5d/1.5.6	8.3.1.5.5
EXCITED	10	Vpsi	5d/1.5.6	8.3.1.5.5
EXCITEDLY	2	Vpsi	5d/1.5.6	8.3.1.5.5
EXCITEMENT	2	Vpsi	5d/1.5.6	8.3.1.5.5
EXCL	4	G	8/4.1.4	10.4.1.4
EXCLAIM	2	Vutt	5f/10.1	8.5.10.1
EXCLUDE	6	Vsep	4c.7/4	6.10.4
EXCLUDING	2	Vsep	4c.7/4	6.10.4
EXCLUSIVE	2	Vsep	4c.7/4	6.10.4
EXCREMEN	1	Error	/	x.x
EXCREMENT	322	Nbp	1a/8.6	1.8.5
EXCREMENTS	6	Nbp	1a/8.6	1.8.5
EXCRESCENCE	2	x	x/	x.x
EXCRETA	10	Nbp	1a/8.6	1.8.5
EXCRETION	2	Nbp	1a/8.6	1.8.5
EXCUSE	8	Vutt	5f/11	8.5.11
EXECUTED	4	Vadj	5c/8.3	
EXECUTIONERS	4	Nhum	3a/3.1	4.2.1
EXEMPTED	6	Vadj	5c/8.3	7.1.8.3
EXERT	4	Vact	4a/2.2	6.2.2.2
EXERTION	2	Vact	4a/2.2	6.2.2.2
EXHALATION	4	Vbp	1b/1.2.2	1.1.2.2
EXHALE	16	Vbp	1b/1.2.2	1.1.2.2
EXHANGE	2	Error	x/	x.x
EXHAUST	4	Vact	4a/2.1	6.2.2.1
EXHAUSTED	28	Vact	4a/2.1	6.2.2.1
EXHIBIT	14	Vact	4a/2.8	6.2.2.8
EXHORTATION	2	Vutt	5f/16	8.5.16
EXHUME	2	Vdig	4c.8/	6.11
EXIST	59	Nbp	1a/1.2.3	1.1.2.3
EXISTENCE	10	Nbp	1a/1.2.3	1.1.2.3
EXISTENTIAL	6	Vbp	1b/1.2.3	1.1.2.4
EXIT	127	Vmot	4b.4/2	6.7.2
EXOERT	2	Error	x/	x.x
EXORCISE	12	Nrel	9d/3.1	5.8.3.1
EXORCISM	2	Nrel	9d/3.1	5.8.3.1
EXORDIUM	2	Vutt	5f/16	8.5.16
EXPAND	34	Vcos	6c/	9.5
EXPANDED	4	Vcos	6c/	9.5
EXPAND	2	Error	x/	x.x
EXPANSE	2	Spat	6j/7	9.2.7
EXPECTANCY	14	Vpsi	5d/1.7.3	
EXPECTATION	2	Vpsi	5d/1.7.3	8.3.1.7.3
EXPECTED	2	Vpsi	5d/1.7.3	8.3.1.7.3
EXPECTORATE	7	Nbp	1a/8.4	1.8.3
EXPEDITIOUSLY	2	Vadj	5c/2.2	
EXPEL	6	Vmot	4b.4/2	6.7.2
EXPENDED	2	N$	9d/	5.9
EXPENSES	2	N$	9d/	5.9
EXPENSIVE	184	N$	9d/	5.9
EXPERIENCE	10	Vpsi	5d/	8.3
EXPERIENCED	38	Vpsi	5d/	8.3
EXPERIENTIAL	4	Vpsi	5d/	8.3
EXPERT	8	Nhum	3a/3.3	4.2.3
EXPLAIN	18	Vutt	5f/14.3	8.5.14.3
EXPLODE	22	Vcos	6c/	9.5
EXPLORE	2	Vact	4a/	6.2
EXPODE	0	Error	x/	x.x
EXPOSE	18	Vact	4a/2.1	6.2.2.1
EXPOSITION	2	Vact	4a/2.1	6.2.2.1
EXPOSURE	2	Vact	4a/2.1	6.2.2.1
EXPOUND	2	Vutt	5f/14.3	8.5.14.3
EXPRES	4	Error	x/	x.x
EXPRESS	6	Vutt	5f/14.2	8.5.14.2
EXPRESSION	2	Vutt	5f/14.2	8.5.14.2
EXPRESSIVE	2	G	8/8	10.7
EXSULTATIVE	4	Error	x/	x.x
EXTEND	24	Vcos	6c/	9.5
EXTENDED	6	Vcos	6c/	9.5
EXTENSIVELY	4	Vadj	5c/10	7.1.2.2
EXTENT	6	Spat	6j/7	9.2.7
EXTERIOR	6	Spat	6j/	9.2
EXTERMINATED	2	Vharm	4b.1/	6.4
EXTERN	2	Nhum	3a/3.1	4.2.1
EXTERNAL	10	Spat	6j/	9.2
EXTIGUISH	2	Error	x/	x.x
EXTING	0	Error	x/	x.x
EXTINGUISH	151	Vburn	2c.2/	3.2.12.1
EXTINGUISHED	17	Vburn	2c.2/	3.2.12.1
EXTORT	4	Vharm	4b.1/	6.4
EXTORTION	2	Vharm	4b.1/	6.4
EXTRA	12	Num	6h/	9.9
EXTRAC	0	Error	x/	x.x
EXTRACT	30	Vsep	4c.7/4	6.10.4
EXTRACTED	4	Vsep	4c.7/4	6.10.4
EXTRACT	2	Error	x/	x.x
EXTRAORDINARY	8	Vadj	5c/7.1	7.1.7.1
EXTREME	2	Vadj	5c/2.2	7.1.2.2
EXTREMELY	2	Vadj	5c/2.2	7.1.2.2
EXTREMITIES	8	Nbp	1a/5.3	1.5.3
EXTREMITY	15	Nbp	1a/5.3.1	1.5.3.1
EXTRICATE	2	Vsep	4c.7/1.1	6.10.1
EXUDATION	2	Vact	4a/2.1	6.2.2.1
EXUDE	2	Vact	4a/2.1	6.2.2.1
EYE	1554	Nbp	1a/2.6	1.2.6
EYE ILLNESS	1	Nbp	1a/2.6.11	1.2.6.14
EYE LID	3	Nbp	1a/2.6.4	1.2.6.4
EYE SAND	1	Nbp	1a/2.6.8	1.2.6.8
EYE SOCKET	2	Nbp	1a/2.6	1.2.6
EYE-BONE	0	Nbp	1a/2.6.6	1.2.6.6
EYE-BROW	0	Nbp	1a/2.6.6	1.2.6.6
EYE-DIRT	0	Nbp	1a/2.6.8	1.2.6.8
EYE-LASH	0	Nbp	1a/2.6.5	1.2.6.5
EYE-LID	0	Nbp	1a/2.6.4	1.2.6.4
EYE-MUCU	0	Error	x/	x.x
EYE-SOCKET	0	Nbp	1a/2.6	1.2.6
EYE-TOOTH	0	Nbp	1a/3.4.1	1.3.4.1
EYE?	2	Error	/	x.x
EYEBALL	185	Nbp	1a/2.6.1	1.2.6.1
EYEBROW	509	Nbp	1a/2.6.6	1.2.6.6
EYEBROWS	4	Nbp	1a/2.6.6	1.2.6.6
EYECRUD	0	Nbp	1a/2.6.8	1.2.6.8
EYED	40	Vbp	1b/2.6	1.2.6
EYEHOLE	2	Nbp	1a/2.6	1.2.6
EYELASH	266	Nbp	1a/2.6.5	1.2.6.5
EYELASH?	0	Error	x/	x.x
EYELASHES	8	Nbp	1a/	1.2.6.5
EYELESS	8	Nbp	1a/2.6	1.2.6
EYELID	153	Nbp	1a/2.6.4	1.2.6.4
EYES	172	Nbp	1a/2.6	1.2.6
EYESIGHT	41	Nbp	1a/2.6.9	1.2.6.10
EYETOOTH	77	Nbp	1a/3.4.1	1.3.4.1
F'MENTED	2	Error	x/	x.x
FABLE	14	Ncult	9d/	5.8
FABRIC	2	Ntxtl	9a/	5.11.6
FABRICATE	0	Ntxtl	9a/	5.1
FABULOU	0	Error	/	x.x
FABULOUS	4	Vadj	5c/8.1	
FACE	1134	Nbp	1a/2.5	1.2.5
FACE-DOWN	0	Vbp	1b/2.5	1.2.5
FACED	10	Vbp	1b/2.5	1.2.5
FACIAL	6	Nbp	1a/2.5	1.2.5
FACIAL HAIR	1	Nbp	1a/2.5	1.2.5
FACING	2	Vbp	1b/2.5	1.2.5
FACT	12	Nabst	5a/	8.1
FACTION	2	Nabst	5a/	8.1
FACTORY	6	Nloc	6k/5	9.10.6
FACULTY	2	Nabst	5a/	8.1
FADE	30	Vcos	6c/	9.5
FADED	56	Vcos	6c/	9.5
FADED WITHERED	2	Vcos	6c/	9.5
FADING	2	Vcos	6c/	9.5
FAECES	7	Nbp	1a/8.6	1.8.5
FAGOTS	2	Nveg	2b.1/1.2	3.1.2
FAIL	64	Vact	4a/1	6.1.1
FAILURE	2	Vact	4a/1	6.1.1
FAINT	26	Vbp	1b/1.5.1	1.1.5.1
FAIRLY	4	Vadj	5c/10	
FAITH	86	Vpsi	5d/1.15	8.3.1.15
FAITHFUL	4	Vadj	5c/3.1	9.6.1.2
FALCON	30	Nanim	2a.1/11.2	2.2.4.1
FALL	827	Vmot	4b.4/8	6.1.1.4.2
FALLEN	4	Vmot	4b.4/8	6.7.8
FALLING	18	Vmot	4b.4/8	6.7.8
FALLOW	6	Nnat	2c.1/12	3.2.11
FALLS	4	Vmot	4b.4/8	6.7.8
	4	Error	/	
FALSE	280	Vadj	5c/8.2	9.6.2.1
FALSEHOOD	16	Vutt	5f/10.4	8.5.10.4
FALSELY	8	Vadj	5c/8.2	9.6.2.1
FALSO	2	Error	x/	x.x
FAME	6	Vadj	5c/7.1	8.1
FAMILIAR	6	Vadj	5c/7.2	7.1.7.2
FAMILIARLY	2	Vadj	5c/7.2	
FAMILIA	2	Error	x/	x.x
FAMILY	72	Nkin	3b/5	4.7.5
FAMINE	30	Nbp	1a/1.3	1.1.3
FAMOU	0	Error	x/	x.x
FAMOUS	14	Vadj	5c/7.1	7.1.7.1
FAN	162	Ntool	9a/2	5.11.5
FANE	2	Error	x/	x.x
FANG	34	Nbp	1a/3.4.1	1.3.4.1
FANNING	0	Vmot	4b.4/10	6.7.10
FAR	351	Vadj	5c/	9.2.4
FAREWELL	4	Vutt	5f/11	8.5.11.2
FARM	14	Nloc	6k/4.0	9.10.5
FARMER	130	Nloc	6k/4.0	9.10.5
FARMING	6	Vveg	2b.2/	3.1.10
FARMLAND	2	Nloc	6k/4.0	9.10.5
FARMYARD	2	Nloc	6k/4	9.10.4
FART	437	Nbp	1a/8.6.2	1.8.5.2
FASHION	16	Vmake	4d.3/	6.14
FASIDA	2	Error	x/	x.x
FAST	490	Vadj	5c/2.2	9.6.1.1
FASTEN	60	Vjoin	4d.2/1.3	6.13.3
FASTENER	2	Vjoin	4d.2/1.3	6.13.3
FASTENING	4	Vjoin	4d.2/1.3	6.13.3
FASTIDIOUS	2	Vadj	5c/3.2	
FASTING	2	Vbp	1b/3.5.7	1.3.5.8
FAT	1381	Nbp	1a/6.4	1.6.4
FAT GREASE,OILY,SAVO	0	Nbp	1a/6.4	1.6.4
FATE	10	Nrel	9d/1.3	5.8.1.3
FATED	2	Nrel	9d/1.3	5.8.1.3
FATHE	4	Error	x/	x.x
FATHER	773	Nkin	3b/1	4.7.1
FATHER-IN-LAW	0	Nkin	3b/4	4.7.4
FATHERS	14	Nkin	3b/1	4.7.1
FATHOM	158	Meas	6g/	9.8
FATHOM=6	104	Error	x/	x.x
FATIGUE	4	Vpsi	5d/1.11.10	8.3.1.11.2
FATIGUED	8	Vpsi	5d/1.11.10	8.3.1.11.2
FATTEN	8	Vbp	1b/6.4	1.6.4
FATTY	51	Vbp	1b/6.4	1.6.4
FAULT	2	Nabst	5a/	8.1
FAULTY	4	Nabst	5a/	8.1
FAVOR	10	Vpsi	5d/1.1.1	8.3.1.1.1
FAVOUR	4	Vpsi	5d/1.1.1	8.3.1.1.1
FAVUS	12	Nbp	1a/2.1.5	1.2.1.5
FAWN	2	Nanim	2a.1/8	2.2.2
FEAR	392	Vpsi	5d/1.10.2	8.3.1.10.1
FEARFUL	40	Vpsi	5d/1.10.2	8.3.1.10.1
FEAST	28	Nfood	9b/	5.5
