hptbid	plg	protoform	gloss	pages	mainpage	init	allofams	semclass	semclass2	tags	etyma_links
24	PLB	*ʔu²	head	477		*ʔ	*ʔu	bodypart			
25	PLB	*ʔu³	egg / sit on eggs	180		*ʔ	*ʔu	animal			
26	PTB	*ʔuk ⪤ *kuk	crooked / bent / knee / angle / return / back	57		*ʔ	*ʔuk ⪤ *kuk	bodypart		2252	2252
27	PTB	*ʔul	hand	58		*ʔ	*ʔul	bodypart		373	373
28	PTB	*ʔul	skin	58		*ʔ	*ʔul	bodypart	clothe	3546	591,3546
29	PTB	*ʔuːm	mouthful	496		*ʔ	*ʔuːm	bodypart		1706	1706
30	PTB	*m-ʔuːm	hold in the mouth	276, 308		*ʔ	*ʔuːm	bodypart			3451
31	PTB	*ʔum ⪤ *kum	block / pillow	57		*ʔ	*ʔum ⪤ *kum	tool		692,2356	692,2356
32	PTB	*ʔup ⪤ *gup	hatch / cover	57, 369		*ʔ	*ʔup ⪤ *gup	animal	clothe	2767,1233?	1233,2767
33	PTB	*ʔur	make noise / hum / chat / babble	385, 396, 402		*ʔ	*ʔur	noise		?	
34	PTB	*ʔuːr	fire / burn / kindle / roast	428		*ʔ	*ʔuːr	kinship		?	
35	PTB	*ʔut	swaggering / noisy	364		*ʔ	*ʔut	noise		2768	2768
36	PLB	*ʔ-ba¹	patch	163		*b	*ba	tool	clothe		
37	PLB	*ʔ-ba²	civet cat	163		*b	*ba	animal		?	
38	PLB	*ʔ-ba²	frog	74, 113, 428		*b	*ba	animal			
39	PTB	*ba	carry on back	24		*b	*ba	bodypart		2144	2144
40	PTB	*ba	thin	24, 162, 169, 440		*b	*ba	bodypart		2143	2143
41	PTB	*ba-y	cheek	486		*b	*ba	bodypart		268,271	268,271
42	PTB	*ba-y	what	488		*b	*ba	kinship		?	
43	PLB	*ba²	cheek	163		*b	*ba	bodypart			
44	PLB	*ba²	nearby place / vicinity	163		*b	*ba	place		?	
45	PLB	*ba²	thin	19		*b	*ba	bodypart			
46	PTB	*m-ba	shine / bright	123, 163		*b	*ba	light		?	
47	PTB	*m-ba	wave (in water)	174		*b	*ba	water		3583	3583
48	PLB	*m-ba²/³	tail	123		*b	*ba	bodypart	reproductive	?	
49	PTB	*s/m-ba ⪤ *s/m-baːy	throw	170, 231, 483		*b	*ba ⪤ *baːy	place		?	
50	PLB	*ʔ-bakᴸ	side	113		*b	*bak	bodypart		1305?	1305
51	PTB	*baːk	bat	325, 326		*b	*baːk	animal		2146	2146
52	PTB	*bal	tired	386, 404, 406, 427		*b	*bal	bodypart		103	103
53	PTB	*s-bal	frog	404, 405, 428		*b	*bal	animal		2148	2148
