chapter	heading	semcat	subcat	cf	n
5d	Honor	Vpsi	2.5.2		7
5d	Flatter	Vpsi	2.5.3		2
5d	Tolerate	Vpsi	2.5.4		4
5d	Ignore	Vpsi	2.5.5		2
5d	Disobedient	Vpsi	2.5.6	x	2
5d	Trust	Vpsi	2.5.7	x	4
5d	Admire	Vpsi	2.6.1		7
5d	Envy	Vpsi	2.6.2		3
5d	Flirt, seduce	Vpsi	2.7.1		4
5d	Entice, tempt	Vpsi	2.7.2		4
5d	Forgive	Vpsi	2.9.1		2
5d	Correct	Vpsi	3.10	x	4
5d	Kind	Vpsi	3.2.1		5
5d	Cruel	Vpsi	3.2.2		2
5d	Discern	Vpsi	3.3.1		3
5d	Honest	Vpsi	3.4.1		3
5d	Earnest/sincere	Vpsi	3.4.3		2
5d	Deceive	Vpsi	3.4.4		2
5d	Positive/neutral	Vpsi	3.4.4.1		2
5d	Negative	Vpsi	3.4.4.2		7
5d	Guilty	Vpsi	3.6.2		2
5d	Modest	Vpsi	3.8.1		2
5d	Ashamed	Vpsi	3.8.3		7
4e.3	Putting	Vput		*	24
6d	Positive/Desirable qualities	Vqual	1		19
6d	Neutral and Negative qualities	Vqual	2		30
4a.2	Friction	Vrub		*	8
4c.7	Unintentional loss -Misplace	Vsep	1.1		7
4c.7	Intentional loss - Abandon	Vsep	1.2		16
4c.7	Wide separation - Scatter	Vsep	2		9
4c.7	Intentional separation - Sort	Vsep	4		28
6f	Verbs referring to size/shape	Vshiz		*	65
4f.1	Social action	Vsoc		*	65
4c.9	Throwing	Vthrw		*	17
4c.5	Undoing	Vundo		*	25
5f	Utterance	Vutt		*	72
5f	Scold	Vutt	1		24
5f	Complain	Vutt	2.1		12
5f	Complement, praise	Vutt	2.2		2
5f	Declare	Vutt	3		14
5f	Loud	Vutt	4.1		9
5f	Soft	Vutt	4.2		4
5f	Accented	Vutt	4.3		3
5f		Vutt	4.6		5
5f	Choppy	Vutt	4.7		2
5f	Sounds	Vutt	5	x	30
5f	Answer	Vutt	6	x	8
5f	Bid	Vutt	7	x	3
5f	Ask	Vutt	7.1	x	5
5f	Implore/Coax	Vutt	7.2	x	2
5f	Coax	Vutt	7.3	x	4
5f	Banter/Discourse	Vutt	8	x	14
5f	Jest	Vutt	9	x	4
5f	Talk, say	Vutt	10.1		15
5f	Garrulosity, verbosity	Vutt	10.2		10
5f	Talk with purpose of convincing	Vutt	10.3		2
5f	Falsehood	Vutt	10.4	x	4
5f	Formulaic	Vutt	11		6
5f	Introduction	Vutt	11.2		2
5f	Farewells	Vutt	11.3		3
5f	Apology/excuse	Vutt	11.5		3
5f	Invite	Vutt	11.6		2
5f	Beckon	Vutt	13	x	9
5f	Spread information, present ideas	Vutt	14.1		4
5f	Reveal or give information	Vutt	14.2		8
5f	Explain	Vutt	14.3		3
5f	Boast	Vutt	15	x	9
5f	Dedicate	Vutt	16	x	12
2b.2	Verbs involving plants	Vveg			65
x		x		x	57
