chapter	heading	semcat	subcat	cf	n
1a	Knuckle/Phalanx	Nbp	5.11.5		3
1a	Cubit	Nbp	5.14		2
1a	Span/Handspan	Nbp	5.15		5
1a	Fathom/Cord	Nbp	5.16		2
1a	Nail	Nbp	5.17		2
1a	Fingernail	Nbp	5.17.1		3
1a	Toenail	Nbp	5.17.2		4
1a	Cuticle	Nbp	5.17.3		2
1a	Claw/Talon/Pincer	Nbp	5.17.4		7
1a	Numb/Paralyzed	Nbp	5.18		3
1a	Lame/Limp	Nbp	5.19		2
1a	Foot	Nbp	5.2		10
1a	Heel	Nbp	5.2.1		3
1a	Instep	Nbp	5.2.2		0
1a	Arch	Nbp	5.2.3		3
1a	Footprint	Nbp	5.2.5		0
1a	Hands and Feet/Arms and Legs	Nbp	5.3		3
1a	Limb/Branch	Nbp	5.3.1		13
1a	Hoof/Paw	Nbp	5.4		0
1a	Palm/Sole	Nbp	5.6		5
1a	Finger/Toe	Nbp	5.7		17
1a	Thumb/Big Toe	Nbp	5.7.1		2
1a	Other Specific Digits	Nbp	5.7.2		3
1a	Fingerprint	Nbp	5.7.3		0
1a	Arm	Nbp	5.8		8
1a	Bicep/Upper Arm	Nbp	5.8.1		4
1a	Forearm	Nbp	5.8.2		2
1a	Underarm/Armpit	Nbp	5.8.3		2
1a	Tickle	Nbp	5.8.4		4
1a	Leg	Nbp	5.9		12
1a	Thigh	Nbp	5.9.1		6
1a	Shin/Tibia	Nbp	5.9.2		6
1a	Calf	Nbp	5.9.3		0
1a	Diffuse Organs	Nbp	6.0		3
1a	Body Hair/Fur	Nbp	6.1		14
1a	Feather	Nbp	6.1.1		5
1a	Wool	Nbp	6.1.3		5
1a	Blood/Bleed	Nbp	6.2		7
1a	Blood Vessel/Vein/Artery	Nbp	6.2.1		6
1a	Bone	Nbp	6.3		6
1a	Skeleton	Nbp	6.3.1		0
1a	Breastbone/Sternum	Nbp	6.3.2		2
1a	Spine/Backbone	Nbp	6.3.3		6
1a	Cartilage/Gristle	Nbp	6.3.4		2
1a	Marrow	Nbp	6.3.5		2
1a	Fat	Nbp	6.4		7
1a	Oil/Grease	Nbp	6.4.1		5
1a	Skin	Nbp	6.5		11
1a	Hide/Leather	Nbp	6.5.1		6
1a	Scale (of fish, snake)	Nbp	6.5.2		7
1a	Skin Blemish/Freckle	Nbp	6.5.3		23
1a	Itch/Scratch	Nbp	6.5.4		4
1a	Obscure Internal Channels	Nbp	6.6		0
1a	Sinew/Tendon/Ligament	Nbp	6.6.1		7
1a	Muscle	Nbp	6.6.2		10
1a	Nerve	Nbp	6.6.3		3
1a	Lymph	Nbp	6.6.4		4
1a	Internal Organs	Nbp	7.0		5
1a	Heart	Nbp	7.1		5
1a	Heartbeat/Pulse	Nbp	7.1.1		4
1a	Lung	Nbp	7.2		5
1a	Liver	Nbp	7.3		5
1a	Gall/Bile	Nbp	7.3.1		2
1a	Spleen	Nbp	7.4		2
1a	Kidney	Nbp	7.5		3
1a	Stomach	Nbp	7.6		10
1a	Gizzard/Crop	Nbp	7.6.1		3
1a	Intestines/Bowels/Guts	Nbp	7.7		14
1a	Bladder	Nbp	7.8		5
1a	Sweat	Nbp	8.2		2
1a	Pore	Nbp	8.2.1		2
1a	Body Dirt	Nbp	8.2.2		4
1a	Snot/Nasal Mucus	Nbp	8.3		8
1a	Sneeze	Nbp	8.3.1		0
1a	Snore	Nbp	8.3.2		2
1a	Spit/Saliva	Nbp	8.4		9
1a	Vomit	Nbp	8.4.2		2
1a	Hiccup	Nbp	8.4.5		4
1a	Urine/Piss	Nbp	8.5		3
1a	Feces/Shit/Dung/Filth/Excremen	Nbp	8.6		19
1a	Fart	Nbp	8.6.2		2
1a	Pus/Gleet	Nbp	8.7		3
1a	Abcess/Ulcer	Nbp	8.7.1		8
1a	Speak/Say/Tell	Nbp	8.8		8
1a	Stutter/Stammer	Nbp	8.8.2		3
1a	Laugh	Nbp	8.9		2
1a	Reproductive System	Nbp	9.0		7
1a	Genitals/Pudenda	Nbp	9.1		10
1a	Copulate/Fuck/Intercourse	Nbp	9.1.1		7
1a	Male	Nbp	9.2		11
1a	Penis	Nbp	9.2.1		4
1a	Foreskin/Prepuce	Nbp	9.2.1.1		3
1a	Glans penis	Nbp	9.2.1.2		2
1a	Testicles/Virility	Nbp	9.2.2		9
1a	Scrotum/Pouch	Nbp	9.2.2.1		2
1a	Sperm/Semen	Nbp	9.2.2.2		2
1a	Ejaculate	Nbp	9.2.2.3		2
