tag	grpid	form	gloss	variant	old_tag	source
163	42	C-pwap	SWELL UP / BE SWOLLEN / STOUT / CALF OF LEG			
163	63	pəm	SWELL, BE SWOLLEN		7687	PCN #140
164	5	puk	HEART		6202	JS-HCST: 57
164	66	buk	BELLY / STOMACH		6971	DRM#568
164	5	pɯk	CAVE			
164	63	puk	STOMACH, BELLY		7808	PCN #261
165	50	ʔ(b)wa	WHITE		6059	STC: 172n460
165	50	Ɂbwaᴬ	WHITE		7535	TL#330
166	8	maay	PUMPKIN		4781	PKC #781
174	45	ʔ/s-ra²	DIFFICULT / POOR			
175	12	jek	HARD			
178	8	tshaʔ	THICK / DENSE		4606	PKC #606
178	66	ʃa	THICK		7117	DRM#738
179	8	sik-I, siʔ-II	PINCH / NIP / PLUCK		4666	PKC #666
179	66	sik	PINCH		7107	DRM#728
179	42	r-sik ⪤ *s-yik	TWIST			
180	8	khit-I, khiʔ-II	BIND / TIE		4424	PKC #424
183	42	tu¹	THICK / BLUNT		7167	DL:679
186	66	ʃak	DIFFICULT / HARD		7082	DRM#699
186	63	a-tʃhak	DIFFICULT / HARD / DEAR, COSTLY		7799	PCN #252
189	5	si	WATER		6139	JS-HCST: 58
190	42	Ntsakᴴ ⪤ *tikᴴ ⪤ *dzikᴴ	DROP (n.) / DRIP			
191	5	laŋ	SOUP		6420	JS-HCST: 120
191	42	laŋ¹	RIVER / VALLEY			
198	42	bwa	GRANDMOTHER		2181	STC p.24
200	42	ʔ-dzakᴸ	JOIN			
200	8	saa-I, sak-II	BUILD / CONNECT / ERECT		4642	PKC #642
200	66	sak	CONNECT / BUILD		7127	DRM#749
200	63	tsha	BUILD, MAKE / DO		7568	PCN #021
201	8	kal	KIDNEY		4297	PKC #297
201	66	kal	KIDNEY		7027	DRM#630
202	8	khel	HIP / LOINS		4448	PKC #448
203	8	nuŋ ⪤ hnuŋ	BACK / BEHIND / LATER		4802	PKC #802
206	66	kʰum	BACK		6863	DRM#452
208	8	yaaŋ	BACK / SPINE		5186	PKC #1186
209	12	kʰeːŋ	BACK (BODY)			
209	23	ᴬʰli	BACK / BACKSIDE			
211	23	ᴬgo	BACK			
215	42	gyukᴸ ⪤ džukᴸ	WAIST			
227	63	a-sə	BILE / GALL BLADDER		7639	PCN #092
227	66	tʰi	BILE		6758	DRM#345; cf. #6876 LIVER
229	8	khaa-I, khaat ⪤ khaak-II	BITTER		4425	PKC #425
229	5	ko ~ kaː	BITTER		6386	JS-HCST: 149
229	66	kʰa	BITTER		6733	DRM#319
229	50	khaᴮ	BITTER		7229	TL#24
229	63	a-khaʔ	BITTER		7557	PCN #010
229	16	bi-ka	LIVER			
229	12	C̥-kʰaᴮ	BITTER			
229	45	ka²	BITTER			
230	8	thii	BLOOD		4375	PKC #375
230	5	viː	BLOOD		6640	JS-HCST: 103
230	66	ʃi	BLOOD		6759	DRM#346
