tag	grpid	form	gloss	variant	old_tag	source
1002	8	mii	PERSON / MAN / PEOPLE		4779	PKC #779
1002	66	mi	MAN / HUMAN		7060	DRM#671
1002	5	miː	MAN (homo)		6461	JS-HCST: 113
1002	63	a-[h]məjʔ	PERSON, HUMAN		7649	PCN #102
1002	12	C̥-məy	MAN (generic)			
1002	23	ᴬmi	MAN			
1005	42	džim²	RAW		6180	
1006	8	wok	PIG		5162	PKC #1162
1006	50	thɔʔ / tháuʔ	PIG		6020	RBJ-KLS; STC
1006	12	wak	PIG		6021	WTF-PNN p.532
1006	42	wakᴸ	PIG		6022	JAM-TSR: 168
1006	66	hwok	PIG		6969	DRM#566
1006	23	ᴮɖwa	PIG		6024	MM-Thesis: 422
1006	51	te	PIG		6018	"(""PBaic"") "
1006	50	thɔɁᴰ	PIG		7422	TL#218
1006	50	thɔɁᴰmiᴬ	BOAR (WILD~)		7232	TL#27
1007	8	tsat	BREAK / SNAP (v.i.)		4525	PKC #525
1011	35	s-k-riŋ	LONG			
1012	8	θaa	CHILD / OFFSPRING / SON / DAUGHTER		4612	PKC #612
1012	16	sa	CHILD			
1013	42	rəy¹	WATER			
1013	45	re¹	WATER			
1016	5	po-lo	MOON		3072	JS-HCST: 87
1016	8	khlaa	MOON / MONTH		5295	PKC #1295
1016	50	Ɂlaᴬ	MOON, MONTH		7397	TL#193
1016	12	gla poy	MOON			
1016	23	ᴮHla	MOON			
1016	29	la	MOON			
1016	42	s/ʔ-la³	MOON / MONTH			
1016	45	bə la³	MOON			
1016	23	ᴮʰla 	MONTH			
1017	8	lam	WAY / PATH / ROAD		5067	PKC #1067
1017	5	lam	ROAD		6213	JS-HCST: 170
1017	63	laːm	PATH, ROAD, WAY		7673	PCN #126
1017	16	lam	ROAD			
1017	29	ʔlam	ROAD / PATH			
1017	8	lam	DIRECTION / SIDE / TOWARDS		5010	PKC #1010
1017	23	ᴮgjam	ROAD			
1018	8	that-I, -thaʔ-II	KILL		4394	PKC #394
1018	66	tʰat	KILL		6942	DRM#537
1018	12	ʔsot	KILL			
1018	42	C-sat	KILL			
1019	8	thay	FRUIT		4387	PKC #387
1019	66	tʰej	FRUIT		6817	DRM#404
1019	5	ze	FRUIT		6143	JS-HCST: 107
1019	50	saᴮ	FRUIT		7332	TL#128
1019	63	a-sej	FRUIT / SEED		7603	PCN #056
1019	8	ʔaar-θii ⪤ -sii	STAR			
1103	8	krap-I, kraʔ-II	WEEP / CRY		5333	PKC #1333
1103	5	krap	WEEP		6389	JS-HCST: 132
1103	66	cap	CRY / WEEP		6934	DRM#529
1104	45	ŋo¹	CRY			
1104	42	ŋəw¹	WEEP			
1105	8	nu(u)y-I, -nuyʔ-II; hnu(u)y-I, hnuyʔ-II	SMILE / LAUGH		4836	PKC #836
1105	66	nɨ	LAUGH / MOCK		6808	DRM#395
1105	63	m-nəj ⪤ m-nwi	LAUGH / SMILE		7610	PCN #063
1108	42	ray¹	LAUGH / SMILE		6724	JAM-HPTB: 612
1133	66	tlok	BRAIN		6967	DRM#564
1142	5	ŋil	LAUGH		6645	JS-HCST: 117
1145	5	b(r)at²	VOMIT		6670	JS-HCST: 129
1145	50	prɔɁᴰ	VOMIT (v.)		7521	TL#316
1145	12	pʰaːt	VOMIT			
1145	42	C-patᴸ	VOMIT			
1154	8	luu-I, luuk-II	COPULATE / INTERCOURSE		5003	PKC #1003
1154	42	ləw²	COPULATE / PENIS			
1155	8	tshan	GENERATION / ERA		4589	PKC #589
1160	12	C̥-ŋuay	EASY			
1160	8	ŋaay	LOVE / LONG FOR		4861	PKC #861
1160	50	ʔai	LOVE			
1160	50	wɛ́ʔ	COPULATE			
1172	5	rɯ	NIT		6587	JS-HCST: 167
1181	8	til	TESTICLE / SCROTUM		4238	PKC #238
1184	23	ᴮlʰiː	FACE			
1186	42	pluːŋ² OR pyuːŋ²	FACE			
1187	8	hmaay	FACE / FRONT		4873	PKC #873
1187	66	maj	FACE		7057	DRM#667
1187	63	hmaj	FACE / SURFACE		7589	PCN #042
1187	8	hmaa	FRONT / FIRST			
1187	8	hmaay-saa	AHEAD / FIRST		4637	PKC #637
1197	23	ᴮŋʰwa	FONTANEL			
1219	8	thiʔ	COMB (n.)		4380	PKC #380
1219	66	si	COMB		6761	DRM#348
1220	50	khwiɁᴰ	COMB (v.)		7266	TL#61
1220	12	C̥-gyuay	COMB		5467	cf. HPTB p. 25
1220	44	prəy ⪤ p(r)i	COMB (v.) / BRUSH (v.)			
1220	42	ʔ-gʷəy² ⪤ ʔ-gʷi²	COMB			
1220	45	ʔ-pi²	COMB			
1220	45	ʔ-gʷəy²	COMB			
1221	8	luu	HEAD		5024	PKC #1024
1221	50	kləɁᴰ	HEAD		7345	TL#141
1226	42	V-ci:tᴸ	GOAT / SHEEP			
1227	63	m-raŋ	STARE, LOOK AT, WATCH		7752	PCN #205
1227	23	ᴬʰmraŋ	SEE			
1227	42	mraŋ¹	SEE			
1227	42	s-mraŋ¹	SHOW			
1229	5	ken	KNOW		6375	JS-HCST: 91
1229	12	C̥-kʰyeŋ	KNOW			
1232	45	tsi¹	HAIR (HEAD)			
1233	5	gup	SIT ON EGGS / HATCH		6676	JS-HCST: 199
1233	8	khup-I, khuʔ-II	COVER / TURN UPSIDE DOWN		4434	PKC #434
1233	68	huap	INCLUDE / COVER		4723	"PKC #723 (""PNC"")"
1233	8	hup-I, huʔ-II	COVER / PROTECT		4708	PKC #708
1235	42	plu¹	WHITE / SILVER / MONEY			
1251	8	kuup ⪤ khuup ⪤ khuuk	KNEE		4298	PKC #298
1251	66	kʰuk	KNEE		6974	DRM#571
1251	63	m-khuk	KNEE		7811	PCN #264
1269	8	luŋ	STONE / ROCK		5054	PKC #1054
1269	42	k-lok ⪤ k-loŋ	STONE		6145	JAM-TIL: 47
1269	5	lɯŋ	STONE		6444	JS-HCST: 195
1269	66	luŋ	STONE		6907	DRM#501
1269	50	loŋᴮ	STONE, ROCK		7486	TL#282
1269	63	luŋ	STONE, ROCK		7776	PCN #229
1269	16	loʔŋ-tai	STONE			
1269	12	C̥-luŋ	STONE			
1269	23	ᴮʰjuŋ	STONE			
1269	29	ʔluŋ	STONE			
1269	45	k-lokᴸ	STONE			
1278	42	ʔ-gakᴸ	BRANCH			
1278	5	ɦak	BRANCH		6653	JS-HCST: 109
1281	50	thaᴬ	HANDSPAN (about 8-9 inches)		7371	TL#167
1282	8	kut-tum ⪤ khut-tum	FIST		4281	PKC #281
1282	8	tum	CLENCH		4186	PKC #186
1283	8	yaŋ	PENIS / STINGER (of bee)		5224	PKC #1224
1283	66	ʃaŋ	PENIS		6889	DRM#480
1284	45	(n)-li²	PENIS			
1288	8	C-may	TAIL		4794	cf. PKC #794; cf. 'fire'
1288	45	ʔmri²	TAIL			
1288	5	me ~ mjo	TAIL		6452	JS-HCST: 45
1288	42	ʔ-m(r)ay²	TAIL			
1289	66	rik	ARMPIT		7001	DRM#601
1289	63	k-lik	TICKLE		7806	PCN #259
1291	29	kun	PUS			
1294	8	hnaay	PUS / SAP		4901	PKC #901
1294	66	naj	PUS		6793	DRM#380
1294	63	a-hnaj	PUS		7590	PCN #043
1305	8	ɓa(a)ŋ ⪤ pa(a)ŋ	WALL / FLANK / SIDE		4055	PKC #55
1305	66	bak	SIDE		7100	DRM#718
1306	8	ŋaa	FIVE		4855	PKC #855
1306	5	ŋo	FIVE		6647	JS-HCST: 160
1306	66	ŋa	FIVE		6754	DRM#341
1306	50	ŋjatᴰ	FIVE		7321	TL#116
1306	42	ŋa²	FIVE			
1306	63	pha-ŋa	FIVE		7559	PCN #012
1310	8	la(a)m ⪤ hla(a)m	YARD / ARMSPAN / CORD		5071	PKC #1071
1310	5	rjam	FATHOM		6562	JS-HCST: 143
1310	42	s-lam¹/²	FATHOM		624	cf. HPTB pp.249, 253, 254
1310	50	blaᴮ	ARMSPAN (with closed hand)		7372	TL#168
1373	8	taay	WAIST		4242	PKC #242
1373	42	N-day³	LEVEL EXPANSE / PLAIN			
1381	8	luŋ	HEART / LIVER		5025	PKC #1025
1381	66	luŋ	HEART		6903	DRM#496
1381	63	m-luŋ	HEART / BE ROUND	a	7778	PCN #231
1381	63	ləm	HEAD / HEART / MIND	b	7694	PCN #147
1383	5	mit-pran	FORGET		6460	JS-HCST: 377; cf. ORPHAN, EXTINGUISHED
1390	8	thin	LIVER		4397	PKC #397
1390	5	zin	LIVER		6641	JS-HCST: 58
1390	66	tʰin	LIVER		6876	DRM#466; cf. #6758 BILE
1390	50	swɨnᴮ	LIVER		7377	TL#173
1390	63	m-sən	LIVER		7719	PCN #172
1390	12	C̬-sin	LIVER			
1390	45	sin²	LIVER			
1390	42	sin² ⪤ tsin²	LIVER / BITTER			
1401	8	tsoo-I, tsoot-II	BLIND		4523	PKC #523
1408	5	tat²	LISTEN / HEAR		6615	JS-HCST: 88
1409	63	p(j)aŋ	DEAF		7742	PCN #195
1409	45	baŋ²	DEAF			
1410	8	ʔen	LOOK / BEHOLD / GLANCE		4494	PKC #494
1411	42	gla²	HEAR / LISTEN			
1415	5	nam	SMELL (v.)		3190	JS-HCST: 171
1415	8	nam	SMELL (v.)		4835	PKC #835
1415	66	nam	SMELL		6853	DRM#442
1415	50	(h)nɨmᴬ	SMELL (v.)		7467	TL#263
1415	63	m-hnaːm	SMELL / STINK		7663	PCN #116
1415	70	hniim	SNIFF / SMELL (v.)		4904	"PKC #904 (""PCC"")"
1416	8	rim	ODOR / SMELL		4956	PKC #956
1416	63	a-hrəm	SMELL (n.), ODOR		7692	PCN #145
1420	70	hmuy	SMELL (good) / FRAGRANT		4881	"PKC #881 (""PCC"")"
1429	5	mɯt	HAIR (OF BODY)		6482	JS-HCST: 213
1431	8	raŋ	HORSE		4949	PKC #949
1431	42	mraŋ²	HORSE			
1444	23	ᴮdum	THICK			
1455	8	ŋaa ⪤ hŋaa	FISH		4853	PKC #853
1455	5	ŋo	FISH		6646	JS-HCST: 117
1455	66	ŋa	FISH		7034	DRM#637
1455	63	a-hŋaʔ	FISH		7560	PCN #013
1456	8	yaa-I, yaat-II	ITCH / TICKLE		5210	PKC #1210
1457	8	thak-I, -thaʔ-II	ITCH / ITCHY		4393	PKC #393
1457	63	m-sak	ITCH (v.)	a	7790	PCN #243
1457	63	m-ʃak	SCRATCH (v.)	b	7791	PCN #244
1457	50	saɁᴰ	ITCHY		7360	TL#156
1457	5	fak	ITCH		6675	JS-HCST: 59
1458	5	ɦok	SCRATCH (to stop an itch)		6321	JS-HCST: 109
1462	66	kʰot	SCRATCH / SCRAPE		6951	DRM#546
1470	23	ᴮmar	GOLD			
1470	23	ᴬmar	BUTTER			
1471	8	tshuaŋ	CREST / COMB (n.)		4585	PKC #585
1600	8	ʔaar	FOWL / CHICKEN		4486	PKC #486
1600	66	ar	FOWL		6917	DRM#511
1600	63	haːn-a	CHICKEN		7712	PCN #165
1603	8	waa	BIRD		5134	PKC #1134
1603	66	wa	BIRD		6732	DRM#318
1604	66	ta	BIRD		7096	DRM#714
1604	50	thoᴮ	BIRD		7227	TL#22
1606	5	rok	CHICKEN		6574	JS-HCST: 218
1612	8	ʔim	HOUSE		4492	PKC #492
1612	42	yim¹	HOUSE		6125	JAM-MLBM:90, HPTB:35
1612	66	ʃim	HOUSE		6859	DRM#448
1612	63	a-jam	HOUSE / VILLAGE		7682	PCN #135
1612	45	yim¹	HOUSE			
1612	50	hyi[m]	HOUSE			
1612	23	ᴮdim	HOUSE			
1613	5	sup	NEST / LAIR		6603	JS-HCST: 105
1613	63	a-sap	NEST / WEB		7699	PCN #152
1613	45	(d)zyi	PLACENTA / NEST		1347	
1615	23	ᴬdzaŋ	NEST			
1616	50	linᴮ	VAGINA		7520	TL#315
1618	45	C-mi²	WOMAN			
1618	50	hmɨᴮ	FEMALE, WOMAN		7317	TL#112
1618	5	mji-məː	WOMAN		6464	JS-HCST: 140
1618	5	mi-fVŋ?	WIFE		6454	JS-HCST: 99
1618	42	m(y)i-n²	WIFE		5803	
1619	45	C-ma³	FEMALE SUFFIX			
1619	50	məᴮ	MOTHER, FEMALE (OF ANIMALS)		7398	TL#194
1620	8	maw	BRIDE / GROOM		4754	PKC #754
1620	50	muᴮ	FEMALE (HUMANS), MOTHER		7318	TL#113
1621	8	nuu	FEMALE	a	4814	PKC #814
1621	8	nuu	MOTHER	b	4820	PKC #820
1621	12	ɲəːw	BIG / MOTHER		6116	from WTF-PNN:458
1621	5	nə	MOTHER		6501	JS-HCST: 114
1621	8	nu-ŋaak ⪤ ŋaak-nuu	MAIDEN / BELLE / WOMAN (unmarried)	c	4818	PKC #818
1628	8	tshuŋ	INSIDE / WITHIN / HOUSEHOLD			
1629	63	a-phi	BELT, STRAP, ROPE (WEAVER'S)		7607	PCN #060
1631	63	a-tʃə	WATER		7644	PCN #097
1631	23	"	ᴮkjui"	WATER			
1634	8	paa	FATHER	a	4145	PKC #145
1634	8	paa	MALE	b	4154	PKC #154
1634	66	ba	FATHER / MALE		6995	DRM#595
1634	50	phaᴬ	MALE (OF ANIMALS), FATHER		7386	TL#182
1634	63	pa	HE / SHE (3sg.)		7548	PCN #001
1646	42	m-ga²	WANT / THINK / LOVE			
1651	8	tshuul	WOMB / UTERUS		4610	PKC #610
1654	5	pɯ	EGG		6545	JS-HCST: 86
1655	42	z(y)aŋ²	EXCREMENT / RUST / BLIGHT			
1705	12	N-liːŋ	DRINK			
1713	50	Ɂɔᴬ	DRINK (v.)		7296	TL#91
1715	8	haam	YAWN		4747	PKC #747
1715	66	ham	YAWN		7018	DRM#619
1716	63	xa	YAWN (v.)		7564	PCN #017
1719	8	ɗaŋ	UVULA / PALATE		4115	PKC #115
1733	8	ɓuu	NEST / DEN		4038	PKC #38
1752	50	ʔaʔ	MUTE / DUMB			
1752	8	ʔaa-I, ʔaat-II	STUTTER / MUTE		4510	PKC #510
1753	8	ɓia-I, ɓiak-II	TALK TO / WORSHIP		4049	PKC #49
1757	23	ᴬtam	WORD			
1764	8	ʔuy	DOG		4476	PKC #476
1764	5	kwiː	DOG		6016	JS-HCST: 90
1764	12	kuəy (kreːŋ)	DOG		6017	WTF p.479
1764	42	kʷəy²	DOG		6045	
1764	50	thwíʔ	DOG		6047	
1764	66	hwɨ	DOG		6805	DRM#392
1764	50	thwiᴮ	DOG		7292	TL#87
1764	63	khjəj	DOG		7651	PCN #104
1764	50	thwiᴮmiᴬ	FOX, WOLF		7329	TL#125
1770	23	ᴬgloŋ	SWALLOW			
1777	8	kray	BITE / CHEW		5313	PKC #1313
1777	66	kej	BITE		6811	DRM#398
1778	63	m-tʃak	CHEW		7797	PCN #250
1783	8	lua-I, luak-II	VOMIT		5063	PKC #1063
1784	66	ŋar	SNORE		7152	DRM#774
1784	70	hnaar	SNORE		4905	"PKC #905 (""PCC"")"
1788	8	hmaa	WOUND / SCAR		4883	PKC #883
1788	66	ma	SCAR / WOUND		7122	DRM#744
1788	63	hma	WOUND, SORE		7551	PCN #004
1795	66	kʰa	COUGH		6738	DRM#324
1795	50	kukᴰ	COUGH (v.)		7268	TL#63
1795	8	khuʔ	COUGH		4433	PKC #433
1795	63	a-khu(t)	COUGH (v.)		7629	PCN #082
1810	42	raŋ¹	BREATHE / DRAW (BREATH)			
1825	66	caŋ	THIRST			
1830	5	yet ⪤ yen	SATIATED			
1839	42	sak	ROUGH			
1842	12	raŋ	HARD			
1842	8	khraŋ-I, khran-II	GROW / INCREASE / RISE		5345	PKC #1345
1842	63	m-raŋ	HARD / STRONG		7753	PCN #206; meso of #1842?
1842	8	khrooŋ	STRONG			
1844	66	tsa	ILL / HURT	a	6746	DRM#333
1844	66	sa	HOT / SPICY / PUNGENT	b	7106	DRM#727
1844	8	saa-I, sat-II	HOT		4653	PKC #653
1844	63	tsha	HOT / HURT		7569	PCN #022
1844	50	chaᴬ	ILL, PAINFUL, SICK		7356	TL#152
1847	5	ki	ILL		6377	JS-HCST: 91
1860	12	ma	LOSE		6214	WTF-PNN: 516
1860	50	maᴮ	DISAPPEAR, LOST		7291	TL#86
1865	63	su(ʔ)	BE BORN / GIVE BIRTH		7631	PCN #084
1906	5	duŋ	SIT		6674	JS-HCST: 190
2003	42	dakᴸ	COCKSPUR / HOOF			
2009	50	noŋᴬ	HORN		7351	TL#147
2012	8	kii	HORN		4291	PKC #291
2014	42	N-tsey³	SUMMIT / CREST / COCK'S COMB			
2014	42	ʔN-tsey¹	SUMMIT / CREST / COCK'S COMB			
2018	5	prat²	PLAIT		6527	JS-HCST: 124
2018	42	pan¹/² ⪤ Ȼ-pat	BRAID / PLAIT / INTERWEAVE			
2018	8	phan	WEAVE / CREATE / KNIT		4366	PKC #366
2034	63	tʃak	FACE		7796	PCN #249
2060	70	wal	ENCIRCLE		5145	"PKC #1145 (""PCC"")"
2067	42	s-nukᴴ	BEAN		283	cf. HPTB pp.39, 40, 100, 315
2070	5	ruŋ	HOLE / DENT		6582	JS-HCST: 119
2071	8	raʔ	FRUIT		4941	PKC #941
2080	8	ruaʔ	RAIN (n.)		4964	PKC #964
2080	63	rwa/ru	RAIN		7586	PCN #039
2102	42	wu ⪤ ru	INTESTINE / KIDNEY			
2103	8	poo	BELLY / STOMACH		4123	PKC #123
2103	50	g-phowᴬ	STOMACH		7485	TL#281
2103	23	ᴮpho	BELLY			
2112	50	breɁᴰ	INTESTINES		7358	TL#154
2120	5	krat¹-pjɯl 	KIDNEY		6392	JS-HCST: 52
2121	23	ᴮglwap/ᴬglwap	LUNG			
2125	5	kri	INTESTINES / BELLY		6395	JS-HCST: 431
2127	8	ril ⪤ rul	INTESTINES / BOWELS / ENTRAILS		4952	PKC #952
2127	66	ril	INTESTINES		6910	DRM#504
2127	63	a-(h)rə	INTESTINES		7648	PCN #101
2131	8	haʔ-thiaw	SNEEZE		4739	PKC #739
2134	42	(s-)nak ⪤ naŋ²	step on, tread			
2136	8	may	FIRE		4767	PKC #767
2136	5	mə	FIRE		6473	JS-HCST: 164
2136	66	mej	FIRE		6815	DRM#402
2136	50	hmeᴮ	FIRE		7319	TL#114
2136	63	mej(ʔ)	FIRE		7601	PCN #054
2136	42	s/ʔ-mey²	FIRE			
2137	8	lay ⪤ hlay	BUY /  EXCHANGE		4997	PKC #997
2137	66	lo	BUY		6775	DRM#362
2137	68	laay	CHANGE		5001	"PKC #1001 (""PNC"")"
2137	12	lyay	CHANGE / EXCHANGE			
2137	12	rey	BUY			
2137	34	lyay	EXCHANGE			
2138	66	ʔa	3RD PERSON		7054	DRM#664
2142	8	ʔaaw	SCREAM / CALL OUT / SHOUT		4501	PKC #501
2143	8	pan	THIN / LANK / SPARSE	b	4165	PKC #165
2146	8	ɓaak	BAT		4006	PKC #6
2146	12	C̬-bak	BAT		6710	WTF-PNN: 454
2146	66	paak	BAT		7103	DRM#724
2149	66	pam	SIT		6852	DRM#441
2152	8	ʔur	BURN / SCORCH		4470	PKC #470
2152	5	par	IGNITE		6506	JS-HCST: 224
2153	8	paar	FLOWER		4147	PKC #147
2153	66	bon	FLOWER		6879	DRM#469
2154	45	b-way²	LEFT			
2154	66	joj	LEFT SIDE			
2155	8	ɓee	BEAN / PEA		4007	PKC #7
2155	5	peː	BEANS		6513	JS-HCST: 157
2158	5	bi	GIVE		6250	JS-HCST: 92
2158	42	bəy²	GIVE		204	HPTB p.19
2158	8	pia-I, piak-II	GIVE / OFFER / ASSIGN / PRESENT			
2158	70	pee-I, peek-II	GIVE / OFFER / ASSIGN / PRESENT			
2159	50	pleᴬ	SLIPPERY		7466	TL#262
2166	42	ʔ-rakᴸ	ROCK / STONE			
2176	8	ɓul	STUMP / BASE		4048	PKC #48
2176	66	pal	TRUNK (OF TREE)		7063	DRM#674
2177	8	puu-I, put-II	CARRY (on shoulder)		4131	PKC #131
2177	42	bəw²	CARRY ON BACK		200	HPTB pp.183, 477
2177	63	pu(ʔ)	CARRY (SHOULDER / BACK)		7614	PCN #067
2177	66	wu	CARRY (ON SHOULDERS)		6780	DRM#367
2178	5	bɯ	SNAKE		6273	JS-HCST: 92
2178	42	bəw²	INSECT / VERMIN / BUG / SNAKE			
2178	5	bɯ-rem	PYTHON			
2179	8	ɓuʔ	RICE (cooked)		4044	PKC #44
2179	50	ɓɯᴮ'	RICE			
2183	5	paŋ	UNCLE (paternal)		6509	JS-HCST: 86
2185	42	s-watᴴ	BLOOM / FLOWER			
2186	8	ɓuy ⪤ puy	MOUSE / RAT (bamboo) / MOLE		4036	PKC #36
2187	42	bya²	BEE			
2187	45	bya²	BEE			
2189	5	bjar	FLY (v.)		6251	JS-HCST: 139
2202	5	dɯk	POISON (generic)		6298	JS-HCST: 221
2204	8	ɗuŋ ⪤ tuŋ	LENGTH		4092	PKC #92
2206	5	tup	STRIKE		6625	JS-HCST: 200
2215	66	tsar	SISTER		6919	DRM#513
2218	42	(N/ʔ)tsuk	PIERCE / STAB			
2219	42	dzwan¹	HAWK / KITE		2219	cf. STC p.49, HPTB pp.30, 259
2221	66	ʃim	SWEET		6861	DRM#450
2221	50	chɨmᴬ	SALTY, SWEET		7449	TL#245
2231	5	gam (~ gjam?)	BITE		6317	JS-HCST: 142
2232	8	kaap	SHOOT		4309	PKC #309
2232	5	ap	SHOOT (v.)		6246	JS-HCST: 145
2232	66	kaap	SHOOT		6936	DRM#531
2232	50	khaɁᴰ	SHOOT (v.)		7459	TL#255
2234	63	khən	SONG		7718	PCN #171
2235	8	kaw	CALL / SHOUT		4262	PKC #262
2237	42	gyi ⪤ dzyi	RIDE (HORSE, VEHICLE)		2237	STC p.184
2249	42	Nkrok	FEAR / BE AFRAID			
2249	42	ʔkrok	FRIGHTEN			
2252	42	gukᴸ	CROOKED / BENT / KNEE / ANGLE			
2256	5	ge ?	CLOTHES		6322	JS-HCST: 98
2256	42	gwa²	WEAR			
2256	50	kwan	put on (lower clothes)			
2257	8	ɓuy ⪤ wuy	ELEPHANT		4023	PKC #23
2257	66	m-pu	ELEPHANT		7008	DRM#608
2258	8	yaa	HUNDRED		5207	PKC #1207
2258	50	g-rjaᴬ	HUNDRED		7354	TL#150
2258	12	C̬-kʰya	HUNDRED			
2258	66	ʃa	HUNDRED		6745	DRM#332
2259	8	riat	EIGHT		4935	PKC #935
2259	42	ʔ-ritᴸ	EIGHT		94	
2259	66	ʃɐt	EIGHT		6944	DRM#539
2259	50	khrɔtᴰ/grɔtᴰ	EIGHT		7306	TL#101
2259	45	C-yetᴸ	EIGHT			
2260	8	haak	CHOKE / GAG / THROTTLE		4704	PKC #704
2260	63	a-hrak	CHOKE (vi.)		7802	PCN #255
2264	66	hla	SHADOW / SPIRIT / SOUL		7109	DRM#730
2264	8	khlaa	SPIRIT / IMAGE / SHADOW (n.) / SOUL		5300	PKC #1300
2274	42	ʔwyik	ELDER SIBLING			
2296	42	{C}-kap~kam	DRAW WATER			
2300	5	kar	STAR		6371	JS-HCST: 90
2300	23	ᴮsar	STAR			
2300	8	ʔaar-θii ⪤ -sii	STAR			
2301	8	khat ⪤ ʔat ⪤ hat	ONE		4450	PKC #450
2301	63	khaj	ONE			
2303	8	khaaw	GRASSHOPPER		4445	PKC #445
2303	66	kʰaw	GRASSHOPPER		6803	DRM#390
2304	8	ʔaay	CRAB		4472	PKC #472
2304	5	ke ~ kjo	CRAB		6376	JS-HCST: 91
2304	8	kaay- ⪤ ŋaay-kuaŋ	LOBSTER / CRAB / SHRIMP		4299	PKC #299
2304	50	chwɛᴮ	CRAB		7269	TL#64
2306	8	keel	GOAT		4286	PKC #286
2306	12	gyal	GOAT		6039	
2308	8	kay	TIGER		4317	PKC #317
2308	66	kʰu	TIGER		7097	DRM#715
2308	50	keᴬ	TIGER		7508	TL#303
2310	8	kil	ANGLE / CORNER	a	4251	PKC #251
2310	8	kir	CURL	b	4270	PKC #270
2310	23	ᴬkʰil	ROLL			
2310	8	y(i/u)al	ROLL / ROLL UP		5231	PKC #1231
2310	3	s-(g)ril	MOVE / ROLL / TWIST		5436	cf. HPTB pp. 410, 411
2310	8	hrual	ROLL / TWIST		5096	PKC #1096
2312	45	tsin¹	WEIGH			
2312	42	kyiːn¹	WEIGH			
2313	50	d-khejᴬ	DEER (BARKING~)		7284	TL#79
2313	66	caw	DEER		6800	DRM#387
2313	8	sha-khii	DEER		4437	PKC #437
2315	8	klaa-I, klaak-II	FALL / DROP (v.i.)	a	5259	PKC #1259
2315	8	khlaa-I, khlaak-II	DROP (v.t.) / LET FALL	b	5285	PKC #1285
2315	66	loj	FALL (FROM A HEIGHT)		6888	DRM#479
2315	42	gla-y³ ⪤ ʔgla-y¹	FALL			
2316	42	glak	BOIL			
2316	42	ʔglak	CAUSE TO BOIL			
2317	8	khlaw	WEED (v.) / HOE (v.) / PLOUGH		5308	PKC #1308
2321	63	a-hl[a/ə]p	WRAP / COVER (v.)		7705	PCN #158
2322	66	koŋ	RIVER		7041	DRM#644
2325	5	ko ~ kjo	DIG (HOLE)		6387	JS-HCST: 162
2325	50	khuᴮ	DIG		7288	TL#83
2326	8	kooy	CURVE / CROOKED		4271	PKC #271
2328	66	caaŋ	MOSQUITO		7007	DRM#607
2329	5	krap	WINNOW		6390	JS-HCST: 132
2333	5	rit	GRIND (CRUSH INTO POWDER)		6561	JS-HCST: 206
2333	42	Nkrit	GRIND			
2337	8	kriʔ	FEAR / AFRAID		5321	PKC #1321
2337	66	ci	FEAR		6763	DRM#350
2338	8	k(h)rok	SOUR			
2346	8	khruu	DOVE		5343	PKC #1343
2346	5	kɯ	DOVE / PIGEON		6414	JS-HCST: 168
2346	66	ʃu	DOVE		7089	DRM#706
2346	45	m-krəw²	DOVE			
2348	66	hri	SON-IN-LAW		6772	DRM#359
2350	8	khru(u)y	SEW / STITCH		5351	PKC #1351
2350	63	hrəj	SEW / STITCH		7658	PCN #111
2353	66	kʰok	PEEL / STRIP (v.)			
2355	8	kul	TWENTY		4320	PKC #320
2355	66	kul	TWENTY		6914	DRM#508
2355	63	mu-kju	TWENTY		7630	PCN #083
2358	8	ku(u)ŋ	STALK / TREE / TRUNK		4313	PKC #313
2361	8	khuu	FUMES / STEAM / SMOKE (n.)	a	4444	PKC #444
2361	8	may-khuu	SMOKE (n.)	b	4789	PKC #789
2361	5	mə-kɯ	SMOKE		6475	JS-HCST: 168
2361	66	kʰut	SMOKE		6953	DRM#549
2361	42	kəw²	SMOKE		382	HPTB p.182
2361	12	kʰəw	SMOKE			
2361	63	khuʔ	SMOKE		7628	PCN #081
2361	16	ku	SMOKE			
2362	5	kɯ	UNCLE (maternal)		6415	JS-HCST: 90
2362	63	ku	UNCLE / FATHER-IN-LAW		7623	PCN #076
2364	42	gəw²	NINE		6220	
2364	66	ko	NINE		6777	DRM#364
2364	8	kua	NINE			
2364	63	t-ku	NINE		7624	PCN #077
2364	50	khwiᴬ	NINE		7407	TL#203
2364	23	ᴮku(ː)	NINE			
2365	50	howᴮ	STEAL (v.)		7483	TL#279
2365	45	ko²	STEAL			
2365	42	kəw²	STEAL			
2365	63	a-hu	STEAL		7638	PCN #091
2365	12	C̬-kəːw	STEAL			
2370	8	khuay	BEE		4423	PKC #423
2370	66	kʰoj	BEE		6836	DRM#424
2370	23	ᴮgwai	BEE			
2370	8	khuay-lul ⪤ -hlul	BEESWAX / WASP		4990	PKC #990
2370	8	khuay-waʔ	HONEYBEE			
2370	8	khuay-ŋal	HORNET (bee)		4859	PKC #859
2370	50	kwatᴰ	BEE (Apis cerana)		7222	TL#17
2378	8	kloŋ	HERD / GRAZE / LEISURE		5262	PKC #1262
2379	50	chjaNᴮ	SOUR		7472	TL#268
2380	42	kyuw = kyəw	SWEET		2380	STC p.60
2385	5	lo	SALT		6146	JS-HCST: 161
2386	66	la	BOW / ARROW		6734	DRM#320
2386	50	blaᴮ	ARROW, DART		7209	TL#4
