lgid	name	abbr	grpid	source	iso	lgcode	sort	srcofdata	picode	pinotes	pi_page	notes
405	Burmese (Written)	Burmese (Written)	44	PC		69	BURMESE (WRITTEN)					
406	Burmese (Written)	WB	44	PKB-WBRD		69	BURMESE (WRITTEN)	AJ-BED	Burm1		61	Perhaps a note saying AJ-BED also source of numerous other srcs?
407	Burmese (Written)	B	44	RJL-DPTB		69	BURMESE (WRITTEN)	STC or PKB-WBRD				
408	Burmese (Written)	WB	44	RJL-DPTB		69	BURMESE (WRITTEN)					
409	Burmese (Written)	B	44	STC		69	BURMESE (WRITTEN)					
410	Burmese (Written)	B	44	WSC-SH		69	BURMESE (WRITTEN)	STC				
411	Burmese (Written)	WB39	44	ZMYYC		69	BURMESE (WRITTEN)					
412	Bwe	Bw	50	AW-TBT	bwe	70	BWE	AW-TBT	Kare2		159	"""Chitabu dialect"" (p.334)"
413	Bwe	Bwe	50	EJAH-BKD	bwe	70	BWE	EJAH-BKD	Kare1		158	
414	Bwe (Western)	W.Bw	50	AW-TBT	bwe	70	BWE					from Henderson 1979
415	Bwe (Western)	W. Bwe	50	GHL-PPB	bwe	70	BWE					
416	Byangsi	Byangsi	20	ACST	bee	71	BYANGSI					
417	Byangsi	Byangsi	20	STC	bee	71	BYANGSI					
418	Hani (Caiyuan)	Hani.Caiyuan30	48	ZMYYC	hni	111	HANI (BIYUE)	ZMYYC	Hani2		130	云南省墨江县菜园碧约话
419	Chairel	C	40	GHL-PPB		72	CHAIREL					
420	Chairel	Chairel	40	STC		72	CHAIREL					
421	Chokri	Chak	65	AW-TBT	nri	87	CHOKRI	AW-TBT				"AW-TBT: ""Chakrü"""
422	Chamba Lahuli	Chamba Lahuli	24	STC	lae	227	LAHULI C					
423	Chamling	Cham	76	AW-TBT	rab	73	CHAMLING	AW-TBT				
424	Chamling	cha	76	BM-PK7	rab	73	CHAMLING					<KE-Cham(2)?
425	Chamling	Cham	76	WW-Cham	rab	73	CHAMLING	WW-Cham	Cham1		73	bodypart items
426	Chamling	Chamling	76	WW-Cham	rab	73	CHAMLING	WW-Cham	Cham1		73	animal items
427	Chang	Ch Naga	85	ACST	nbc	74	CHANG					
428	Chang	Chang	85	AW-TBT	nbc	74	CHANG	AW-TBT				
429	Chang	Chang	85	GEM-CNL	nbc	74	CHANG	HUT1929	Chng1		74	<HUT1929
430	Chang	Chang	85	HUT1929	nbc	74	CHANG	HUT1929?	Chng1		74	
431	Chang	Chang	85	JAM-GSTC	nbc	74	CHANG	WTF-PNN, GEM-CNL		no Srcofsrc info		
432	Chang	Chang	85	RJL-DPTB	nbc	74	CHANG					merge with lgid 433
433	Chang	Chang (Konyak)	85	RJL-DPTB	nbc	74	CHANG					
434	Chang	Chang	85	STC	nbc	74	CHANG	HUT1929		no Srcofsrc info		
435	Chang	Ch	85	WTF-PNN	nbc	74	CHANG	GEM-CNL	Chng1		74	
436	Chantyal	ChanQ	23	NPB-ChanQ	chx	75	CHANTYAL	NPB-ChanQ	Chtl1		75	
437	Chaudangsi	Chaudangsi	20	STC	cdn	339	CHAUDANGSI					
438	Chawte	Chawte	8	STC	nct	348	CHAWTE					
439	Chepang	Ch	28	ACST	cdm	76	CHEPANG	STC				
440	Chepang	Chepang	28	ACST	cdm	76	CHEPANG	STC				
441	Chepang	Ch	28	AH-CSDPN	cdm	76	CHEPANG		Chep1	trans. normalized;  <Bhobikan Chepang, Ross and Kathleen Caughley	78	trans. normalized
442	Chepang	Chep	28	AW-TBT	cdm	76	CHEPANG	AW-TBT				
443	Chepang	che	28	BM-PK7	cdm	76	CHEPANG	BM-PK7?				
444	Chepang	Chepang	28	HOD1848	cdm	76	CHEPANG	HOD1848?				
445	Chepang	Cp	28	JAM-Ety	cdm	76	CHEPANG	AH-CSDPN		no Srcofsrc info		
446	Chepang	Chepang	28	JAM-GSTC	cdm	76	CHEPANG					
447	Chepang	Chepang	28	JAM-VSTB	cdm	76	CHEPANG	AH-CSDPN		no Srcofsrc info		
448	Chepang	Chepang	28	RJL-DPTB	cdm	76	CHEPANG	JAM/AH-CSDPN?				
449	Chepang	Chep	28	SIL-Chep	cdm	76	CHEPANG	SIL-Chep	Chep2	trans. normalized	76	trans. normalized
450	Chepang	Chepang	28	STC	cdm	76	CHEPANG	HOD1848				
451	Chepang	Chepang	28	WSC-SH	cdm	76	CHEPANG	STC				
452	Chepang (Eastern)	Chep	28	RC-ChepQ	cdm	76	CHEPANG E	RC-ChepQ	Chep2		76	
453	Lai (Hakha)	Chin Haka (=Lai)	70	GHL-PPB	cnh	156	LAI					
454	Chinbok	Chinbok	8	ACST	mwq	77	CHINBOK					
455	Chinbok	Chinbok	8	JAM-Ety	mwq	77	CHINBOK	OT-KnsI				
456	Chinbok	Chinbok	8	JAM-VSTB	mwq	77	CHINBOK					
457	Chinbok	Chinbok	8	OT-KnsI	mwq	77	CHINBOK	OT-KnsI?				
458	Chinbok	Chinbok	8	STC	mwq	77	CHINBOK					
459	Chinese (Mandarin)	Chinese	55	JAM-II	cmn	80	CHINESE (MANDARIN)					
460	Chinese (Old/Mid)	Chinese	53	STC	och	82	CHINESE					appears to be OC/MC reconstructions
461	Chinese (Middle)	MC	54	ACST		81	CHINESE (MIDDLE)	GSR				
462	Chinese (Middle)	MC	54	WHB-OC		81	CHINESE (MIDDLE)	WHB-OC				
463	Chinese (Middle)	Mid Chin	54	BK-AD		81	CHINESE (MIDDLE)					
464	Garo	Garo	81	RB-GG	grt	104	GARO		Garo1		106	
465	Chinese (Middle)	MC	54	JAM-Ety		81	CHINESE (MIDDLE)	GSR				
466	Chinese (Middle)	MC	54	JAM-TIL		81	CHINESE (MIDDLE)					
467	Chinese (Middle)	MC	54	RJL-DPTB		81	CHINESE (MIDDLE)	GSR				
468	Chinese (Middle)	MC	54	WSC-SH		81	CHINESE (MIDDLE)					
469	Chinese (Old)	OC	53	ACST	och	78	CHINESE (OLD)	GSR				
470	Chinese (Old)	Chs	53	AW-TBT	och	78	CHINESE (OLD)	GSR				
471	Chinese (Old)	OC	53	WHB-OC	och	78	CHINESE (OLD)	WHB-OC				
472	Chinese (Old)	Archaic Chinese	53	GHL-PPB	och	78	CHINESE (OLD)					
473	Chinese (Old)	OC	53	JAM-Ety	och	78	CHINESE (OLD)	GSR				
474	Chinese (Old)	Chinese	53	JAM-GSTC	och	78	CHINESE (OLD)	GSR				
475	Chinese (Old)	AC	53	JAM-TIL	och	78	CHINESE (OLD)	GSR				
476	Chinese (Old)	AC	53	JAM-VSTB	och	78	CHINESE (OLD)					
477	Chinese (Old)	Old Chinese	53	LI1980	och	78	CHINESE (OLD)	LI1980				
478	Chinese (Old)	OC	53	WSC-SH	och	78	CHINESE (OLD)	LI1980				
479	Chinese (Old)	OC	53	PC	och	78	CHINESE (OLD)					
480	Chinese (Old/Mid)	Chinese	53	ACST	och	82	CHINESE					
481	Chinese (Old/Mid)	OC/MC	53	GSR	och	82	CHINESE					
482	Chinese (Old/Mid)	AC	53	RJL-DPTB	och	82	CHINESE	GSR				
483	Chhintang	Chingtang	31	ACST	ctn	85	CHHINTANG					
484	Chhintang	Chingtang	31	STC	ctn	85	CHHINTANG					
485	Chiru	Chiru	72	AW-TBT	cdf	86	CHIRU	AW-TBT??				
486	Chokri	Chokri	65	GEM-CNL	nri	87	CHOKRI	GEM-Chok	Chok1		80	
487	Chokri	Chokri	65	VN-ChkQ	nri	87	CHOKRI	VN-ChkQ	Chok2		79	
488	Chourasya	Chourasya	18	WSC-SH	wme	88	CHOURASYA					
489	Chourasya	Chou	18	AW-TBT	wme	88	CHOURASYA					"AW-TBT has ""Chourase"""
490	Chourasya	Ch	18	JAM-Ety	wme	88	CHOURASYA					
491	Chukwa	Chukwa	31	AW-TBT	cuw	349	CHUKWA					
492	*Common Lahu	(C)L	47	DB-PLolo		151	LAHU					
495	Nishi [Dafla]	Dafla	73	AW-TBT	njz	215	NISHI					
496	Nishi [Dafla]	Dafla	73	RJL-DPTB	njz	215	NISHI					
497	Nishi [Dafla]	Dafla	73	STC	njz	215	NISHI					
498	Damu	Damu OY	74	JS-Tani	adi	89	DAMU	JZ-Luoba, Ouyang PC	Damu1		86	
499	Damu	Damu	74	OT-KnsI	adi	89	DAMU					
500	Damu	Damu OY	74	JS-HCST	adi	89	DAMU	JZ-Luoba, Ouyang PC	Damu1		86	
501	Danaw (Mon-Khmer)	Danaw	57	GHL-PPB	dnu	318	DANAW					
502	Danu	Danu	44	GHL-PPB	mya	90	DANU					
503	Darang [Taraon]	Tar	6	JAM-Ety	mhu	91	DARANG	NEFA-DTL				
504	Darang [Taraon]	Taraon	6	JAM-VSTB	mhu	91	DARANG	NEFA-DTL				
505	Darang [Taraon]	DGdr	6	SLZO-MLD	mhu	91	DARANG	SLZO-MLD	Dara1		88	
506	Darang [Taraon]	Taraon	6	NEFA-DTL	mhu	91	DARANG	NEFA-DTL				
507	Darang [Taraon]	DRD	6	RJL-DPTB	mhu	91	DARANG	SLZO-MLD				
508	Darang [Taraon]	Taraon	6	JFN-DMT	mhu	91	DARANG	JFN-DMT				
509	Darang [Taraon]	Darang49	6	ZMYYC	mhu	91	DARANG	ZMYYC	Dara1		88	
510	Hani (Dazhai)	Hani.Dazhai31	48	ZMYYC	hni	111	HANI		Hani6		125	云南省绿春县大寨话
513	Deori/Deuri	Deuri	83	Deuri	der	93	DEORI					Source? Jacquesson?
514	Deori/Deuri	Deuri	83	WBB-Deuri	der	93	DEORI	WBB-Deuri?	Deur1		90	
515	Dhimal	Dhimal	60	ACST	dhi	94	DHIMAL					
516	Dhimal	Dhimal	60	AW-TBT	dhi	94	DHIMAL	AW-TBT				
517	Dhimal	Dhimal	60	HOD1847a	dhi	94	DHIMAL	HOD1847a?				
518	Dhimal	Dhimal	60	JAM-Ety	dhi	94	DHIMAL					
519	Dhimal	Dhimal	60	JK-Dh	dhi	94	DHIMAL	JK-Dh	Dhim1		92	
520	Dhimal	Dhimal	60	RJL-DPTB	dhi	94	DHIMAL	JAM/STC?				
521	Dhimal	Dhimal	60	STC	dhi	94	DHIMAL	HOD1947a				
522	Dhimal	Dhimal	60	WSC-SH	dhi	94	DHIMAL					
523	Digaro	Digaro	6	ACST	mhu	95	DIGARO					
524	Digaro	Digaro	6	JAM-Ety	mhu	95	DIGARO	NEFA-DTL				
525	Digaro	Digaro	6	JAM-GSTC	mhu	95	DIGARO					
526	Digaro	Digaro	6	RJL-DPTB	mhu	95	DIGARO					
527	Digaro	Digaro	6	STC	mhu	95	DIGARO	JFN-DMT				
528	Digaro	Digaro	6	WSC-SH	mhu	95	DIGARO	STC				
529	Dimasa	Dimasa	80	ACST	dis	96	DIMASA	STC				
530	Dimasa	Dimasa (=Kachari)	80	DUN1908	dis	96	DIMASA	DUN1908?				
531	Dimasa	Dimasa	80	GEM-CNL	dis	96	DIMASA					no PI in GEM-CNL
532	Dimasa	Dimasa	80	JAM-GSTC	dis	96	DIMASA	STC				
533	Dimasa	Dimasa	80	RJL-DPTB	dis	96	DIMASA	JAM/STC				
534	Dimasa	Dimasa	80	STC	dis	96	DIMASA	DUN1908				
535	Dimasa	Dimasa	80	WSC-SH	dis	96	DIMASA	STC				
537	Trung [Dulong]	Dulong46	38	ZMYYC	duu	310	TRUNG		Trun1		415	
538	Trung [Dulong] (Dulonghe)	DLdh	38	JZ-Dulong	duu	311	TRUNG D	JZ-Dulong	Trun1		415	
539	Trung [Dulong] (Dulonghe)	DLa	38	RJL-DPTB	duu	311	TRUNG D	JZ-Dulong				
540	Trung [Dulong] (Nujiang)	DLnj	38	JZ-Dulong	duu	312	TRUNG N	JZ-Dulong	Trun2		417	
541	Trung [Dulong] (Nujiang)	DLb	38	RJL-DPTB	duu	312	TRUNG N	JZ-Dulong				
542	Trung [Dulong]	Dulong	38	JAM-Ety	duu	310	TRUNG	LCP-Trung				
543	Dumi	Dumi	77	AW-TBT	dus	97	DUMI	AW-TBT				
544	Dumi	dum	77	BM-PK7	dus	97	DUMI	BM-PK7				
545	Dumi	Dumi	77	RJL-DPTB	dus	97	DUMI					
546	Dumi	Dumi	77	STC	dus	97	DUMI					
547	Dumi	Dumi	77	SVD-Dum	dus	97	DUMI	SVD-Dumi	Dumi1		94	
548	Dungmali	Dung	29	AW-TBT	raa	98	DUNGMALI	AW-TBT				
549	Dungmali	Dungmali	29	STC	raa	98	DUNGMALI					
550	Dzongkha	Dzong	24	AW-TBT	dzo	99	DZONGKHA	AW-TBT				
551	Dzongkha	Dzongkha	24	MM-Dzong	dzo	99	DZONGKHA		Dzon1		96	
552	Karen (Eastern Kayah = Red Karen)	EKayah	50	DS-Kayah	eky	130	KAYAH	DS-Kayah	Kare4		161	
554	Zeme	Empeo	64	RJL-DPTB	nzm	335	ZEME					
555	Zeme	Empeo	64	SOP1885	nzm	335	ZEME	SOP1885?				
556	Zeme	Empeo	64	STC	nzm	335	ZEME	SOP1885				
557	Ergong (Danba)	Ergong14	35	ZMYYC	ero	100	ERGONG	ZMYYC	Ergo2		99	
558	Ergong (Danba)	ErgongD	35	SHK-ErgDQ	ero	100	ERGONG	SHK-ErgDQ				
559	Ergong (Daofu)	Daofu	35	DQ-Daofu	ero	100	ERGONG	DQ-Daofu	Ergo1		98	by Ma Erji
560	Ergong (Northern)	Ergong	35	SHK-ErgNQ	ero	100	ERGONG	SHK-ErgNQ				
561	Ersu	Ersu18	34	ZMYYC	ers	101	ERSU	ZMYYC	Ersu1		101	
562	Ersu	Ersu	34	SHK-ErsCQ	ers	205	ERSU	SHK-ErsCQ				
563	Galo	Gl	73	AW-TBT	adl	102	GALO	AW-TBT?	Gall1		104	
564	Galo	Gallong	73	KDG-IGL	adl	102	GALO	KDG-IGL	Gall2	trans. normalized	105	trans. normalized
565	Galo	Gallong DG	73	JS-HCST	adl	102	GALO	KDG-IGL				
566	Ganan	Ganan	40	GHL-PPB	zkn	103	GANAN					
567	Garo	Garo	81	ACST	grt	104	GARO	STC				
568	Garo	Garo	81	AW-TBT	grt	104	GARO	AW-TBT				
569	Garo	Garo	81	BON1930-31	grt	104	GARO	BON1930-31?				
570	Garo	Garo	81	CHU1867	grt	104	GARO	CHU1867?				
571	Garo	G	81	JAM-Ety	grt	104	GARO	RB-PB/STC				
572	Garo	G	81	JAM-GSTC	grt	104	GARO	RB-PB/STC				
573	Garo	Garo	81	JAM-TIL	grt	104	GARO					
574	Garo	Garo	81	JAM-VSTB	grt	104	GARO	RB-PB/STC				
575	Garo	Garo	81	KEI1873	grt	104	GARO	KEI1873?				
576	Garo	Garo	81	PHI1904	grt	104	GARO	PHI1904?				
577	Garo	Garo	81	RB-PB	grt	104	GARO	RB-PB?	Garo1		106	
578	Garo	G	81	RJL-DPTB	grt	104	GARO	JAM/STC				
579	Garo	G	81	STC	grt	104	GARO	BON1930-31, etc., see n				BON1930-31, CHU1867, MIS1905,KEI1873
580	Garo	G	81	WSC-SH	grt	104	GARO	STC				
581	Garo (Bangladesh)	Garo-Bang	81	RB-GB	grt	104	GARO B					
582	*Garo dialects	Garo dialects	81	STC		104	*GARO	see notes				BON1930-31, CHU1867, MIS1905,KEI1873
583	Gasu	Gasu	46	WZL-Gasu	ykt	350	GASU	WZL-Gasu	Gasu1		108	
584	Gazhuo	Gazhuo	46	DQ-Gazhuo	kaf	105	GAZHUO	DQ-Gazhuo	Gazh1		110	by Dai Qingxia
585	Gazhuo	Gazhuo	46	DLF-Gazhuo	kaf	105	GAZHUO		Gazh1		110	
586	Gazhuo	Gazhuo	46	DHFRL	kaf	105	GAZHUO		Gazh1		110	
587	Geba	Geba	50	AW-TBT	kvq	106	GEBA					
588	Geba	Geba	50	GHL-PPB	kvq	106	GEBA					
589	Kaman [Miju]	Kaman Mishmi	6	JAM-GSTC	mxj	107	GEMAN	STC?				
590	Kaman [Miju]	DGgm	6	SLZO-MLD	mxj	107	GEMAN	SLZO	Gema1		112	
591	Kaman [Miju]	GMD	6	RJL-DPTB	mxj	107	GEMAN	SLZO-MLD				
592	Kaman [Miju]	Geman48	6	ZMYYC	mxj	107	GEMAN	ZMYYC	Gema1		112	
593	Chinese (GSR #)	GSR	52	GHL-PPB	och	404	CHINESE (OLD/MID)					
594	Guiqiong	Guiq	34	SHK-GuiqQ	gqi	108	GUIQIONG	SHK-GuiqQ	Guiq1		114	
595	Guiqiong	Guiqiong17	34	ZMYYC	gqi	108	GUIQIONG	ZMYYC	Guiq1		114	
596	Gurung	G	23	AH-CSDPN	gvr	109	GURUNG		Guru1	<Deu Bahadur Gurung, Warren and Jessie Glover	116	uses the same informant as Glover (from Ghachok)
597	Gurung	Gur	23	AW-TBT	gvr	109	GURUNG	AW-TBT				appears to be W. Gurung
598	Gurung	Gurung	23	JAM-GSTC		109	GURUNG	STC				
599	Gurung	Gurung	23	JAM-VSTB	gvr	109	GURUNG	AH-CSDPN				
600	Gurung	gha	23	MM-Thesis	gvr	109	GURUNG	Glover1977, SIL-Gur	Guru2	based on GLO 1977 but reanalysis of the data and different transcription system	117	Glover 1977 =Ghachok =Western Gurung
601	Gurung	Gurung	23	STC		109	GURUNG	unknown				
602	Gurung (Ghachok)	Gu	23	JAM-Ety	gvr	109	GURUNG	AH-CSDPN	Guru1		116	
603	Gurung (Ghachok)	gha	23	MM-K78	gvr	109	GURUNG	MM-K78	Guru2		117	
604	Gurung (Ghachok)	Gur	23	SIL-Gur	gvr	109	GURUNG		Guru1		116	=Glover 1977
605	rGyalrong	Gyarung	78	ACST	jya	110	GYARONG					
606	rGyalrong	Jiarong	78	DQ-Jiarong	jya	110	GYARONG	DQ-Jiarong				
607	rGyalrong	Gyarong	78	EDG1932	jya	110	GYARONG	EDG1932?				
608	rGyalrong	Gyarong	78	JAM-GSTC	jya	110	GYARONG	YN-HSJVS				
609	rGyalrong	Jyarung	78	JAM-VSTB	jya	110	GYARONG	YN-HSJVS				
610	rGyalrong	Gyarung	78	RJL-DPTB	jya	110	GYARONG	JAM/STC				
611	rGyalrong	Gyarung	78	STC	jya	110	GYARONG	CK-pGd,EDG1932,WOL1966				
612	rGyalrong	Gyarong	78	WOL1966	jya	110	GYARONG	WOL1966?				
613	rGyalrong	Gyarung	78	WSC-SH	jya	110	GYARONG	STC				
614	rGyalrong	Gyarong	78	YN-HSJVS	jya	110	GYARONG	YN-HSJVS	Gyar1		122	
615	rGyalrong	Jiarong	78	LXR-Jiarong	jya	110	GYARONG	LXR-Jiarong	Gyar3		120	
616	rGyalrong (Eastern)	rGyaE	78	SHK-rGEQ	jya	110	GYARONG	SHK-rGEQ				
617	rGyalrong (Northern)	rGyaN	78	SHK-rGNQ	jya	110	GYARONG	SHK-rGNQ				
618	rGyalrong (NW)	rGyaNW	78	SHK-rGNWQ	jya	110	GYARONG	SHK-rGNWQ				
620	Lai (Hakha)	Haka (Lai)	70	GHL-PPB	cnh	156	LAI					
621	Lai (Hakha)	Haka (=Lai)	70	STC	cnh	156	LAI					
622	Hani	Hani	48	DQ-Hani	hni	111	HANI	DQ-Hani	Hani6		125	by Dai Qingxia
623	Hani	Hani	48	HU-Hani	hni	111	HANI	HU-Hani				
624	Hani	Hani	48	JAM-Ety	hni	111	HANI	GAO1952				
625	Hani	Hani	48	JAM-GSTC	hni	111	HANI					
626	Hani	Hani	48	GAO1952	hni	111	HANI	GAO1952				
627	Hani	Hani	48	PC	hni	111	HANI					
628	Hani (Caiyuan)	HNcy	48	JZ-Hani	hni	111	HANI (BIYUE)	JZ-Hani	Hani2		130	
629	Hani (Dazhai)	HNdz	48	JZ-Hani	hni	111	HANI	JZ-Hani	Hani6		125	
630	Hani (Gelanghe)	HNgl	48	JZ-Hani	hni	111	HANI (GELANGHE)	JZ-Hani				
631	Hani (Hu T’an)	Ha [HT]	48	JAM-TSR	hni	111	HANI	HU-Hani				
632	Hani (Kao Hua-Nien)	Ha [K]	48	JAM-TSR	hni	111	HANI	GAO1952				
633	Hani (Lüchun)	HaL	48	ILH-PL	enu	113	HANI	ILH-PL	Hani3		126	
634	Hani (Shuikui)	HNsk	48	JZ-Hani	hni	111	HANI (HAONI)	JZ-Hani	Hani4		129	
635	Hani (Wordlist)	HaW	48	ILH-PL	hni	111	HANI (HAONI)	ILH-PCAH				
637	Hani (Haoni)	Haoni	48	DQ-Haoni	how	114	HANI (HAONI)	DQ-Haoni	Hani4		129	
638	Haoni	Hao	48	ILH-PL	how	114	HANI (HAONI)	ILH-PL				
639	Hayu	Vayu	30	ACST	vay	116	HAYU					
640	Hayu	Hayu	30	AW-TBT	vay	116	HAYU					
641	Hayu	Hayu	30	BM-Hay	vay	116	HAYU	BM-Hay	Hayu1		134	trans. normalized
642	Hayu	Hayu	30	BM-LH	vay	116	HAYU	BM-LH	Hayu1		134	
643	Hayu	hay	30	BM-PK7	vay	116	HAYU	BM-PK7	Hayu1		134	trans. normalized
644	Hayu	Hy	30	JAM-Ety	vay	116	HAYU	BM	Hayu1		134	
645	Hayu	Vayu	30	JAM-GSTC	vay	116	HAYU	BM				
646	Hayu	Hayu	30	JAM-VSTB	vay	116	HAYU	BM				
647	Hayu	Vayu	30	RJL-DPTB	vay	116	HAYU	JAM/STC?				
648	Hayu	Vayu	30	STC	vay	116	HAYU	HOD1857, LSI				
649	Hayu	Vayu	30	WSC-SH	vay	116	HAYU					
650	Horpa	Horpa	35	STC	ero	100	ERGONG					
651	Dhimal	Dhimal	60	JK-Dhimal	dhi	94	DHIMAL	Luce	Dhim1		92	
652	Hpun (Metjo)	Hpun (Metjo)	44	GHL-PPB	hpo	118	HPUN					
653	Hpun (Northern)	NHpun	44	EJAH-Hpun	hpo	118	HPUN	Luce	Hpun1		136	Luce's data
654	Hpun	Hpun	44	JAM-TSR	hpo	118	HPUN					
655	Aka [Hruso]	Aka	4	RJL-DPTB	hru	34	AKA	STC?				JS-HCST:13 says Hruso is not Tani
657	Aka [Hruso]	Aka	4	STC	hru	34	AKA	SHA1947				JS-HCST:13 says Hruso is not Tani
658	Hwalngau	Hwalngau	70	GHL-PPB	lus	175	HWALNGAU					
659	Idu	LBidu	6	JP-Idu	clk	120	IDU	JP-Idu	Idu1		139	identical to NEFA-PBI
660	Idu	PBI	6	NEFA-PBI	clk	120	IDU	NEFA-PBI?	Idu1		139	identical to JP-Idu
661	Idu	Idu	6	SHK-Idu	clk	120	IDU	SHK-Idu				
662	Idu	Idu50	6	ZMYYC	clk	120	IDU	ZMYYC	Idu2		140	
663	Intha	IT	44	JO-PB	int	121	INTHA					
664	Jili	Jili	37	RJL-DPTB	kac	122	JILI					extinct (dial. of Jingpho)
665	Jili	Jili	37	STC	kac	122	JILI					
666	Jingpho	Jg	37	ACST	kac	123	JINGPHO	STC				
667	Jingpho	Jg	37	AW-TBT	kac	123	JINGPHO					not original
668	Jingpho	Jingpho	37	DQ-Jingpho	kac	123	JINGPHO	JCD	Jing1		143	
669	Jingpho	Kachin	37	GEM-CNL	kac	123	JINGPHO			No Jingpho PI in GEM		
670	Jingpho	Jingpho	37	ILH-PL	kac	123	JINGPHO					
671	Jingpho	Jg	37	JAM-Ety	kac	123	JINGPHO	OH-DKL	Jing3		144	
672	Jingpho	Jg	37	JAM-GSTC	kac	123	JINGPHO	OH-DKL	Jing3		144	
673	Jingpho	Jg	37	JAM-II	kac	123	JINGPHO					
674	Jingpho	Jg	37	JAM-MLBM	kac	123	JINGPHO	OH-DKL				
675	Jingpho	Jingpho	37	JAM-TIL	kac	123	JINGPHO	OH-DKL				
676	Jingpho	Jg	37	JAM-TJLB	kac	123	JINGPHO	OH-DKL	Jing3		144	
677	Jingpho	Jg	37	JAM-TSR	kac	123	JINGPHO					
678	Jingpho	Jinghpaw	37	JAM-VSTB	kac	123	JINGPHO	OH-DKL				
679	Jingpho	JPek	37	JZ-Jingpo	kac	123	JINGPHO	JZ-Jingpo	Jing4		146	
680	Jingpho	Jingpho	37	JAM-MAR	kac	123	JINGPHO					Revised & added to Hanson, w/tone marks
681	Jingpho	Jinghpo	37	OH-DKL	kac	123	JINGPHO	OH-DKL?	Jing3		144	
682	Jingpho	Jinghpo	37	PC	kac	123	JINGPHO					
683	Jingpho	JP	37	RJL-DPTB	kac	123	JINGPHO	JZ-Jingpo?				"""Enkun Jingpho"""
684	Jingpho	K	37	RJL-DPTB	kac	123	JINGPHO	STC				
685	Jingpho	K	37	STC	kac	123	JINGPHO	OH-DKL				
686	Jingpho	Kachin	37	STC	kac	123	JINGPHO	OH-DKL				
687	Jingpho	K	37	WSC-SH	kac	123	JINGPHO	STC				
689	Jingpho	Jg	37	WTF-PNN	kac	123	JINGPHO					
690	Jingpho	Jingpo47	37	ZMYYC	kac	123	JINGPHO	ZMYYC				
691	Jingpho (Assam)	K (Assam dial.)	37	RJL-DPTB	kac	123	JINGPHO A					
692	Jingpho (Hkauri)	Hkauri-LM	37	JAM-TJLB	kac	124	JINGPHO HK					
693	Jingpho (Hkauri)	JgHk	37	JAM-Ety	kac	124	JINGPHO HK					
694	Jingpho (Maran)	K (Maran)	37	RJL-DPTB	kac	123	JINGPHO M					
695	Jinuo	Jino	47	JAM-GSTC	jiu	125	JINUO	JZ-Jinuo?				
696	Jinuo	Jinuo34	47	ZMYYC	jiu	125	JINUO	ZMYYC	Jinu2		151	
697	Jinuo (Baka)	JinB	47	DQ-JinB	jiu	125	JINUO	DQ-JinB				
698	Jinuo (Baya/Banai)	JinA	47	DQ-JinA	jiu	125	JINUO	DQ-JinA				
699	Jinuo (Buyuan)	JNby	47	JZ-Jinuo	jiy	119	JINUO	JZ-Jinuo	Jinu1		148	
700	Jinuo (Youle)	JNyl	47	JZ-Jinuo	jiu	125	JINUO	JZ-Jinuo	Jinu3		149	
701	Tibetan (Jirel)	J	24	AH-CSDPN	jul	298	TIBETAN (JIREL)		TibJ1	<Olak Bahadur Jirel, Esther Strahm, Anita Maibaum	397	
702	Tibetan (Jirel)	Jir	24	JAM-Ety	jul	298	TIBETAN (JIREL)	AH-CSDPN	TibJ1		397	
703	Jirel	Jir	24	JAM-GSTC	jul	298	TIBETAN (JIREL)					
704	Jirel	Jirel	24	JAM-VSTB	jul	298	TIBETAN (JIREL)					
706	Rongmei / Nruanghmei	Kabui	64	JAM-VSTB	nbu	248	RONGMEI					
707	Rongmei / Nruanghmei	Kabui	64	STC	nbu	248	RONGMEI					
708	Rongmei / Nruanghmei	Kabui	64	SIN1986	nbu	248	RONGMEI	SIN1986	Rong1		341	PRS?
709	Dimasa	Dimasa	80	JAM-Ety	dis	96	DIMASA	STC				
710	Bodo	Kachari	80	JAM-Ety	brx	62	BODO	STC				
711	Bodo	Kachari	80	JAM-VSTB	brx	62	BODO					
713	Bodo	Kachari	80	WIL1869	brx	62	BODO	WIL1869?				
714	Jingpho	Kachin	37	JAM-Kachin	kac	123	JINGPHO		Jing2			dittoed handout
715	Kadu	Kadu	40	BRO1920	zkd	126	KADU	BRO1920				
716	Kadu	Kadu	40	GHL-PPB	zkd	126	KADU					
717	Kadu	Kadu	40	JAM-Ety	zkd	126	KADU	STC				
718	Kadu	Kadu	40	RJL-DPTB	zkd	126	KADU	JAM/STC				
719	Kadu	Kadu	40	STC	zkd	126	KADU	BRO1920				
720	Kadu (Kantu)	Kadu (Kantu)	40	GHL-PPB	zkd	126	KADU					
721	Kaike	Ke	22	AH-CSDPN	kzq	127	KAIKE					
722	Kaike	Kai	22	AW-TBT	kzq	127	KAIKE					
723	Kaike	kaike	22	BM-PK7	kzq	127	KAIKE	not original?				
724	Kaike	Kk	22	JAM-Ety	kzq	127	KAIKE	AH-CSDPN				
725	Kaike	Kaike	22	JAM-VSTB	kzq	127	KAIKE	AH-CSDPN				
726	Kamarupan	Kmrp	3	JAM-GSTC		1	!KAMARUPAN	***				
727	Kanashi	Kanashi	20	STC	xns	128	KANASHI					
