lgid	name	abbr	grpid	source	iso	lgcode	sort	srcofdata	picode	pinotes	pi_page	notes
160	*Northern Naga	PNN	12	JAM-GSTC		18	*NAGA (NORTHERN)	***				
161	*Northern Naga	PNN	12	WTF-PNN		18	*NAGA (NORTHERN)	***				
162	*Nung	PTB (Nung)	38	ACST		220	*NUNG	***				proto-lang?
163	*SE Kiranti	sek	29	BM-PK7		389	*KIRANTI	***				
164	*Sino-Tibetan	PST	1	ACST		19	*SINO-TIBETAN	***				
165	*Sino-Tibetan	PST	1	JAM-GSTC		19	*SINO-TIBETAN	***				
166	*Sino-Tibetan	PST	1	JAM-TIL		19	*SINO-TIBETAN	***				
167	*Sino-Tibetan	PST	1	STC		19	*SINO-TIBETAN	***				
168	*Sino-Tibetan	ST	1	WSC-SH		19	*SINO-TIBETAN	***				
169	*Tai	PTai	57	JAM-GSTC		20	*TAI	***				
170	*TGTM	PTm	23	JAM-GSTC		21	*TAMANG	***				Proto-Tamang?
171	*TGTM	TGTM	23	MM-K78		21	*TAMANG	MM-K78				
172	*TGTM	TGTM	23	MM-Thesis		21	*TGTM	original				
173	*Tani	PT	5	JS-HCST		22	*TANI					
174	*Tibeto-Burman	PTB	2	ACST		23	*TIBETO-BURMAN	***				
175	*Tibeto-Burman	PTB	2	AW-TBT		23	*TIBETO-BURMAN	***				
176	*Tibeto-Burman	PTB	2	BM-PK7		23	*TIBETO-BURMAN	***				
177	*Tibeto-Burman	PTB	2	JAM-GSTC		23	*TIBETO-BURMAN	***				
178	*Tibeto-Burman	PTB	2	JAM-TIL		23	*TIBETO-BURMAN	***				
179	*Tibeto-Burman	PTB	2	JAM-TSR		23	*TIBETO-BURMAN	***				
180	*Tibeto-Burman	PTB	2	JAM-VSTB		23	*TIBETO-BURMAN	***				
181	*Tibeto-Burman	PTB	2	RJL-DPTB		23	*TIBETO-BURMAN	JAM/STC				
182	*Tibeto-Burman	PTB	2	STC		23	*TIBETO-BURMAN	***				
183	*Tibeto-Burman	TB	2	WSC-SH		23	*TIBETO-BURMAN	***				
185	*Tibeto-Burman	PTB	2	WTF-PNN		23	*TIBETO-BURMAN	***				
186	*Tibeto-Karen	TK	2	ACST		24	*TIBETO-KAREN	***				
187	*Western Tani	PWT	73	JS-HCST		381	*TANI WEST					
188	Padam [Abor]	Abor	74	JHL-AM	adi	25	ABOR	JHL-AM	Pada2		317	
189	Padam-Mishing [Abor-Miri]	AM	74	JAM-Ety	adi	26	ABOR-MIRI	STC<JHL-AM	Pada2		317	also Miri [mrg]
190	Padam-Mishing [Abor-Miri]	AM	74	JAM-GSTC	adi	26	ABOR-MIRI	STC<JHL-AM				also Miri [mrg]
191	Padam-Mishing [Abor-Miri]	AM	74	JAM-II	adi	26	ABOR-MIRI					also Miri [mrg]
192	Padam-Mishing [Abor-Miri]	AM	74	JAM-TSR	adi	26	ABOR-MIRI					also Miri [mrg]
193	Padam-Mishing [Abor-Miri]	AM	74	JAM-VSTB	adi	26	ABOR-MIRI	STC<JHL-AM				also Miri [mrg]
194	Padam-Mishing [Abor-Miri]	Abor-Miri	74	RJL-DPTB	adi	26	ABOR-MIRI	JAM/STC<JHL-AM				also Miri [mrg]
