semkey	title	semcat	old_chapter	old_subchapter
3.2.9	Rocks and minerals	Nnat	2c.1	10
3.2.10	Light or lack of light	Nnat	2c.1	11
3.2.11	Ground/Earth/Soil/Dirt	Nnat	2c.1	12
3.2.12.1	Verbs pertaining to fire	Vburn	2c.2	
5.11.5.5	Tools pertaining to fire	Nfire	2c.3	1
3.2.12.2	Fire, flames, and burnt things	Nfire	2c.3	3.3
4.0	Kinship Terms, Ethnonyms, Social Roles			
4.1	Pronouns	Nhum	3a	2
4.2	Roles	Nhum	3a	3
4.2.1	Occupations	Nhum	3a	3.1
4.2.1.1	Agriculture/Husbandry/Hunting	Nhum	3a	3.1.1
4.2.1.2	Commercial Roles	Nhum	3a	3.1.2
4.2.1.3	?			
4.2.1.4	Artists and Artisans	Nhum	3a	3.1.4
4.2.1.5	Health-care	Nhum	3a	3.1.5
4.2.1.6	Ceremonial	Nhum	3a	3.1.6
4.2.1.7	General	Nhum	3a	3.1.7
4.2.2	Teacher-Student roles	Nhum	3a	3.2
4.2.3	General roles	Nhum	3a	3.3
4.2.4	Religious Roles	Nhum	3a	4
4.2.5	Nobility	Nhum	3a	5
4.2.5.1	Titles	Nhum	3a	5.1.2
4.2.5.2	Civil leaders	Nhum	3a	5.2
4.2.5.3	Owners	Nhum	3a	5.4
4.2.6	Military roles	Nhum	3a	6
4.2.7	Challenged	Nhum	3a	7.1
4.2.8	Marital roles	Nhum	3a	7.2
4.2.9	Sporting	Nhum	3a	8
4.2.10	Servants	Nhum	3a	10
4.2.11	Stages of growth	Nhum	3a	9.1
4.2.12	Pejorative/Deprecated Roles			
4.2.12.1	Criminals	Nhum	3a	11.1
4.2.12.2	Scary things	Nhum	3a	11.2
4.2.12.3	Insulting names	Nhum	3a	11.3
4.3	People	Nhum	3a	9.2
4.4	Groups	Nhum	3a	12
4.4.1	Generic person terms		3a	
4.4.2	Clans and neighbors	Nhum	3a	12.2
4.4.3	Outsiders	Nhum	3a	12.3
4.4.4	Friends and Acquaintances	Nhum	3a	12.4
4.5	Other Collective terms	Nhum	3a	13
4.6	Ethnonyms/Place names	Nhum	3a	1
4.7	Kinship Terms	Nkin	3b	0
4.7.1	Previous generation	Nkin	3b	1
4.7.2	Same generation	Nkin	3b	2
4.7.3	Later generation	Nkin	3b	3
4.7.4	Related by marriage	Nkin	3b	4
4.7.5	General	Nkin	3b	5
5.0	Culture, Artifacts, Religion			
5.1	Waste products	Nwast	9a	
5.2	Writing Implements	Nwrit	9a	
5.3	Diseases	Nmed	9a	1
5.4	Instruments and therapies	Nmed	9a	2
5.5	Cooking Implements	Ncook	9b	
5.6	Culinary nouns	Nfood	9b	
5.7	Culinary verbs	Vfood	9b	
5.8	Religion	Nrel	9d	
5.8.1	Dieties and Spiritual Beings			
5.8.1.1	Deities/Spiritual Beings	Nrel	9d	1.1
5.8.1.2	Spiritual Beings	Nrel	9d	1.2
5.8.1.3	General/Other Religious	Nrel	9d	1.3
5.8.2	Persons and Things associated with Religion	Nrel	9d	2
5.8.2.1	Occupations	Nrel	9d	2.1
5.8.2.2	Group appellation	Nrel	9d	2.2
5.8.2.3	Religious persons/things	Nrel	9d	2.3
5.8.3	Religious and Magical Events			
5.8.3.1	Religious Events	Nrel	9d	3.1
5.8.3.2	Magical	Nrel	9d	3.2
5.8.4	Heaven/Hell	Nrel	9d	4
5.8.5	Sin ?	Nrel	9d	8.2
5.9	Monetary Terms	N$	9d	
5.10	Items of Culture	Ncult	9d	
5.11	Artifacts (unclassified as yet)	Nart	9f	
5.11.1	Containers	Ncont	9a	
5.11.2	Conveyances	Nconv	9a	
5.11.3	Musical objects	Nmus	9a	
5.11.4	Rope	Nrope	9a	
5.11.5	Tools	Ntool	9a	
5.11.5.1	Agricultural use	Ntool	9a	1
5.11.5.2	Home/Non-specialized use	Ntool	9a	2
5.11.5.3	Cutting/Boring	Ntool	9a	3
5.11.5.4	Workshop use/Equipment	Ntool	9a	4
5.11.5.6	Equipment	Ntool	9a	6
5.11.6	Textile	Ntxtl	9a	
5.11.7	Ornaments	Norn	9d	
5.11.8	Ornamentation	Vorn	9d	
5.11.8.1	Footwear	Npers	3c	1
5.11.8.2	?			
5.11.8.2.1	Clothes (general)	Npers	3c	2.1
5.11.8.2.1.1	Head	Npers	3c	2.1.1
5.11.8.2.1.2	Upper body	Npers	3c	2.1.2
5.11.8.2.1.3	Lower body	Npers	3c	2.1.3
5.11.8.2.2	Special clothes and equipment	Npers	3c	2.2
5.11.8.2.3	Parts of clothing	Npers	3c	2.3
5.11.8.3	Jewelry and Accessories	Npers	3c	3
5.11.8.4	Toiletries	Npers	3c	4
5.11.9	Dwellings	Ndwel	9c	
5.11.9.1	Kinds of dwellings	Ndwel	9c	1
5.11.9.2	Rooms	Ndwel	9c	2
5.11.9.3	Parts of the structure	Ndwel	9c	3
5.11.9.3.1	Internal	Ndwel	9c	3.1
5.11.9.3.2	External	Ndwel	9c	3.2
5.11.9.4	Furnishings	Ndwel	9c	4
5.11.9.5	Outdoor/Temporary structures	Ndwel	9c	5
5.11.9.6	General	Ndwel	9c	6
5.11.10	Fasteners	Nfast	9c	
5.11.11	Construction	Ncstr	9c	
5.12	Leisure	Nleis	9d	
5.13	Social interactions	Nsoc	9d	
5.14	Husbandry	Nhusb	9e	
5.15	War and violence	Nwar	9e	
6.0	Verbs of Motion, of Manipulation, and of Production			
6.1	Action Verbs without Patient			
6.1.1	Affect	Vact	4a	1
6.1.1.1	To do/act	Vact	4a	1.1
6.1.1.1.1	Redo, repeat	Vact	4a	1.1.2
6.1.1.3	Play	Vact	4a	1.3
