semkey	title	semcat	old_chapter	old_subchapter
1.2.7.5	Deaf	Nbp	1a	2.7.5
1.2.8	Nose	Nbp	1a	2.8
1.2.8.1	Nostril	Nbp	1a	2.8.1
1.2.8.2	Alae Nasi	Nbp	1a	2.8.2
1.2.8.3	Snout	Nbp		
1.2.8.4	Snot: See Secretions			
1.2.8.5	Smell	Vbp	1b	2.8.5
1.3	Mouth and Throat	Nbp	1a	3
1.3.1	Mouth	Nbp	1a	3.1
1.3.1.1	Palate	Nbp	1a	3.1.1
1.3.1.2	Beak/Bill	Nbp	1a	3.1.2
1.3.1.3	Yawn/Gape	Nbp	1a	3.1.3
1.3.1.4	Blow	Vbp	1b	3.1.4
1.3.2	Lip	Nbp	1a	3.2
1.3.2.1	Suck/Suckle	Nbp	1a	3.2.1
1.3.2.2	Kiss	Nbp	1a	3.2.2
1.3.3	Tongue	Nbp	1a	3.3
1.3.3.1	Lick	Vbp	1b	3.3.1
1.3.4	Tooth	Nbp	1a	3.4
1.3.4.1	Eyetooth/Tusk/Canine Tooth	Nbp	1a	3.4.1
1.3.4.2	Molar	Nbp	1a	3.4.2
1.3.4.3	Gums	Nbp	1a	3.4.3
1.3.4.4	Bite/Hold in Mouth	Vbp	1b	3.4.4
1.3.4.5	Chew	Vbp	1b	3.4.5
1.3.5	Throat/Pharynx	Nbp	1a	3.5
1.3.5.1	Uvula	Nbp	1a	3.5.1
1.3.5.2	Windpipe/Trachea	Nbp	1a	3.5.2
1.3.5.3	Gill	Nbp	1a	3.5.3
1.3.5.4	Adam's Apple/Larynx	Nbp	1a	3.5.4
1.3.5.5	Gullet/Esophagus	Nbp	1a	3.5.5
1.3.5.6	Swallow	Vbp		
1.3.5.7	Choke	Vbp	1b	3.5.6
1.3.5.8	Eat/Devour	Vbp	1b	3.5.7
1.3.5.9	Drink	Vbp	1b	3.5.8
1.4	Torso	Nbp	1a	4
1.4.1	Torso/Trunk	Nbp	1a	4.1
1.4.2	Neck	Nbp	1a	4.2
1.4.2.1	Nape of Neck	Nbp	1a	4.2.1
1.4.2.2	Goiter	Nbp	1a	4.2.2
1.4.3	Shoulder	Nbp	1a	4.3
1.4.3.1	Collarbone/Clavicle	Nbp	1a	4.3.1
1.4.3.2	Shoulderblade/Scapula	Nbp	1a	4.3.2
1.4.3.3	Carry on shoulder	Vbp	1b	4.3
1.4.4	Front	Nbp	1a	4.4
1.4.4.1	Folded	Vbp	1b	4.4.1
1.4.4.2	Bosom/Lap	Nbp	1a	4.4.1
1.4.4.3	Chest	Nbp	1a	4.4.2
1.4.4.4	Ribs/Ribcage	Nbp	1a	4.4.3
1.4.4.5	Chest Hair	Nbp	1a	4.4.4
1.4.5	Sides	Nbp	1a	4.5
1.4.6	Waist	Nbp	1a	4.6
1.4.7	Belly/Abdomen	Nbp	1a	4.7
1.4.8	Back	Nbp	1a	4.8
1.4.8.1	Lower Back/Small of Back	Nbp	1a	4.8.1
1.4.8.2	Spine/Backbone	Nbp	1a	4.8.2
1.4.8.3	Hunchback	Nbp	1a	4.8.3
1.4.8.4	Crouch	Vbp	1b	4.8.3
1.4.9	Loins/Groin	Nbp	1a	4.9
1.4.9.1	Crotch/Fork	Nbp	1a	4.9.1
1.4.9.2	Hips/Pelvis/Haunches	Nbp	1a	4.9.2
1.4.10	Buttocks/Rump	Nbp	1a	4.10
1.4.10.1	Tail	Nbp	1a	4.10.1
1.4.10.1.1	Short-tailed	Vbp	1b	4.10.1
1.4.10.2	Anus/Rectum	Nbp	1a	4.10.2
1.5	Limbs, Joints, and Body Measures	Nbp	1a	5.
1.5.1	Hand, Arm, Wing			
1.5.1.1	Hand	Nbp	1a	5.1
1.5.1.1.1	Fist	Nbp	1a	5.1.1
1.5.1.1.2	Back of Hand			
1.5.1.1.3	Four-handed	Vbp	1b	5.1
1.5.1.2	Arm	Nbp	1a	5.8
1.5.1.2.1	Bicep/Upper Arm	Nbp	1a	5.8.1
1.5.1.2.2	Forearm	Nbp	1a	5.8.2
1.5.1.2.3	Underarm/Armpit	Nbp	1a	5.8.3
1.5.1.2.4	Tickle	Nbp	1a	5.8.4
1.5.1.3	Wing	Nbp	1a	5.10
1.5.1.3.1	Fin	Nbp	1a	5.10.1
1.5.2	Foot	Nbp	1a	5.2
1.5.2.1	Heel	Nbp	1a	5.2.1
1.5.2.2	Instep	Nbp	1a	5.2.2
1.5.2.3	Arch	Nbp	1a	5.2.3
1.5.2.4	Ball of Foot	Nbp		
1.5.2.5	Footprint	Nbp	1a	5.2.5
1.5.3	Hands and Feet/Arms and Legs	Nbp	1a	5.3
1.5.3.1	Limb/Branch	Nbp	1a	5.3.1
1.5.3.2	Five			
1.5.3.3	Bandy-legged	Vbp	1b	5.3
1.5.4	Hoof/Paw	Nbp	1a	5.4
1.5.5	Palm/Sole	Nbp	1a	5.6
1.5.6	Finger/Toe	Nbp	1a	5.7
1.5.6.1	Thumb/Big Toe	Nbp	1a	5.7.1
1.5.6.2	Other Specific Digits	Nbp	1a	5.7.2
1.5.6.3	Fingerprint	Nbp	1a	5.7.3
1.5.7	Leg	Nbp	1a	5.9
1.5.7.1	Thigh	Nbp	1a	5.9.1
1.5.7.2	Shin/Tibia	Nbp	1a	5.9.2
1.5.7.3	Calf	Nbp	1a	5.9.3
1.5.7.4	Lower Leg	Nbp		
1.5.8	Joint	Nbp	1a	5.11
1.5.8.1	Wrist	Nbp	1a	5.11.1
1.5.8.2	Ankle	Nbp	1a	5.11.2
1.5.8.3	Elbow	Nbp	1a	5.11.3
1.5.8.4	Knee	Nbp	1a	5.11.4
1.5.8.4.1	Knee-deep	Vbp	1b	5.11.4
1.5.8.5	Knuckle/Phalanx	Nbp	1a	5.11.5
1.5.9	Body Measures			
1.5.9.1	Right			
1.5.9.2	Left			
1.5.9.3	Cubit	Nbp	1a	5.14
1.5.9.4	Span/Handspan	Nbp	1a	5.15
1.5.9.5	Fathom/Cord	Nbp	1a	5.16
1.5.10	Nail	Nbp	1a	5.17
1.5.10.1	Fingernail	Nbp	1a	5.17.1
1.5.10.2	Toenail	Nbp	1a	5.17.2
1.5.10.3	Cuticle	Nbp	1a	5.17.3
1.5.10.4	Claw/Talon/Pincer	Nbp	1a	5.17.4
1.5.11	Numb/Paralyzed	Nbp	1a	5.18
1.5.12	Lame/Limp	Nbp	1a	5.19
1.6	Diffuse Organs	Nbp	1a	6.0
1.6.1	Body Hair/Fur	Nbp	1a	6.1
1.6.1.1	Feather	Nbp	1a	6.1.1
1.6.1.2	Mane	Nbp		
1.6.1.3	Wool	Nbp	1a	6.1.3
1.6.1.4	Bristle	Vbp	1b	6.1
1.6.2	Blood/Bleed	Nbp	1a	6.2
1.6.2.1	Blood Vessel/Vein/Artery	Nbp	1a	6.2.1
1.6.3	Bone	Nbp	1a	6.3
1.6.3.1	Skeleton	Nbp	1a	6.3.1
1.6.3.2	Breastbone/Sternum	Nbp	1a	6.3.2
1.6.3.3	Spine/Backbone	Nbp	1a	6.3.3
1.6.3.4	Cartilage/Gristle	Nbp	1a	6.3.4
1.6.3.5	Marrow	Nbp	1a	6.3.5
1.6.4	Fat/Be Fat	Nbp	1a	6.4
1.6.4.1	Oil/Grease	Nbp	1a	6.4.1
1.6.5	Skin	Nbp	1a	6.5
1.6.5.1	Hide/Leather	Nbp	1a	6.5.1
1.6.5.2	Scale (of fish, snake)	Nbp	1a	6.5.2
1.6.5.3	Skin Blemish/Freckle	Nbp	1a	6.5.3
1.6.5.4	Blistered	Vbp	1b	6.5.3
1.6.5.4.1	Boil (n.)	Nbp		
1.6.5.5	Itch/Scratch	Nbp	1a	6.5.4
1.6.5.6	Molt	Vbp	1b	6.5
1.6.6	Obscure Internal Channels	Nbp	1a	6.6
1.6.6.1	Sinew/Tendon/Ligament	Nbp	1a	6.6.1
1.6.6.2	Muscle	Nbp	1a	6.6.2
1.6.6.2.1	Cramped	Vbp	1b	6.6.2
1.6.6.3	Nerve	Nbp	1a	6.6.3
1.6.6.4	Lymph	Nbp	1a	6.6.4
1.7	Internal Organs	Nbp	1a	7.0
1.7.1	Heart	Nbp	1a	7.1
1.7.1.1	Heartbeat/Pulse	Nbp	1a	7.1.1
1.7.2	Lung	Nbp	1a	7.2
1.7.2.1	Tuberculosis	Nbp	1a	7.2.1
1.7.3	Liver	Nbp	1a	7.3
1.7.3.1	Gall/Bile	Nbp	1a	7.3.1
1.7.4	Spleen	Nbp	1a	7.4
1.7.4.1	Swollen Spleen	Nbp		
1.7.5	Kidney	Nbp	1a	7.5
1.7.6	Stomach	Nbp	1a	7.6
1.7.6.1	Gizzard/Crop	Nbp	1a	7.6.1
1.7.6.2	Digest	Vbp	1b	7.6
1.7.7	Intestines/Bowels/Guts	Nbp	1a	7.7
1.7.7.1	Appendix	Nbp		
1.7.7.2	Pancreas	Nbp		
1.7.7.3	Constipated	Vbp	1b	7.7
1.7.8	Bladder	Nbp	1a	7.8
1.8	Secretions and Somatophonics	Nbp	1a	8
1.8.1	Sweat/Perspire	Nbp	1a	8.2
1.8.1.1	Pore	Nbp	1a	8.2.1
1.8.1.2	Body Dirt	Nbp	1a	8.2.2
1.8.2	Snot/Nasal Mucus	Nbp	1a	8.3
1.8.2.1	Sneeze	Nbp	1a	8.3.1
1.8.2.2	Snore	Nbp	1a	8.3.2
1.8.3	Spit/Saliva	Nbp	1a	8.4
1.8.3.1	Phlegm	Nbp		
1.8.3.2	Vomit	Nbp	1a	8.4.2
1.8.3.3	Cough	Vbp	1b	8.4
1.8.3.4	Belch/Burp	Vbp	1b	8.4.4
1.8.3.5	Hiccup	Nbp	1a	8.4.5
1.8.4	Urine/Piss	Nbp	1a	8.5
1.8.5	Feces/Shit/Dung/Filth/Excrement	Nbp	1a	8.6
1.8.5.1	Meconium	Nbp		
1.8.5.2	Fart	Nbp	1a	8.6.2
1.8.5.3	Flatulate	Vbp	1b	8.6.2
1.8.5.4	Defecate	Vbp	1b	8.6
1.8.6	Discharge	Vbp	1b	8.7
1.8.6.1	Pus/Gleet	Nbp	1a	8.7
1.8.6.2	Abscess/Ulcer	Nbp	1a	8.7.1
1.8.7	Speak/Say/Tell	Nbp	1a	8.8
1.8.7.1	Mute/Dumb	Vbp	1b	8.8
1.8.7.2	Stutter/Stammer	Nbp	1a	8.8.2
1.8.8	Emotional Somatophonics			
1.8.8.1	Laugh/Smile	Nbp	1a	8.9
1.8.8.2	Cry/Weep	Vbp	1b	8.9.1
1.8.8.3	Tears	Nbp	1a	2.6.7
1.8.8.4	Whistle	Vbp		
1.9	Reproductive System	Nbp	1a	9.0
1.9.1	Egg	Nbp	1a	9.1
1.9.1.1	Bred	Vbp	1b	9.1.1
1.9.1.2	Brood on egg	Vbp	1b	9.3.3
1.9.2	Birth	Nbp	1a	1.2
1.9.2.1	Sterile	Vbp	1b	9.2.2
1.9.2.2	Circumcise	Vbp	1b	9.2.1.1
1.9.2.3	Castrate	Vbp	1b	9.2.2.4
1.9.3	Navel	Nbp	1a	9.3
1.9.3.1	Umbilical Cord			
1.9.4	Breast	Nbp	1a	9.4
1.9.4.1	Milk			
1.9.4.2	Wean			
1.9.5	Vagina	Nbp	1a	9.5
1.9.5.1	Vulva/Labia			
1.9.5.2	Clitoris			
1.9.6	Womb	Nbp	1a	9.6
1.9.6.1	Pregnant	Nbp	1a	9.2
1.9.6.2	Barren	Vbp	1b	9.3.4.1
1.9.6.3	Amniotic sac/Amniotic fluid			
1.9.6.4	Placenta/Afterbirth			
1.9.6.5	Fertility	Nbp	1a	9.9.5
1.9.7	Penis	Nbp	1a	9.7
1.9.7.1	Testicle	Nbp	1a	9.7.1
1.9.7.2	Scrotum/Pouch			
1.9.7.3	Foreskin/Prepuce			
1.9.7.4	Glans penis			
1.9.8	Copulate	Nbp	1a	9.8
1.9.9	Body Fluids	Nbp		
1.9.9.1	Sperm/Semen			
1.9.9.2	Ejaculate			
1.9.10	Genitals/Pudenda			
1.9.11	Menstruation			
1.9.11.1	Menstrual	Vbp	1b	9.3.4
1.9.12	Female	Nbp	1a	9.9.3
1.9.12.1	Female Pubic Hair			
1.9.13	Male	Nbp	1a	9.9.4
1.9.13.1	Male Pubic Hair			
1.9.14	Other Reproductive System	Nbp	1a	xxx
1.10	Mind	Nbp	1a	10.0
7.2	Epistemics			
9.6.1.2	Positive Human Qualities			
9.6.2.2	Negative Human Qualities			
9.6.3	Neutral			
7.3	Manner Adverbials			
2.1	Animals of the Chinese Zodiac			
2.2	Other Animals			
10.3	?			
2.1.6.1	Snake			
2.1.6.2	Frog/Toad			
9.1.4.1	Night			
2.2.7.1	Otter			
9.1.4.2	Morning			
6.24	Verbs concerning textiles			
9.1.3.1	Tomorrow			
9.1.3.2	Yesterday			
9.1.3.3	Today			
9.1.3.4	Day			
9.1.4.3	Noon			
9.1.3.5	Day before yesterday			
9.1.3.6	Day after tomorrow			
2.1.6.3	Lizard			
9.1.4.4	Evening			
9.1.4.5	Tonight			
