rn	type	text
525305	I	"<par>We assign the unstressed second syllable to this root, treating the last syllable as a reflex of the augmented allofam <xref ref=""259"">#259</xref>.</par>"
525866	T	<par>Probably a loan from Hindi <latinform>jahāza</latinform>.</par>
