type	text
T	"<par>The original source of this data is available here:  <a href=""http://crlao.ehess.fr/docannexe.php?id=1222"">xls</a> |  <a href=""http://crlao.ehess.fr/docannexe.php?id=1221"">txt</a> | <a href=""http://crlao.ehess.fr/docannexe.php?id=1200"">pdf</a></par><par>An explanation of the OC root structure in the Baxter-Sagart 1.00 system can be found <a href=""http://crlao.ehess.fr/docannexe.php?id=1226"">here</a>.</par>"
T	<par>From the source:</par><par><latinform><hanform>字</hanform></latinform>: character (traditional form)</par><par><strong>pīnyīn</strong>: standard pronunciation in pīnyīn romanization</par><par><strong>MC</strong>: ASCII-friendly Middle Chinese transcription</par><par><strong>OC</strong>: Old Chinese reconstruction in the Baxter-Sagart system, in two forms: (1) a convenient, user-friendly form that omits information about uncertainties in the reconstruction, followed (where necessary) by (2) a reconstruction in curly brackets which indicates more explicitly which parts of the reconstruction are less secure. For some items there are remarks about possible dialect developments.</par><par><strong>gloss</strong>: a simple gloss intended for identification only; for more accurate information about meaning, one of the large standard dictionaries should be consulted.</par><par><strong>GSR</strong>: the letter and number of the item in Karlgren&apos;s Grammata serica recensa; items which do not appear in GSR are usually assigned an appropriate number, without a letter.</par>
I	"<par>To access OC data:</par><par><a href=""http://web.archive.org/web/20130616183629/http://crlao.ehess.fr/document.php?id=1217"">archive</a></par>"
