type	text
T	<par><strong>From the contributor:</strong> &quot;Benzhen is the name of a township in Ma&apos;erkang County, Aba Prefecture, Sichuan Province. My data were recorded from a speaker from the Dashuigou Village. This is a variety of Situ or Eastern rGyalrong, the best-known representative variety of which is Zhuokeji (Cogtse).&quot;</par>
I	"<par>Possibly from <a href=""http://maps.google.com/maps?hl=en&amp;ll=31.92951,102.180448&amp;spn=0.024913,0.045447&amp;sll=31.905843,102.206259&amp;sspn=0.607218,1.024475&amp;vpsrc=0&amp;t=m&amp;z=15"">here</a>.</par>"
