rn	type	text
126183	I	<par><latinform>m  ̉</latinform> FLESH.</par>
126185	I	<par>see <latinform>gruŋ</latinform> above</par>
126190	I	<par>M2: 65?</par>
126192	I	<par>division?</par>
126267	I	<par>division?</par>
126277	T	<par>Tamang <latinform>¹pit</latinform> is of key importance in establishing the <latinform>-t</latinform> final for Himalayish.</par>
126281	I	<par><emph>tet</emph> = <emph>te</emph> Add Division.™po≠tet</par>
126283	I	<par>sound laws? gloss?</par>
126312	I	<par>&apos;eye&apos; + &apos;border&apos;</par>
