rn	type	text
150277	I	<par>Moyon <latinform>ha-bʌ-kʌm </latinform>*s-wa, *ba CHEEK?, 630.</par>
150406	T	<par>Moyon <latinform>phrìp</latinform> is evidently a fusional reduction of a compound like <reconstruction>*phu-rip</reconstruction>.</par>
150459	I	"<par>Cf. Moyon <latinform>bʌ thí</latinform> &apos;testicle&apos; (&lt; <xref ref=""300"">#300</xref>).</par>"
311391	T	<par>Note assimilation of the medial consonants.</par>
