rn	type	text
14238	I	<par>BP pfx? <latinform>kju</latinform>: see prev. 2 records. <latinform>phi</latinform> = <latinform>pi</latinform> above 131741 Komrem?</par>
14253	I	<par>1019? 66? (1019: <latinform>sey</latinform>)</par>
14254	I	<par><emph>na</emph>. As above p. 14 and 15.</par>
14256	I	<par>BP pfx?. <latinform>phe</latinform> as <latinform>pai</latinform> above</par>
14257	I	<par>1390?</par>
14258	I	<par>BP pfx? M2: 315</par>
14259	I	<par>M2: 1384? or sfx?</par>
14269	I	<par>2d syll. was tagged with now-defunct #1132?! [sic] <latinform>tšaŋ</latinform> BODY/PERSON.</par>
14269	I	<par>Should 2d syll be tagged 1126?</par>
14314	I	<par>m1 connected to &apos;night?&apos; JZ, p. 148 <latinform>l̀quote me⁴² khɑ⁴²</latinform></par>
14334	I	<par>check gloss in field notebook</par>
14353	I	<par><latinform>tsʰe³³</latinform> means ‘cut off’ </par>
