rn	type	text
131475	I	"<par>Properly speaking, this compound really belongs under <xref ref=""300"">#300</xref> above, but is included here to point out the contrast with <latinform>nəi tui</latinform> &apos;amniotic fluid&apos; (see section note).</par>"
131502	T	"<par>This form constitutes good evidence for the independence of etyma <xref ref=""665"">#665</xref> and <xref ref=""3558"">#3558</xref>.</par>"
131514	I	<par>-k suffix as in Sinitic.</par>
131556	I	<par>cf. above 1390,1390 ing-thing. Division (r-ok)? M3 or 4: 479?</par>
131563	I	<par>BP pfx?</par>
131575	I	<par>The last syllable means MOUTH.</par>
131600	I	<par>Division?</par>
131686	I	<par>First morph = UNDERARM.</par>
131688	I	<par>First syll = LEG.</par>
131713	I	<par>third syll &lt; 1438?</par>
131741	I	<par>230?</par>
131742	I	<par>M1: BP pfx?</par>
131743	I	<par>division?</par>
131744	I	<par>BP pfx?</par>
131745	I	<par>BP pfx? 1326/201?</par>
131750	I	<par>cf. above &amp; also above 1390,1390 ing-thing. M 3/4: 479?</par>
131751	I	<par>BP prfx? 316? 191?</par>
131752	I	<par>BP pfx? 777?</par>
131753	I	<par>572? or perh. p,573 (i.e., <latinform>ke-ri</latinform>; cf. <latinform>ria</latinform> above)</par>
131757	I	<par>BP pfx? M2: cf. <emph>ni</emph> below (rel. to 2118?)</par>
131770	I	"<par>For the first element, see <xref ref=""1181"">#1181</xref>.</par>"
131770	I	<par>EGG + <latinform>kok</latinform> &apos;hanging basket&apos;.</par>
