type	text
I	<par>The glosses are a little obscure. This source is best utilized in conjunction with Clark 1911 to figure out the actual meanings of each word.</par>
T	<par><strong>Note:</strong> Source id&apos;s not prefixed by &apos;p.&apos; correspond to the Appendices. With respect to transcription, &apos;c&apos; = /tʃ/ (with allophones [tʃ] and [ts]). Macrons (e.g. <plainlatinform>ā</plainlatinform>) mark mid tone.</par>
