rn	type	text
43642	I	<par>Whence 2d syll.?</par>
43680	I	<par>1322=spleen? or round <latinform>lum</latinform> 1020?</par>
43682	I	<par>315 or 2102?</par>
43683	I	<par>1384? See below</par>
43687	I	<par>M1: 654? M2: 658? <emph>M2: supposed to be ™¡?</emph></par>
43752	I	<par>*<latinform>ši</latinform>--WT <latinform>skam-ˇ</latinform><latinform>ùl si</latinform></par>
43753	I	<par>*<latinform>ši</latinform>--WT <latinform>skam-ˇ</latinform><latinform>ùl si</latinform></par>
43781	I	<par>For the second syllable cf. Dulonghe <latinform>dʑim⁵⁵</latinform>.</par>
43802	I	<par>M2 = 1390?</par>
43802	I	<par>M2: 1390?? or perh. 223??</par>
43807	I	<par>second syll = STALK</par>
43810	I	<par>M2 = 1322? 2104? 2123?</par>
43811	I	<par>M2: 315 or 2102? See hI-vu below?</par>
43812	I	<par>1384? See below</par>
43814	I	<par>or 1390-1390?</par>
43815	I	<par>fu = fe above?</par>
43833	I	<par>which is 309?</par>
43851	I	<par>change gloss to &apos;eat, said of chicken&apos;; this form is homophonous to &apos;drink&apos;.</par>
43871	I	<par>Is second syllable <latinform>da</latinform> a perfective Pv?</par>
43893	I	<par>cf. Lh. <latinform>gò</latinform></par>
43916	I	<par>note vowel</par>
43950	I	<par>315 or 2102?</par>
43951	I	<par>1384? See below</par>
43954	I	<par>650? Note: this sort of reflex earlier assigned 1390 (other glosses)</par>
