rn	type	text
19394	I	<par>morph boundary?; fixed by dwbruhn to indicate 2nd morpheme as &apos;water&apos; (2011-Oct-08)</par>
19400	I	<par>Unclear why srcid is &quot;529&quot;. This form comes from Appendix I(a), p.187 of  Volume 2.</par>
19401	I	<par>Unclear why srcid is &quot;530&quot;. This form comes from Appendix I(a), p.187 of  Volume 2.</par>
164996	T	"<par>The initial nasal in this form is perhaps from the final consonant of a formerly preceding syllable (cf. the Rongmei and Meithei forms where the first syllable is to be assigned to <xref ref=""745"">#745</xref>).</par>"
165000	T	<par>The velarity of the final in Maring <latinform>bang</latinform> is unexplained.</par>
165203	T	<par>Laryngeality of Meithei <latinform>hak</latinform> unexplained.</par>
165284	T	<par>Final period is in original.</par>
165286	T	<par>These Jingpho forms are transcribed as if they were open syllables in Hanson (and sources which recopied his data), but they really have a final glottal stop <latinform>-ʔ</latinform> (&lt; <reconstruction>*-k</reconstruction>), as noted in ZMYYC and other more modern sources.</par>
165340	I	<par>Was tagged with now-defunct #351 <latinform>d-pral ~ k-pral</latinform> FOREHEAD.</par>
165342	I	<par>interesting form.</par>
165366	I	<par>The second syllable of this form has been assigned to etymon 288 <reconstruction>*bṟ̀aŋ</reconstruction>. Are there any other examples of *labial-cluster &gt; Puiron ch- to back this up?</par>
165370	I	<par>The -i- vocalism is unexplained, perhaps we need a subroot of etymon 289 <reconstruction>*m-twak/ŋ</reconstruction> that looks more like <reconstruction>*m-tik ⪤ *m-tuk</reconstruction>.</par>
165374	I	<par>The first syllables of the WB, Naxi, and Nusu compounds come from <reconstruction>*b-raŋ</reconstruction> CHEST / BREAST.</par>
165526	I	<par>Was tagged with now-defunct #2041.</par>
165531	I	<par>Was tagged with now-defunct #351 <latinform>d-pral ~ k-pral</latinform> FOREHEAD.</par>
165696	I	<par>probably <latinform>tə-nik-khəm</latinform></par>
165791	T	"<par>Cf. Nocte <latinform>da</latinform> &apos;foot&apos; under <xref ref=""888"">#888</xref>.</par>"
165793	T	"<par>These forms coexist alongside <latinform>akwang</latinform> &apos;arm&apos; (&lt; <xref ref=""240"">#240</xref>), demonstrating that these represent separate etyma.</par>"
166021	I	<par>n.b. not from 2046 *wam CHEEK.</par>
166181	T	<par>Note the optional assimilation of the medial consonants.</par>
166293	T	<par>The <latinform>h-</latinform> in these Tangkhul forms apparently descends from the lateral cluster <reconstruction>*s-l</reconstruction> (cf. the forms from Abor-Miri and Naga languages with zero initial).</par>
166293	T	<par>Tangkhul <latinform>h-</latinform> apparently descends from the lateral cluster <reconstruction>*s-l</reconstruction> (cf. Abor-Miri and Naga forms with zero initials).</par>
166297	I	<par>We are assuming preemption by the labial prefix in this Dimasa form, as well as in Bodo <latinform>a-má(y)-tu</latinform>.</par>
166362	I	<par>syllabification problem.</par>
168860	T	"<par>Cf. also Wancho <latinform>tśak</latinform> &apos;arm&apos; under <xref ref=""699"">#699</xref>.</par>"
168883	T	<par>WT has a doublet (<latinform>sku</latinform> and <latinform>sgo</latinform>), with the relationship between them unclear. Chantyal <latinform>gɦo</latinform> is apparently a loanword from the latter variant.</par>
168971	I	<par>syllabification problem.</par>
171288	T	<par>Khoirao <latinform>gh</latinform> is a voiced velar fricative.</par>
171298	T	"<par>Rare nasal reflex of <xref ref=""591"">#591</xref> labial initial.</par>"
