rn	type	text
38817	I	<par>Why constricted?</par>
38854	I	<par>cf. <emph>se</emph> etc. above. and ﬁ = sfx (division)?</par>
38855	I	<par>M2: NEST? M3: cf. tçi above: 1390?</par>
38857	I	<par>see <latinform>sɔ</latinform> below. Rel. to 574 (from next)?</par>
38859	I	<par>Loan from Chinese, cf. Chinese gān 肝 &apos;liver&apos;.</par>
38862	I	<par>779?</par>
38869	T	<par>Bijiang dialect</par>
38912	I	<par>from Chinese? cf. Mand <latinform>xǐng</latinform>.</par>
38950	T	"<par>Could alternately be from <xref ref=""819"">#819</xref>.</par>"
38952	I	<par>Which syll. is cognate?</par>
38958	I	<par>Acc to a note and drawing, s2 should be 33</par>
38965	I	<par>The first syllables of the Dali and Jianchuan compounds are undoubtedly loans from Chinese <hanform>嘴</hanform> (Mand. <latinform>zuǐ</latinform>).</par>
38969	I	<par>Borrowed from Chinese <latinform>bózi</latinform>, but the Chinese is ultimately from etymon 484 *b(r/w)a-n/t THROAT.</par>
38990	I	<par>see <latinform>sɔ</latinform> below. Rel. to 574?</par>
38994	I	<par>JAM: from Ch. <emph>(label also as b?)</emph></par>
38995	I	<par>M1: 1243? (but cf.<latinform> </latinform><latinform>ùl tə</latinform><latinform> </latinform>pfx much earlier); M2: 779?</par>
39000	T	<par>The second syllable of the Bai (Bijiang) form <latinform>vĩ³³ ɕui³³</latinform> is an obvious loan from Chinese (cf. Mand. <latinform>shuǐ</latinform>), although the other Bai forms listed seem to reflect the present etymon.</par>
39028	T	<par>Could alternately be from <reconstruction>*krəw</reconstruction> (819).</par>
39045	I	<par>from Chinese? cf. Mand <latinform>xǐng</latinform>.</par>
39095	I	<par>Should third syll. be tagged 808?</par>
39113	I	<par>The last syllable has been tagged 1276 by analogy with the Tujia forms for ‘chest’ <latinform>li⁵⁵ kʰo⁵⁵ tsʰũ⁵⁵</latinform> (43384,127201) and <latinform>li⁵⁵kho⁵⁵tshoŋ⁵⁵</latinform> (193110), since the second syllables of the Bai and Tujia forms seem to match up as well.</par>
39126	T	<par>Jianchuan <latinform>ɕuĩ³³</latinform> loan from Chinese.</par>
39130	I	<par><emph>remove division</emph>. b from Ch? If so: what about <latinform>pi</latinform> etc. above</par>
39132	I	<par>see <latinform>sɔ</latinform> below. Rel. to 574?</par>
39134	I	<par>Loan from Chinese, cf. Chinese gān 肝 &apos;liver&apos;.</par>
39137	I	<par>779? (<emph>Can’ t both be 779?)</emph> M2: s or 779??</par>
39144	I	<par>Jianchuan dialect</par>
39165	I	<par>2d syl was tagged 130.</par>
39193	I	<par>from Chinese? cf. Mand <latinform>xǐng</latinform>.</par>
