rn	type	text
12683	I	<par>M2: 650 (not 1390?)?</par>
12735	I	<par>check original source</par>
12746	I	<par>cf. COMB.</par>
12750	I	<par>1382?</par>
12754	I	<par>borrowing?</par>
12773	I	<par>as above... M2: 292 or 66 (or even 77? see below)-or not separ. Etym?</par>
12822	I	<par></par>
12823	I	<par>Note <latinform>di </latinform><latinform>= </latinform><latinform>dəy</latinform><latinform>= </latinform><latinform>dəi</latinform><latinform> </latinform>above</par>
12832	I	"<par>For the first syllable, see <xref ref=""3436"">#3436</xref>, above.</par>"
66803	T	<par>possible IA loan, cf. Skt. <emph>muṣṭi-</emph>, Pa. <emph>muṭṭhi-</emph></par>
66808	T	<par>The analysis of Kham <latinform>ca</latinform> is tentative.</par>
66842	I	<par>as above</par>
66861	T	<par>Note the secondary labial final of Kham <latinform>&apos;ləp</latinform>.</par>
