rn	type	text
15173	I	<par>&apos;left&apos; and &apos;right&apos; appear to be mixed up in this source.</par>
15174	I	<par>&apos;left&apos; and &apos;right&apos; appear to be mixed up in this source.</par>
15187	I	<par>Simplex.</par>
15188	I	<par>Causative.</par>
15197	T	<par>Maru <latinform>tʃɔʔ³¹</latinform> perhaps a word-family variant of forms with <latinform>ɣ-</latinform>.</par>
15240	I	<par>check tone mark.</par>
15275	I	<par>M1 = CHICKEN (JAM); <emph>M3 = STOMACH</emph></par>
15284	T	"<par>Maru <latinform>ɣək³¹</latinform> &lt; PLB <reconstruction>*rəy¹</reconstruction> &apos;water; liquid&apos; (<xref ref=""1013"">#1013</xref>). Final <reconstruction>*-əy</reconstruction> regularly becomes <latinform>-it</latinform> in the Maru dialect described in Burling 1966. The unreleased final stop evidently sounds more like a velar in the dialect recorded by Dai Qingxia, who transcribes this rhyme as &quot;<latinform>-ək</latinform>&quot;.</par>"
15284	T	"<par>Maru <latinform>ɣək³¹</latinform> &lt; PLB <reconstruction>*rəy¹</reconstruction> &apos;water; liquid&apos; (<xref ref=""1013"">#1013</xref>). Final <reconstruction>*-əy</reconstruction> regularly becomes <latinform>-it</latinform> in the Maru dialect described in Burling 1966. The unreleased final stop evidently sounds more like a velar in the dialect recorded by Dai Qingxia, who transcribes this rhyme as &quot;<latinform>-ək</latinform>&quot;.</par>"
15287	T	"<par>Note the secondary final velar, the regular Maru reflex of the rhyme <reconstruction>*-əw</reconstruction>. See note under <xref ref=""253"">#253</xref>.</par>"
15312	I	<par>&apos;left&apos; and &apos;right&apos; appear to be mixed up in this source.</par>
15313	I	<par>&apos;left&apos; and &apos;right&apos; appear to be mixed up in this source.</par>
15351	I	<par>Second syll &lt;- 1232?</par>
15365	I	<par>n.b. ≠ 42.</par>
15368	T	<par>Maru <latinform>-k</latinform> is secondary.</par>
15371	I	<par>second syll = 536? cf. <gloss>blood vessel</gloss>.</par>
15373	I	<par>second syll = 372?</par>
15376	I	<par>second syll = 536? cf. <gloss>blood vessel</gloss>.</par>
15385	I	<par>M1: 1388 or 66?</par>
15390	T	<par>borrowing &lt; Jingpho.</par>
15391	I	<par>The word for <latinform>spleen</latinform>.</par>
15391	T	<par>2d syll = ‘spleen’ </par>
15392	I	<par></par>
15393	I	<par>BP pfx? 315 or 2103?</par>
