type	text
T	"<par><strong>Overview:</strong></par><par>The full work is available <a href=""http://linguistics.berkeley.edu/~dwbruhn/Bruhn_2014_A-Phonological-Reconstruction-of-Proto-Central-Naga.pdf"">here</a>.</par><par>Discussion of transcription/glossing/other conventions can be found in §I.4 (pp.19-29).</par>"
T	<par><strong>Transcription:</strong></par><par>Lotha, Chungli, Mongsen, PCN, and PAo forms largely conform to the IPA, except in their use of a preceding <latinform>h</latinform> to designate voiceless sonorants (e.g. <latinform>hn</latinform> /n̥/) and a following non-superscript <latinform>h</latinform> to represent aspiration (e.g. <latinform>ph</latinform> /pʰ/). PAo and PCN transcriptions utilize <latinform>j</latinform> for /j/ (unlike PTB, which uses <latinform>y</latinform>).</par><par>Tones in Mongsen forms are represented by accents over the vowel nuclei (<plainlatinform>◌́</plainlatinform>=High, <plainlatinform>◌</plainlatinform>=Mid, <plainlatinform>◌̀</plainlatinform>=Low), while Chungli tones are indicated by superscript numbers following each syllable (<plainlatinform>³</plainlatinform>=H, <plainlatinform>²</plainlatinform>=M, <plainlatinform>¹</plainlatinform>=L). Diphthongal offglides are transcribed with the glides <latinform>w</latinform> and <latinform>j</latinform> in Mongsen, but <latinform>u</latinform> and <latinform>i</latinform> in Chungli, reflecting their disparate syllable structures.</par><par>The syllables of polysyllabic PAo reconstructions are delimited by hyphens when the individual meaning of at least one syllable is understood (e.g. PAo <reconstruction>*t-hna-ɹuŋ</reconstruction> EAR (PFX-EAR-HOLE) (231)) but by periods when the semantic composition is unclear (e.g. PAo <reconstruction>*mən.ti</reconstruction> CORN (30)).</par>
T	<par><strong>Variation vs. Ambiguity:</strong></par><par>Proto-segments inside parentheses or separated by the allofam symbol (<plainlatinform>⪤</plainlatinform>) indicate <emph>variation</emph> (e.g. PCN <reconstruction>*a‑ma(ŋ)</reconstruction> BE DARK [197], PCN <reconstruction>*mjak ⪤ *hmik</reconstruction> EYE [234]).</par><par><emph>Ambiguity</emph>, on the other hand, is indicated by square brackets containing a single element (e.g. PCN <reconstruction>*[h]muk</reconstruction> THUNDER [262], ambiguous between <reconstruction>*hmuk</reconstruction> and <reconstruction>*muk</reconstruction>) or a slash separating two or more segments (e.g. PCN <reconstruction>*tsh[a/ə]m</reconstruction> MORTAR [150], a set which lacks the necessary supporting forms to decide between <reconstruction>*tsham</reconstruction> or <reconstruction>*tshəm</reconstruction>). The only exception to this practice involves Proto-Ao forms in which the rime is ambiguous between <reconstruction>*-a</reconstruction> and <reconstruction>*-aj</reconstruction>: These are typically reconstructed as PAo <reconstruction>*‑a</reconstruction>, except where extra-Ao evidence (PCN and/or PTB) supports the <reconstruction>*‑aj</reconstruction> diphthong, in which case the PAo rime is represented as <reconstruction>*‑a[j]</reconstruction>.</par>
