rn	type	text
21766	I	<par>check gloss</par>
21797	I	<par>Check gloss--prob. should be &apos;molar tooth.&apos;</par>
21797	I	<par>Check gloss--prob. should be &apos;molar tooth.&apos;</par>
21937	I	<par>delete, wrong form</par>
21946	I	<par>from Indo-Aryan.</par>
22269	T	<par>Note assimilation of the medial consonants.</par>
22357	I	<par>notice assimilation to C fs20 dn4 i of second syllable.</par>
22408	I	<par>Check gloss in source.</par>
22427	I	<par><latinform> ̉</latinform> SKIN. Is first or second syll = 1458?</par>
22487	I	<par>Borrowing from Indo-Aryan.</par>
22507	I	<par>BP pfx? <emph>ki</emph></par>
22517	I	<par>May be rhinoglottophiliac.</par>
22536	I	<par>BP pfx? <emph>cf. j-/y- below</emph></par>
22541	I	<par>BP pfx?</par>
