rn	type	text
39513	I	"<par>For the second syllable, see <xref ref=""3438"">#3438</xref>, above.</par>"
39514	T	<par>Note the assimilation of the medial consonants.</par>
39522	T	<par>&lt; Tib.</par>
39560	I	<par>ibid.</par>
39562	I	<par><emph>zu</emph> = <emph>cu</emph> above. M2: 1384 etc. or s?</par>
39567	I	<par>M2: 191? rel. to 1390? M3: or 229?</par>
298057	I	<par>Possible loan from Tibetan, cf. Written Tibetan spreɦu.</par>
298125	I	<par>Loan from Chinese, cf. Chinese báicài 白菜  &apos;Chinese cabbage, bok choy&apos;.</par>
298223	I	<par>Loan from Tibetan, cf. Lhasa Tibetan tɕhu⁵³ tshøʔ⁵³ &apos;wristwatch&apos;.</par>
298364	I	<par>Loan from Tibetan.</par>
298530	I	<par>Loan from Tibetan lo gsar.</par>
