rn	type	text
33021	I	<par>correct gloss?</par>
33314	T	<par>Lahu <latinform>cú</latinform>, despite its non-checked tone synchronically, reflects a PLB prototype with final stop, <reconstruction>*ʔjup</reconstruction>; the high-rising tone is the result of &quot;glottal dissimilation&quot;, which occurred in pre-Lahu syllables that had both a *glottalized initial and a *final stop (which was reduced to <latinform>-ʔ</latinform> in Lahu). For a detailed account of this phenomenon, see Matisoff 1970, 1972a #73b.</par>
33319	I	<par>Note the Bisu doublet with <latinform>tš- ⪤ kj-</latinform>.</par>
33329	I	<par>error?</par>
33377	T	<par>HPTB (p.351, note i): &quot;TSR has Lahu <latinform>jîʔ</latinform>, but DL:572 correctly gives <latinform>jêʔ</latinform> as the basic form.&quot;</par>
33413	I	<par>Wrong reference.</par>
33413	I	<par>Lahu <latinform>pɨ̄</latinform> ‘comb’ was assigned to PLB <latinform>*</latinform><latinform>ùl ʔkʷiy²</latinform> in JAM’ s note to PKB’ s “Four forays into Karen linguistic history” (LTBA 5.1, p.27), by analogy with two other labiovelar roots, DOG (PLB <latinform>ùl *kwiy²</latinform>&gt;WB <latinform>ùl khwê</latinform>, Mpi <latinform>ùl khɯ²</latinform>, Lh. <latinform>ùl phî̃</latinform>) and NEST (PLB <reconstruction>*kwiy¹</reconstruction> (e1611)&gt;Mpi <latinform>ùl khɯ⁶</latinform>, Lh. <latinform>ùl phĩ</latinform>) [see JAM 1978 MLBM p.6]. However, it is probably better to group Lahu <latinform>ùl pĩ</latinform> with WB <latinform>p</latinform><latinform>ùl hî</latinform><latinform>~</latinform><latinform>ùl phrî</latinform> (&lt;PLB <latinform>ùl *ʔb(r)i(y)²</latinform>).<br />[WHERE ARE THESE SO-CALLED LAHU FORMS FROM??]</par>
33586	T	<par>The high rising tone in Lahu indicates a stopped final, so that the form should be assigned to the <latinform>s(y)ok</latinform> allofam.</par>
33731	I	<par>1384? See below. What is 44-22?</par>
33733	I	<par>1384? See below</par>
33734	I	<par>22s = tone?</par>
33735	I	<par>32s = tone?</par>
33736	I	<par>1384? See below</par>
33737	I	<par>1384? See below. What is M-M?</par>
33738	I	<par>251?</par>
33770	I	<par>final m = WET.</par>
33770	T	<par>The last syllable (<latinform>nɛ̂ʔ)</latinform> probably means ‘wet’ (cf. modern computer slang ‘wet-ware’). </par>
33770	I	<par>The last syllable (<latinform>nɛ̂ʔ</latinform>) probably means &apos;wet&apos;; cf. modern computer-nerd slang &apos;wet-ware.&apos;</par>
33770	I	<par>The last syllable (<latinform>nɛ̂ʔ</latinform>) probably means &apos;wet&apos;; cf. modern computer-nerd slang &apos;wet-ware.&apos;</par>
33773	I	<par>fix tone marks? (e.g., superscribe)</par>
33906	I	<par>M2=s or 1384:use 1384 (JAM)</par>
33907	I	<par>2104 2x? or M2: 1390?</par>
33929	I	<par>Simplex</par>
33940	T	<par>Causative.</par>
145840	I	<par>FoxBase: na-ya-kʻo LS-LS-LS ~ na-ya-kʻo L-LS-LS</par>
167896	I	<par>The rhyme of this LTSR reconstruction has now been revised to <latinform>*-uk</latinform>.</par>
