rn	type	text
126545	I	<par>Second syll &lt; 366? cf. <gloss>eyebrow</gloss>.</par>
126548	I	<par>M1: 779?</par>
126552	I	<par>check gloss.</par>
126587	T	<par>Reflex of <reconstruction>*s-mul</reconstruction> is divergent in Naxi.</par>
126595	I	<par>M2: 1384?</par>
126599	I	<par>compare with M2 of Bantawa HUNGRY.</par>
126600	I	<par>315 instead of 2103?</par>
126602	I	<par>Both morphemes previously seen?</par>
126613	I	<par>1390? 66?</par>
126616	I	<par>or 458? somehow???</par>
126662	I	<par>Beautiful form! <reconstruction>*tsywal</reconstruction>.</par>
129403	I	<par>Is second syll &lt; 1232 *dzik?</par>
129410	I	<par>check gloss.</par>
129436	T	<par>Western Naxi <latinform>ma³³</latinform> is distinct from the morpheme for &apos;eye&apos;: <latinform>miə³¹</latinform> or <latinform>miə⁵⁵</latinform>.</par>
129448	I	<par>181?</par>
129460	I	<par>315 instead of 2103?</par>
129462	I	<par>Both morphemes previously seen?</par>
129473	I	<par>1390?</par>
129475	I	<par>or 458? somehow???</par>
