rn	type	text
13521	I	<par>Daofu <latinform>rə dɔ</latinform> related to Ergong (Northern) <latinform>rdak⁵³</latinform> rn. 128368 and rGyalrong (Eastern) <latinform>rdɐk </latinform>rn. 130021? (first syllable of carcass/dead animal)</par>
13567	I	<par>is the vowel right on this form?</par>
13598	I	<par>=lung+?</par>
13674	I	<par>r- &lt; full syll as in rGyalrong?</par>
13685	I	<par>distinct from <latinform>huə</latinform> ‘head’ Daofu?</par>
13686	T	<par>Ergong <latinform>mɑɹ</latinform> &lt; WT <latinform>mar</latinform> &apos;butter&apos;.</par>
13687	I	<par>Division?cf. p. 43 etc. M1: m or p? if m: 67? (prob. pfx bec. of <latinform>r</latinform> earlier assigned to 1013 (PULSE?): both really prfxs?)</par>
13695	I	<par>M1: any relsp. to 220? Div: r-va? M2: or 1322?</par>
13698	I	<par>Cf. Tujia, Guiqing</par>
