rn	type	text
49051	I	<par>s or 1320~ ?</par>
49052	I	<par>s or 1320~ ?</par>
49204	I	<par>M1: 1326?? M2: 189? (or 16?) (or 1019 <latinform>sey</latinform> ROUND OBJECT) <emph>WAIST</emph>?</par>
49207	T	<par>&lt; CDIAL 4777 cikurā- &apos;muskrat&apos;</par>
49552	I	<par>The Khaling form <latinform>ghwaan-dü-rü</latinform> (144124,49522), and the Thulung form <latinform>gun-diu-riu</latinform> (49552,144123) may be loans; the three syllables are slightly suspicious.</par>
49622	I	<par>division? (ni≠ki = 228?)</par>
49646	T	<par>Thulung <latinform>hom</latinform> &apos;swell&apos;.</par>
49957	I	<par>1st syll. was tagged with now-defunct #1764 <latinform>kwəy </latinform> DOG.</par>
50060	I	<par>(?check)</par>
50064	T	"<par>Perhaps, stop-final allofam of <xref ref=""625"">#625</xref>.</par>"
50232	I	<par>siu is a suffix used in animal names.</par>
50259	I	<par>See Bahing TOPKNOT.</par>
50272	I	<par>first syll also given as e130.</par>
50382	I	<par>This looks like a “buttocks” word.</par>
50457	I	<par>assim. at a distance?</par>
50591	I	<par>M1: 654? or <emph>sam</emph> or p?</par>
50635	I	<par>Check gloss--n. or v.?</par>
50815	I	<par>1382? (earlier tagger:1381) 164?</par>
