rn	type	text
366609	I	<par>Loan from Chinese, cf. Chinese làzǐ 辣子 &apos;hot pepper&apos;.</par>
366611	I	<par>Loan from Chinese, cf. Chinese hǎijiāo 海椒 &apos;sea (foreign) pepper&apos; or perhaps hǎizǐ 海子 &apos;sea (foreign) -nom&apos;.</par>
366612	I	<par>Loan from Chinese, cf. Chinese hǎijiāo 海椒 &apos;sea (foreign) pepper&apos; or perhaps hǎizǐ 海子 &apos;sea (foreign) -nom&apos;.</par>
366614	I	<par>Loan from Chinese, cf. Chinese hǎijiāo 海椒 &apos;sea (foreign) pepper&apos; or perhaps hǎizǐ 海子 &apos;sea (foreign) -nom&apos;.</par>
366616	I	<par>Loan from Chinese, cf. Chinese hǎijiāo 海椒 &apos;sea (foreign) pepper&apos; or perhaps hǎizǐ 海子 &apos;sea (foreign) -nom&apos;.</par>
366617	I	<par>Loan from Chinese, cf. Chinese hǎijiāo 海椒 &apos;sea (foreign) pepper&apos; or perhaps hǎizǐ 海子 &apos;sea (foreign) -nom&apos;.</par>
366618	I	<par>Loan from Chinese, cf. Chinese hǎijiāo 海椒 &apos;sea (foreign) pepper&apos; or perhaps hǎizǐ 海子 &apos;sea (foreign) -nom&apos;.</par>
366621	I	<par>Loan from Chinese, cf. Chinese làzǐ 辣子 &apos;hot pepper&apos;.</par>
366626	I	<par>Possible loan from Indo-Aryan; cf. forms like Hindi mirich.</par>
366627	I	<par>Possible loan from Indo-Aryan; cf. forms like Hindi mirich.</par>
366628	I	<par>Loan from Thai.</par>
366629	I	<par>Loan from Thai.</par>
366630	I	<par>Loan from Thai.</par>
366631	I	<par>Loan from Thai.</par>
366632	I	<par>Loan from Thai.</par>
366633	I	<par>Loan from Chinese, cf. Chinese làzǐ 辣子 &apos;hot pepper&apos;.</par>
366634	I	<par>Loan from Chinese, cf. Chinese hǎijiāo 海椒 ‘sea (foreign) pepper’ or perhaps hǎizǐ 海子 ‘sea (foreign) -nom’. </par>
366637	I	<par>Loan from Chinese, cf. Chinese làzǐ 辣子 &apos;hot pepper&apos;.</par>
366638	I	<par>Loan from Chinese, cf. Chinese làzǐ 辣子 &apos;hot pepper&apos;.</par>
366641	I	<par>Loan from Chinese, cf. Chinese làzǐ 辣子 &apos;hot pepper&apos;.</par>
366645	I	<par>Loan from Chinese, cf. Chinese làzǐ 辣子 &apos;hot pepper&apos;.</par>
366646	I	<par>Loan from Chinese, cf. Chinese hǎijiāo 海椒 &apos;sea (foreign) pepper&apos; or perhaps hǎizǐ 海子 &apos;sea (foreign) -nom&apos;.</par>
366647	I	<par>Loan from Chinese, cf. Chinese làzǐ 辣子 &apos;hot pepper&apos;.</par>
366648	I	<par>Loan from Chinese, cf. Chinese làzǐ 辣子 &apos;hot pepper&apos;.</par>
366807	I	"<par>Borrowing from Chinese, cf. Chinese 洋芋	yángyù &apos;potato&apos;.</par>"
366808	I	"<par>Borrowing from Chinese, cf. Chinese 洋芋	yángyù &apos;potato&apos;.</par>"
366809	I	"<par>Borrowing from Chinese, cf. Chinese 洋芋	yángyù &apos;potato&apos;.</par>"
366812	I	"<par>Borrowing from Chinese, cf. Chinese 洋芋	yángyù &apos;potato&apos;.</par>"
366813	I	"<par>Borrowing from Chinese, cf. Chinese 洋芋	yángyù &apos;potato&apos;.</par>"
366814	I	"<par>Borrowing from Chinese, cf. Chinese 洋芋	yángyù &apos;potato&apos;.</par>"
366815	I	"<par>Borrowing from Chinese, cf. Chinese 洋芋	yángyù &apos;potato&apos;.</par>"
366816	I	"<par>Borrowing from Chinese, cf. Chinese 洋芋	yángyù &apos;potato&apos;.</par>"
366818	I	"<par>Borrowing from Chinese, cf. Chinese 洋芋	yángyù &apos;potato&apos;.</par>"
366819	I	"<par>Borrowing from Chinese, cf. Chinese 洋芋	yángyù &apos;potato&apos;.</par>"
366820	I	"<par>Borrowing from Chinese, cf. Chinese 洋芋	yángyù &apos;potato&apos;.</par>"
366821	I	"<par>Borrowing from Chinese, cf. Chinese 洋芋	yángyù &apos;potato&apos;.</par>"
366822	I	"<par>Borrowing from Chinese, cf. Chinese 洋芋	yángyù &apos;potato&apos;.</par>"
366823	I	"<par>Borrowing from Chinese, cf. Chinese 洋芋	yángyù &apos;potato&apos;.</par>"
366832	I	"<par>Borrowing from Chinese, cf. Chinese 洋芋	yángyù &apos;potato&apos;.</par>"
366833	I	"<par>Borrowing from Chinese, cf. Chinese 洋芋	yángyù &apos;potato&apos;.</par>"
366834	I	"<par>Borrowing from Chinese, cf. Chinese 洋芋	yángyù &apos;potato&apos;.</par>"
366835	I	"<par>Borrowing from Chinese, cf. Chinese 洋芋	yángyù &apos;potato&apos;.</par>"
366836	I	"<par>Borrowing from Chinese, cf. Chinese 洋芋	yángyù &apos;potato&apos;.</par>"
366837	I	"<par>Borrowing from Chinese, cf. Chinese 洋芋	yángyù &apos;potato&apos;.</par>"
366839	I	"<par>Borrowing from Chinese, cf. Chinese 洋芋	yángyù &apos;potato&apos;.</par>"
366841	I	"<par>Borrowing from Chinese, cf. Chinese 洋芋	yángyù &apos;potato&apos;.</par>"
366842	I	"<par>Borrowing from Chinese, cf. Chinese 洋芋	yángyù &apos;potato&apos;.</par>"
366845	I	"<par>Borrowing from Chinese, cf. Chinese 洋芋	yángyù &apos;potato&apos;.</par>"
366846	I	"<par>Borrowing from Chinese, cf. Chinese 洋芋	yángyù &apos;potato&apos;.</par>"
366848	I	"<par>Borrowing from Chinese, cf. Chinese 洋芋	yángyù &apos;potato&apos;.</par>"
366849	I	"<par>Borrowing from Chinese, cf. Chinese 洋芋	yángyù &apos;potato&apos;.</par>"
366850	I	"<par>Borrowing from Chinese, cf. Chinese 洋芋	yángyù &apos;potato&apos;.</par>"
366853	I	"<par>Borrowing from Chinese, cf. Chinese 洋芋	yángyù &apos;potato&apos;.</par>"
368045	T	<par>The first syllable of WT <latinform>sgo-pur</latinform> &apos;foreskin (vulg.)&apos; does not appear to descend from this etymon, but seems rather to mean &apos;door; aperture, outlet&apos;. However, Jäschke does not include this under compounds with <latinform>sgo</latinform> &apos;door&apos; (114-6), but rather lists it as a separate head-entry (p. 116). The meaning of the second syllable <latinform>-pur</latinform> is unclear, though there might be a connection with <latinform>ḥp&apos;ur-ba</latinform> &apos;wrap up, envelop&apos;.</par>
368527	I	<par>Possible loan from Chinese.</par>
368532	I	<par>Loan from Chinese <hanform>豬</hanform> zhū.</par>
370832	I	<par>Possible loan from Chinese 豬 zhū.</par>
371915	I	<par>Loan from Chinese, cf. Chinese bǎndèng 板凳 &apos;wooden stool&apos;.</par>
371920	I	<par>Loan from Chinese, cf. Chinese bǎndèng 板凳 ‘wooden stool’.</par>
371921	I	<par>Loan from Chinese, cf. Chinese bǎndèng 板凳 ‘wooden stool’.</par>
371923	I	<par>Loan from Chinese, cf. Chinese bǎndèng 板凳 ‘wooden stool’.</par>
371924	I	<par>Loan from Chinese, cf. Chinese bǎndèng 板凳 ‘wooden stool’.</par>
371925	I	<par>Loan from Chinese, cf. Chinese bǎndèng 板凳 ‘wooden stool’.</par>
371926	I	<par>Loan from Chinese, cf. Chinese bǎndèng 板凳 ‘wooden stool’.</par>
371927	I	<par>Loan from Chinese, cf. Chinese bǎndèng 板凳 &apos;wooden stool&apos;.</par>
371928	I	<par>Loan from Chinese, cf. Chinese bǎndèng 板凳 &apos;wooden stool&apos;.</par>
371929	I	<par>Loan from Chinese, cf. Chinese bǎndèng 板凳 ‘wooden stool’.</par>
371947	I	<par>Loan from Chinese, cf. Chinese bǎndèng 板凳 ‘wooden stool’.</par>
371948	I	<par>Loan from Chinese, cf. Chinese bǎndèng 板凳 ‘wooden stool’.</par>
371949	I	<par>Loan from Chinese, cf. Chinese dèngzi 凳子 ‘stool, seat’.</par>
371950	I	<par>Loan from Chinese, cf. Chinese bǎndèng 板凳 ‘wooden stool’.</par>
371951	I	<par>Loan from Chinese, cf. Chinese bǎndèng 板凳 ‘wooden stool’.</par>
371959	I	<par>Loan from Chinese, cf. Chinese bǎndèng 板凳 ‘wooden stool’.</par>
371960	I	<par>Loan from Chinese, cf. Chinese bǎndèng 板凳 ‘wooden stool’.</par>
371963	I	<par>Loan from Chinese, cf. Chinese bǎndèng 板凳 ‘wooden stool’.</par>
376421	I	<par>Loan from Chinese, cf. Chinese mò 墨 &apos;ink stick, ink&apos;.</par>
376422	I	<par>Loan from Chinese, cf. Chinese mò 墨 &apos;ink stick, ink&apos;.</par>
376429	I	<par>Loan from Chinese, cf. Chinese mò 墨 &apos;ink stick, ink&apos;.</par>
376441	I	<par>Loan from Chinese, cf. Chinese mò 墨 &apos;ink stick, ink&apos;.</par>
376445	I	<par>Loan from Chinese, cf. Chinese mò 墨 &apos;ink stick, ink&apos;.</par>
376452	I	<par>Loan from Chinese, cf. Chinese mò 墨 &apos;ink stick, ink&apos;.</par>
376454	I	<par>Loan from Chinese, cf. Chinese mò 墨 &apos;ink stick, ink&apos;.</par>
376455	I	<par>Loan from Chinese, cf. Chinese mò 墨 &apos;ink stick, ink&apos;.</par>
376456	I	<par>Loan from Chinese, cf. Chinese mò 墨 &apos;ink stick, ink&apos;.</par>
376458	I	<par>Loan from Chinese, cf. Chinese mò 墨 &apos;ink stick, ink&apos;.</par>
376461	I	<par>Loan from Chinese, cf. Chinese mò 墨 &apos;ink stick, ink&apos;.</par>
378340	I	<par>Loan from Chinese, cf. Chinese mò 墨 &apos;ink stick, ink&apos;.</par>
378341	I	<par>Loan from Chinese, cf. Chinese mò 墨 &apos;ink stick, ink&apos;.</par>
378350	I	<par>Loan from Chinese, cf. Chinese mò 墨 &apos;ink stick, ink&apos;.</par>
378353	I	<par>Loan from Chinese, cf. Chinese mò 墨 &apos;ink stick, ink&apos;.</par>
378360	I	<par>Loan from Chinese, cf. Chinese mò 墨 &apos;ink stick, ink&apos;.</par>
378364	I	<par>Loan from Chinese, cf. Chinese mò 墨 &apos;ink stick, ink&apos;.</par>
378367	I	<par>Loan from Chinese, cf. Chinese mò 墨 &apos;ink stick, ink&apos;.</par>
378368	I	<par>Loan from Chinese, cf. Chinese mò 墨 &apos;ink stick, ink&apos;.</par>
378369	I	<par>Loan from Chinese, cf. Chinese mò 墨 &apos;ink stick, ink&apos;.</par>
378371	I	<par>Loan from Chinese, cf. Chinese mò 墨 &apos;ink stick, ink&apos;.</par>
378373	I	<par>Loan from Chinese, cf. Chinese mò 墨 &apos;ink stick, ink&apos;.</par>
378374	I	<par>Loan from Chinese, cf. Chinese mò 墨 &apos;ink stick, ink&apos;.</par>
378375	I	<par>Loan from Chinese, cf. Chinese mò 墨 &apos;ink stick, ink&apos;.</par>
378376	I	<par>Loan from Chinese, cf. Chinese mò 墨 &apos;ink stick, ink&apos;.</par>
378377	I	<par>Loan from Chinese, cf. Chinese mò 墨 &apos;ink stick, ink&apos;.</par>
378378	I	<par>Loan from Chinese, cf. Chinese mò 墨 &apos;ink stick, ink&apos;.</par>
378379	I	<par>Loan from Chinese, cf. Chinese mò 墨 &apos;ink stick, ink&apos;.</par>
378380	I	<par>Loan from Chinese, cf. Chinese mò 墨 &apos;ink stick, ink&apos;.</par>
378381	I	<par>Loan from Chinese, cf. Chinese mò 墨 &apos;ink stick, ink&apos;.</par>
378383	I	<par>Loan from Chinese, cf. Chinese mò 墨 &apos;ink stick, ink&apos;.</par>
378385	I	<par>Loan from Chinese, cf. Chinese mò 墨 &apos;ink stick, ink&apos;.</par>
378386	I	<par>Loan from Chinese, cf. Chinese mò 墨 &apos;ink stick, ink&apos;.</par>
379505	I	<par>&lt; Indic nāga-?</par>
379506	T	<par>&lt; Indic nāga-?</par>
379860	I	<par>Loan from Chinese, cf. Chinese bànfǎ 辦法 &apos;means, method&apos;.</par>
379865	I	<par>Loan from Chinese, cf. Chinese bànfǎ 辦法 &apos;means, method&apos;.</par>
379870	I	<par>Loan from Chinese, cf. Chinese bànfǎ 辦法 &apos;means, method&apos;.</par>
379877	I	<par>Loan from Chinese, cf. Chinese bànfǎ 辦法 &apos;means, method&apos;.</par>
379880	I	<par>Loan from Chinese, cf. Chinese bànfǎ 辦法 &apos;means, method&apos;.</par>
379881	I	<par>Loan from Chinese, cf. Chinese bànfǎ 辦法 &apos;means, method&apos;.</par>
379884	I	<par>Loan from Chinese, cf. Chinese bànfǎ 辦法 ‘means, method’.</par>
379886	I	<par>Loan from Chinese, cf. Chinese fǎzi 法子 ‘means, method’.</par>
379888	I	<par>Loan from Chinese, cf. Chinese fǎzi 法子 &apos;means, method&apos;.</par>
379889	I	<par>Loan from Chinese, cf. Chinese bànfǎ 辦法 &apos;means, method&apos;.</par>
379890	I	<par>Loan from Chinese, cf. Chinese bànfǎ 辦法 &apos;means, method&apos;.</par>
379891	I	<par>Loan from Chinese, cf. Chinese bànfǎ 辦法 &apos;means, method&apos;.</par>
379892	I	<par>Loan from Chinese, cf. Chinese bànfǎ 辦法 &apos;means, method&apos;.</par>
379894	I	<par>Loan from Chinese, cf. Chinese bànfǎ 辦法 ‘means, method’.</par>
379897	I	<par>Loan from Chinese, cf. Chinese bànfǎ 辦法 ‘means, method’.</par>
379898	I	<par>Loan from Chinese, cf. Chinese bànfǎ 辦法 &apos;means, method&apos;.</par>
379903	I	<par>Loan from Chinese, cf. Chinese fǎzi 法子 ‘means, method’.</par>
383917	I	<par>Loan from Chinese, cf. Chinese hàozi <hanform>耗子</hanform> &apos;rat, mouse&apos;.</par>
384099	T	<par>&lt; Indic nāga-?</par>
384100	T	<par>&lt; Indic nāga-?</par>
384283	I	<par>Possible loan from Tibetan, cf. Written Tibetan spreɦu.</par>
384284	I	<par>Loan from Tibetan, cf. Tibetan (Batang) tʂy⁵⁵ ʔa⁵⁵ ge⁵³ ‘monkey’, tʂe⁵⁵ ‘year of the monkey’; Tibetan (Khams:Dege) ʔa⁵⁵ ge⁵³ tʂu⁵⁵  ‘monkey’; Tibetan (Lhasa) tʂeː⁵⁵  ‘year of the monkey’. Also appears as a loan from Tibetan in Qiangic. </par>
384286	I	<par>Loan from Tibetan, cf. Tibetan (Batang) tʂy⁵⁵ ʔa⁵⁵ ge⁵³ ‘monkey’, tʂe⁵⁵ ‘year of the monkey’; Tibetan (Khams:Dege) ʔa⁵⁵ ge⁵³ tʂu⁵⁵  ‘monkey’; Tibetan (Lhasa) tʂeː⁵⁵  ‘year of the monkey’. Also appears as a loan from Tibetan in Monpa and other Qiangic languages.</par>
384287	I	<par>Loan from Tibetan, cf. Tibetan (Batang) tʂy⁵⁵ ʔa⁵⁵ ge⁵³ ‘monkey’, tʂe⁵⁵ ‘year of the monkey’; Tibetan (Khams:Dege) ʔa⁵⁵ ge⁵³ tʂu⁵⁵  ‘monkey’; Tibetan (Lhasa) tʂeː⁵⁵  ‘year of the monkey’. Also appears as a loan from Tibetan in Monpa and other Qiangic languages.</par>
384292	I	<par>Loan from Tibetan, cf. Tibetan (Batang) tʂy⁵⁵ ʔa⁵⁵ ge⁵³ ‘monkey’, tʂe⁵⁵ ‘year of the monkey’; Tibetan (Khams:Dege) ʔa⁵⁵ ge⁵³ tʂu⁵⁵  ‘monkey’; Tibetan (Lhasa) tʂeː⁵⁵  ‘year of the monkey’. Also appears as a loan from Tibetan in Monpa and other Qiangic languages.</par>
384293	I	<par>Loan from Tibetan, cf. Tibetan (Batang) tʂy⁵⁵ ʔa⁵⁵ ge⁵³ ‘monkey’, tʂe⁵⁵ ‘year of the monkey’; Tibetan (Khams:Dege) ʔa⁵⁵ ge⁵³ tʂu⁵⁵  ‘monkey’; Tibetan (Lhasa) tʂeː⁵⁵  ‘year of the monkey’. Also appears as a loan from Tibetan in Monpa and other Qiangic languages. </par>
384325	I	<par>Possible loan from Old Chinese ŋi̯u?</par>
385930	I	<par>Loan from Tibetan lo gsar.</par>
385934	I	<par>Loan from Tibetan lo gsar.</par>
385935	I	<par>Loan from Tibetan lo gsar.</par>
385937	I	<par>Loan from Tibetan lo gsar.</par>
385938	I	<par>Loan from Tibetan lo gsar.</par>
386487	T	"<par>After palatal initials, Written Tibetan fairly regularly has <latinform>-u</latinform> corresponding to front vowels in other languages. Cf. <xref ref=""2411"">#2411</xref> &gt; WT <latinform>gʑu</latinform>. See Michailovsky &amp; Mazaudon 1994:550-553 (&quot;Preliminary notes on the languages of the Bumthang group&quot;).</par>"
387443	I	<par>Loan from Chinese, cf. Chinese bǎi 百’hundred’.</par>
