rn	type	text
437771	I	<par>Also: HPTB:502.</par>
438134	T	<par>There is a homophonous WB word <latinform>ʔəkhyâŋ</latinform> &apos;one who is connected with another&apos;, cognate to Lahu <latinform>ɔ̀-chɔ̂</latinform> &apos;friend&apos; (HPTB p. 265). it is possible that there is a genuine semantic assocation between these two WB words, with the placenta conceived of as the &quot;child&apos;s friend&quot;.</par>
438839	I	<par>Also: HPTB:502.</par>
439306	T	<par>This word is glossed &quot;weighted bamboo screen, pushed to drive fish into a weir&quot; (<emph>Myanmar-English Dictionary</emph> 1993:45).</par>
439492	T	"<par>Burmese <latinform>krim</latinform> was assigned to <xref ref=""6174"">#6174</xref> in HPTB:305 but it now seems preferable to include it under the present root.</par>"
439680	T	<par>Also glossed as &quot;inside of mouth&quot;. Possibly allofamic with <latinform>ak</latinform>, although a WB alternation between open <latinform>a</latinform> and <latinform>ak</latinform> is not attested elsewhere.</par>
440121	I	<par>pra &apos;show&apos; + rai &apos;laugh&apos;, acc. to Jud.</par>
440132	O	<par>(&lt; phai &apos;go aside&apos;) (Benedict 1976).</par>
440685	I	<par>character in gloss needs fixing</par>
