rn	type	text
80488	I	<par><latinform>pa</latinform>: cf. ba above</par>
80501	T	<par>Lit. &quot;snot-excrement&quot;. </par>
80510	I	<par>First element = LUNG. &lt;<reconstruction>*nat</reconstruction>?</par>
80522	I	<par>This record was tagged &quot;o&quot; but no overlong analysis could be found. This PROVISIONAL tag was given by mlj on the basis of the Tibetan form <latinform>thos-pa</latinform> &apos;hear&apos; (rn 71527).</par>
